accession_id,replicate_id,delta 13C 261,stomata density 261,Stomatasize 261,stomata density,delta 13C,stomatasize
139,25350,-36.828740517,173.3333333333,96.3193726241,135.5555555556,-36.828740517,106.683524208
410,25351,-36.9744424629,110.0,104.6277,114.4444444444,-36.9744424629,110.7806
430,25352,-36.6303807441,120.0,106.1486,144.4444444444,-36.6303807441,104.2050666667
991,25353,-33.0693099438,113.3333333333,110.553,108.8888888889,-33.0693099438,114.7144333333
992,25354,-34.8049498733,133.3333333333,103.4294,130.0,-34.8049498733,110.6502333333
997,25355,-34.4391914141,113.3333333333,117.7913,146.6666666667,-34.4391914141,105.9310547156
1002,25356,-36.1477317067,133.3333333333,100.482,140.0,-36.1477317067,103.9156333333
1061,25357,-35.1570827244,143.3333333333,97.032256146,162.2222222222,-35.1570827244,102.718185382
1062,25358,-34.7596628797,136.6666666667,109.6451,130.0,-34.7596628797,114.1554666667
1063,25359,-35.3622431294,123.3333333333,120.6892,152.2222222222,-35.3622431294,120.2575666667
1066,25360,-34.3839030075,123.3333333333,118.1281,161.1111111111,-34.3839030075,112.2158
1254,25361,-33.6273442132,113.3333333333,101.7537,116.6666666667,-33.6273442132,102.0608
5023,25362,-37.0983090262,113.3333333333,116.4741,157.7777777778,-37.0983090262,111.7419333333
5165,25363,-35.0903986749,100.0,122.9728,142.2222222222,-35.0903986749,116.8183
5353,25364,-35.8938733882,173.3333333333,105.5083,156.6666666667,-35.8938733882,105.91305
5830,25365,-34.7637785895,120.0,107.5769,146.6666666667,-34.7637785895,104.5419
5832,25366,-35.4417486862,196.6666666667,101.8149,196.6666666667,-35.4417486862,102.5275
5865,25367,-33.9312191295,126.6666666667,98.2844684159,164.4444444444,-33.9312191295,102.2634444396
5867,25368,-34.6884469617,100.0,109.7437,123.3333333333,-34.6884469617,110.1818
5907,25369,-37.4137730192,126.6666666667,111.8299,177.7777777778,-37.4137730192,105.9017252188
6009,25370,-33.2093557018,116.6666666667,117.4893,136.6666666667,-33.2093557018,109.6265666667
6011,25371,-35.7939500782,133.3333333333,105.1129,146.6666666667,-35.7939500782,113.7369
6012,25372,-34.6800954269,120.0,116.1337,104.4444444444,-34.6800954269,123.3248666667
6013,25373,-34.4331272582,146.6666666667,104.826,132.2222222222,-34.4331272582,110.7492333333
6016,25374,-35.0321038318,100.0,112.1777,137.7777777778,-35.0321038318,111.9066
6019,25375,-35.7131704319,166.6666666667,104.3455,160.0,-35.7131704319,108.5628666667
6020,25376,-36.5363097044,153.3333333333,105.4335,142.2222222222,-36.5363097044,112.3579333333
6021,25377,-34.9186010914,160.0,99.5443189386,153.3333333333,-34.9186010914,105.4108729795
6023,25378,,,,116.6666666667,-33.2807817192,119.5594
6024,25379,,,,143.3333333333,-35.8813692363,117.3891
6034,25380,-33.8971775487,113.3333333333,121.0625,113.3333333333,-33.8971775487,123.8663333333
6035,25381,,,,123.3333333333,-33.385881222,106.14895
6036,25382,-36.3260478017,160.0,108.3822,164.4444444444,-36.3260478017,115.9335
6038,25383,-35.4782762529,176.6666666667,114.7027,163.3333333333,-35.4782762529,115.4184
6039,25384,-37.8715490814,163.3333333333,99.2530844201,156.6666666667,-37.8715490814,106.94072814
6040,25385,-33.3184791921,113.3333333333,117.5321,131.1111111111,-33.3184791921,113.9887
6041,25386,-32.6845324216,173.3333333333,113.3119,175.5555555556,-32.6845324216,115.1863333333
6043,25387,-35.5687170914,160.0,123.4698,168.8888888889,-35.5687170914,120.7173
6069,25388,-34.9108748418,160.0,100.6339,173.3333333333,-34.9108748418,101.0382
6071,25389,,,,140.0,-32.7927926885,113.9385
6073,25390,-34.2131742108,120.0,103.3992,127.7777777778,-34.2131742108,106.5126
6074,25391,-34.806159008,173.3333333333,96.7491751839,181.1111111111,-34.806159008,102.0798250613
6076,25392,,,,143.3333333333,-34.5318257105,117.43005
6085,25393,-34.6729980545,180.0,115.3149,175.5555555556,-34.6729980545,117.9195333333
6088,25394,-35.8176172068,140.0,115.4052,137.7777777778,-35.8176172068,119.2806333333
6090,25395,,,,165.0,-35.0236933329,97.5921735878
6092,25396,-33.5847121077,120.0,112.4884,131.1111111111,-33.5847121077,110.8272666667
6094,25397,,,,160.0,-32.7100401705,102.0515
6097,25398,-36.2152464389,143.3333333333,96.8520654122,156.6666666667,-36.2152464389,105.2549218041
6098,25399,-35.7906491859,186.6666666667,100.5965,187.7777777778,-35.7906491859,103.7008666667
