accession_id,replicate_id,delta 13C 261,stomata density 261,Stomatasize 261,stomata density,delta 13C,stomatasize
6099,25400,-35.7200821961,116.6666666667,103.0582,131.6666666667,-35.7200821961,99.9925426711
6100,25401,-35.3378169841,126.6666666667,99.4301638435,130.0,-35.3378169841,109.7600819218
6104,25402,-33.9756039952,153.3333333333,111.3976,161.1111111111,-33.9756039952,110.2734333333
6105,25403,-32.9780678888,176.6666666667,103.7052,165.5555555556,-32.9780678888,105.614
6106,25404,-36.2558700569,173.3333333333,91.782,184.4444444444,-36.2558700569,95.000906619
6107,25405,,,,153.3333333333,-35.7502444479,97.9595031525
6108,25406,,,,153.3333333333,-35.5904343477,113.8808
6109,25407,-34.8307598297,130.0,107.3826,130.0,-34.8307598297,110.8125333333
6111,25408,,,,166.6666666667,-34.230288093,107.5676
6112,25409,-36.1759219396,113.3333333333,116.9641,160.0,-36.1759219396,101.7328986558
6113,25410,-35.4751994384,140.0,103.5497,155.5555555556,-35.4751994384,107.3437
6114,25411,,,,153.3333333333,,104.6442988619
6115,25412,,,,183.3333333333,-33.7389129733,106.557
6118,25413,,,,186.6666666667,-34.6301980781,102.0809
6122,25414,,,,140.0,-34.8404931187,109.5185
6124,25415,-35.3812005529,140.0,99.6671501645,161.1111111111,-35.3812005529,105.2113500548
6125,25416,-32.7756707737,120.0,112.5362,137.7777777778,-32.7756707737,116.6492
6126,25417,-34.303828732,113.3333333333,116.2129,131.1111111111,-34.303828732,110.8697666667
6128,25418,,,,176.6666666667,,99.6655388688
6131,25419,,,,143.3333333333,-35.8177885756,116.96375
6132,25420,-34.3150437323,113.3333333333,115.0933,123.3333333333,-34.3150437323,118.461
6133,25421,-32.8845585105,160.0,106.1874,157.7777777778,-32.8845585105,105.8039666667
6134,25422,-34.4535352399,183.3333333333,98.3194397284,183.3333333333,-34.4535352399,98.3194397284
6136,25423,-35.344262951,176.6666666667,96.7020514992,160.0,-35.344262951,99.1325827933
6137,25424,-34.2719783017,140.0,108.1485,151.1111111111,-34.2719783017,109.8895666667
6138,25425,-33.9204591616,140.0,109.1863,156.6666666667,-33.9204591616,107.4176
6140,25426,-34.1962141487,133.3333333333,104.057,158.8888888889,-34.1962141487,108.4908333333
6142,25427,-35.1991917325,180.0,102.9317,193.3333333333,-35.1991917325,102.2897
6145,25428,,,,168.3333333333,-33.0296329539,103.378033108
6148,25429,-33.7999373752,143.3333333333,101.1185,148.8888888889,-33.7999373752,110.5003666667
6149,25430,-35.9357872597,123.3333333333,116.0277,158.8888888889,-35.9357872597,115.1842333333
6150,25431,-35.7106916185,170.0,102.2923,162.2222222222,-35.7106916185,107.4782666667
6151,25432,-36.3185472831,180.0,106.5434,184.4444444444,-36.3185472831,106.3148333333
6153,25433,-34.3710922736,120.0,119.0005,170.0,-34.3710922736,111.8545666667
6154,25434,,,,176.6666666667,-34.6165110275,106.60695
6163,25435,,,,155.0,-34.5899604747,110.2672
6169,25436,-36.0963125588,133.3333333333,115.6337,180.0,-36.0963125588,106.8326
6173,25437,-33.7113185096,106.6666666667,107.3149,131.1111111111,-33.7113185096,107.9588333333
6177,25438,-34.613500624,120.0,115.9648,145.5555555556,-34.613500624,109.0250333333
6184,25439,-34.5921901105,146.6666666667,106.3106,146.6666666667,-34.5921901105,107.3846
6188,25440,-36.3303541708,140.0,113.2907,180.0,-36.3303541708,105.4081948117
6189,25441,-35.8521156581,133.3333333333,111.0807,143.3333333333,-35.8521156581,109.3165666667
6191,25442,-38.6797102193,166.6666666667,115.8428,204.4444444444,-38.6797102193,111.7629
6192,25443,-36.5646292219,186.6666666667,104.411,175.5555555556,-36.5646292219,107.7048666667
6193,25444,-37.2277132876,130.0,118.501,156.6666666667,-37.2277132876,113.9218666667
6194,25445,-35.7727353947,153.3333333333,107.8267,164.4444444444,-35.7727353947,113.8068333333
6195,25446,-34.9430211292,126.6666666667,117.293,173.3333333333,-34.9430211292,106.080292999
6201,25447,-36.540382908,140.0,113.6205,136.6666666667,-36.540382908,116.54925
6202,25448,-36.0756429038,133.3333333333,108.038,148.8888888889,-36.0756429038,109.5230666667
6203,25449,-36.5990519225,113.3333333333,122.0236,136.6666666667,-36.5990519225,114.2998
6209,25450,-36.4416412945,120.0,114.4888,133.3333333333,-36.4416412945,111.6775333333
6210,25451,-35.5171645427,113.3333333333,106.3422,113.3333333333,-35.5171645427,107.3004
6217,25452,,,,160.0,-34.4603252025,110.34155
6235,25453,-33.6626484788,106.6666666667,112.2888,108.3333333333,-33.6626484788,116.2624
6242,25454,-34.5617076978,110.0,98.508215304,135.5555555556,-34.5617076978,106.2453384347
6252,25455,,,,126.6666666667,-35.1322115491,119.2805
6258,25456,-33.5416292015,136.6666666667,108.3811,148.8888888889,-33.5416292015,104.1404297797
6268,25457,-35.5768394024,126.6666666667,108.2386,131.1111111111,-35.5768394024,111.4353488086
6276,25458,-35.6522924651,93.3333333333,121.8463,135.5555555556,-35.6522924651,114.0570333333
6284,25459,-35.0760600777,160.0,98.2224307306,166.6666666667,-35.0760600777,97.3128838197
6296,25460,-36.7369865267,133.3333333333,113.6996,148.8888888889,-36.7369865267,108.4229333333
6413,25461,-33.8638529993,146.6666666667,99.4355693579,137.7777777778,-33.8638529993,102.362989786
6424,25462,-36.6545127178,133.3333333333,117.6189,122.2222222222,-36.6545127178,125.0329666667
6445,25463,-37.7004300776,100.0,120.3762,124.4444444444,-37.7004300776,121.6871666667
6903,25464,-36.3659883737,150.0,98.671825249,148.8888888889,-36.3659883737,105.874075083
6915,25465,-36.0991845618,180.0,105.0787,204.4444444444,-36.0991845618,101.1837
6918,25466,-34.4856378812,106.6666666667,108.4937,120.0,-34.4856378812,111.59145
6924,25467,-37.4977040435,113.3333333333,124.6754,140.0,-37.4977040435,119.3918333333
6933,25468,-37.3451560256,120.0,106.0978,124.4444444444,-37.3451560256,113.4149333333
6944,25469,-36.0664053097,120.0,117.8426,131.1111111111,-36.0664053097,117.8511333333
6945,25470,-34.1263595829,126.6666666667,118.1496,123.3333333333,-34.1263595829,117.2317
6957,25471,-35.7988024642,140.0,104.4499,148.8888888889,-35.7988024642,109.8910666667
6961,25472,-35.8628802142,146.6666666667,106.0783,148.8888888889,-35.8628802142,112.0118005559
6970,25473,,,,116.6666666667,,112.0823
6971,25474,-35.1335329393,116.6666666667,111.026,134.4444444444,-35.1335329393,114.2014333333
6974,25475,,,,141.6666666667,,104.4409602688
6982,25476,,,,146.6666666667,,112.8651
6987,25477,-36.9831512862,96.6666666667,119.8011,121.1111111111,-36.9831512862,113.7456
6989,25478,,,,180.0,-36.1883749883,108.33035
6997,25479,-35.7442351061,173.3333333333,110.4136,170.0,-35.7442351061,113.9588
7002,25480,-36.59281045,126.6666666667,115.1977,140.0,-36.59281045,118.8994333333
7003,25481,,,,162.2222222222,,111.0800333333
7008,25482,-35.9058736841,93.3333333333,100.9868,93.3333333333,-35.9058736841,100.9868
7013,25483,-36.7300531542,126.6666666667,111.942,146.6666666667,-36.7300531542,108.9208666667
7062,25484,-37.6374956774,80.0,117.3638,94.4444444444,-37.6374956774,117.9498
7119,25485,,,,122.2222222222,,111.8721666667
7133,25486,-36.9841261093,133.3333333333,114.4207,153.3333333333,-36.9841261093,108.4360333333
7147,25487,-37.2099572949,133.3333333333,114.3427,152.2222222222,-37.2099572949,117.2775
7158,25488,-37.018871545,196.6666666667,108.4561,183.3333333333,-37.018871545,113.5684
7169,25489,,,,133.3333333333,,113.2406333333
7177,25490,,,,153.3333333333,,106.0407333333
7244,25491,,,,140.0,,115.41625
7255,25492,,,,123.3333333333,,122.3742
7268,25493,-37.0908368073,113.3333333333,119.3422,96.6666666667,-37.0908368073,125.19125
7276,25494,-36.4894556292,136.6666666667,113.354,172.2222222222,-36.4894556292,103.6998566943
7305,25495,,,,182.2222222222,,111.3298666667
7327,25496,-35.3498188617,166.6666666667,101.1447,117.7777777778,-35.3498188617,125.7419666667
7328,25497,-36.0909439402,150.0,101.1903,130.0,-36.0909439402,108.3424333333
7343,25498,-35.9171973004,106.6666666667,119.4604,128.8888888889,-35.9171973004,115.9875666667
7346,25499,-36.4097784406,106.6666666667,115.0111,132.2222222222,-36.4097784406,117.8091
7354,25500,-35.1436368698,140.0,106.4404,147.7777777778,-35.1436368698,103.6581
7382,25501,-37.6266044685,146.6666666667,111.6784,160.0,-37.6266044685,107.1504202466
8214,25502,-35.5781809271,126.6666666667,108.0459,141.1111111111,-35.5781809271,117.6858666667
8222,25503,,,,146.6666666667,-35.1335348603,105.751
8227,25504,-35.5398668206,133.3333333333,104.2488,151.1111111111,-35.5398668206,106.8497666667
8231,25505,-36.5241112118,133.3333333333,104.6383,130.0,-36.5241112118,107.4939
8234,25506,-36.1761639721,153.3333333333,95.3684033989,146.6666666667,-36.1761639721,100.9656344663
8237,25507,-34.4818628471,140.0,107.0484,175.5555555556,-34.4818628471,102.7874350762
8240,25508,-33.0135695082,120.0,99.3768081256,157.7777777778,-33.0135695082,100.7768027085
8241,25509,-37.084258891,120.0,120.0119,141.6666666667,-37.084258891,118.22025
8242,25510,-36.0626641389,143.3333333333,100.6902,151.6666666667,-36.0626641389,102.4027
8247,25511,-37.2226874408,173.3333333333,99.1424942699,192.2222222222,-37.2226874408,100.5759789743
8249,25512,,,,146.6666666667,-36.114821889,99.2033209795
8256,25513,-36.7570756625,146.6666666667,111.5728,133.3333333333,-36.7570756625,118.8120666667
8259,25514,-36.7682487204,140.0,98.874,141.1111111111,-36.7682487204,102.6738666667
8264,25515,,,,140.0,-34.7571307576,110.9138
8283,25516,,,,153.3333333333,-34.210860662,119.7422
8306,25517,,,,170.0,-34.3172234249,105.2299
8307,25518,-36.609873762,166.6666666667,111.3477,175.5555555556,-36.609873762,108.3065417809
8326,25519,-35.634795556,140.0,104.1108,146.6666666667,-35.634795556,105.217428789
8335,25520,-34.5562568628,153.3333333333,110.8475,162.2222222222,-34.5562568628,111.8141666667
8351,25521,-35.0285688645,133.3333333333,112.7089,151.6666666667,-35.0285688645,111.59955
8369,25522,-35.3914356876,173.3333333333,100.7681,175.5555555556,-35.3914356876,110.299
8376,25523,-35.202902457,146.6666666667,121.6275,140.0,-35.202902457,122.8612
8386,25524,-35.5190905301,120.0,114.0048,135.5555555556,-35.5190905301,116.1902
8422,25525,-35.6625195804,126.6666666667,112.621,151.1111111111,-35.6625195804,107.2141333333
8426,25526,-38.5955471123,140.0,118.78,136.6666666667,-38.5955471123,121.0465
9057,25527,-35.8723014651,133.3333333333,112.542,140.0,-35.8723014651,115.7546666667
9321,25528,-36.3027604121,113.3333333333,115.8696,133.3333333333,-36.3027604121,113.0996666667
9339,25529,-33.0613051974,140.0,106.631,158.8888888889,-33.0613051974,103.1966889883
9363,25530,-33.5506058309,120.0,113.7409,133.3333333333,-33.5506058309,104.0321546232
9369,25531,,,,188.3333333333,-37.1759402534,110.99375
9371,25532,-34.0518990538,140.0,89.8613739576,140.0,-34.0518990538,99.5166869788
9380,25533,-36.3141250066,113.3333333333,118.8384,142.2222222222,-36.3141250066,116.3649
9386,25534,-34.689128596,153.3333333333,103.4966,155.5555555556,-34.689128596,106.8302666667
9388,25535,-35.0929905834,126.6666666667,105.308,133.3333333333,-35.0929905834,110.9641666667
9395,25536,-33.8453236614,153.3333333333,98.353,167.7777777778,-33.8453236614,101.1748333333
9399,25537,-35.6893854892,103.3333333333,112.9909,145.5555555556,-35.6893854892,109.8156
9404,25538,,,,145.0,-35.6417506536,107.9852
9405,25539,,,,136.6666666667,-34.4470675137,110.10865
9407,25540,,,,131.6666666667,-34.6097942805,107.78635
9408,25541,-35.2325901194,140.0,104.5125,148.8888888889,-35.2325901194,103.3419333333
9409,25542,-35.224788244,113.3333333333,93.4591276275,153.3333333333,-35.224788244,96.0100046736
9421,25543,-30.768533855,106.6666666667,112.5459,126.6666666667,-30.768533855,111.8322666667
9436,25544,,,,113.3333333333,-36.7073403919,119.3533
9442,25545,,,,140.0,,117.24395
9453,25546,-35.4263561903,106.6666666667,110.3389,147.7777777778,-35.4263561903,105.3142
9454,25547,-35.8101565069,176.6666666667,98.9113058189,158.3333333333,-35.8101565069,104.6597529094
9470,25548,-35.3426228645,93.3333333333,112.2195,137.7777777778,-35.3426228645,103.0843579495
9476,25549,-35.0726769746,120.0,115.9854,120.0,-35.0726769746,120.6905333333
9481,25550,,,,123.3333333333,-36.1666273587,110.60655
9506,25551,,,,136.6666666667,-35.8611379086,118.1091
9517,25552,,,,161.1111111111,,108.0530333333
9519,25553,-34.818729534,146.6666666667,115.2259,155.5555555556,-34.818729534,109.5987
9520,25554,-35.8005810697,126.6666666667,108.0024,136.6666666667,-35.8005810697,108.67255
9521,25555,-34.4568803226,100.0,113.662,148.8888888889,-34.4568803226,109.7494666667
9524,25556,-36.5205795264,140.0,107.0333,117.7777777778,-36.5205795264,113.1209333333
9525,25557,-35.5717743145,130.0,106.8632,171.1111111111,-35.5717743145,106.7617666667
9526,25558,-36.8294782859,120.0,117.3273,142.2222222222,-36.8294782859,117.2390666667
9527,25559,-35.665431775,140.0,110.0014,160.0,-35.665431775,110.8796333333
9528,25560,-35.3150330618,106.6666666667,111.3674,155.5555555556,-35.3150330618,107.4664
9531,25561,-36.161446957,160.0,98.1872925857,166.6666666667,-36.161446957,101.7210562088
9532,25562,-35.95147039,83.3333333333,119.4144,118.8888888889,-35.95147039,121.2115333333
9534,25563,,,,126.6666666667,-35.4581698251,117.32365
9535,25564,-35.8928225087,110.0,122.7175,108.3333333333,-35.8928225087,125.09745
9539,25565,-35.4103286807,166.6666666667,101.6846,171.1111111111,-35.4103286807,107.2375333333
9540,25566,-35.5606663842,93.3333333333,115.1741,106.6666666667,-35.5606663842,112.5514
9546,25567,-35.8567838895,106.6666666667,104.6634,115.0,-35.8567838895,111.4345
9547,25568,-35.6683668796,113.3333333333,114.9182,138.8888888889,-35.6683668796,112.1561333333
9548,25569,-35.2500757848,113.3333333333,104.8523,113.3333333333,-35.2500757848,112.33745
9551,25570,-35.9865394297,113.3333333333,115.306,140.0,-35.9865394297,112.57495
9552,25571,-36.0312014365,76.6666666667,114.6995,86.6666666667,-36.0312014365,119.47065
9553,25572,-37.3616518525,116.6666666667,111.632,143.3333333333,-37.3616518525,107.6991666667
9556,25573,-36.6039082074,146.6666666667,103.093,156.6666666667,-36.6039082074,107.5958333333
9557,25574,-34.3162502479,113.3333333333,115.7578,132.2222222222,-34.3162502479,120.5286
9558,25575,-35.7073667206,106.6666666667,104.0212,128.8888888889,-35.7073667206,107.1496666667
9561,25576,-33.6485620642,86.6666666667,105.8789,140.0,-33.6485620642,104.2418333333
9562,25577,-36.3610887943,133.3333333333,113.3582,137.7777777778,-36.3610887943,118.8943333333
9564,25578,-33.5526060745,146.6666666667,110.0618,140.0,-33.5526060745,114.6633333333
9565,25579,,,,180.0,-33.7218326054,109.1545
9567,25580,,,,120.0,,118.9389
9568,25581,-34.8996698434,146.6666666667,105.7806,133.3333333333,-34.8996698434,114.5414666667
9569,25582,,,,136.6666666667,-34.8531628352,110.05645
9573,25583,-35.9125060842,140.0,114.337,150.0,-35.9125060842,112.8185
9577,25584,-34.0512826921,100.0,115.8568,128.8888888889,-34.0512826921,115.4505333333
9578,25585,-36.0451585208,126.6666666667,120.8423,136.6666666667,-36.0451585208,121.7874
9581,25586,-34.8463264413,143.3333333333,114.0363,121.1111111111,-34.8463264413,119.4555666667
9582,25587,-33.9436208919,113.3333333333,108.757,148.8888888889,-33.9436208919,105.418954838
9584,25588,,,,145.0,-34.6670633514,106.51075
9585,25589,,,,95.0,,127.859
9586,25590,,,,160.0,-35.1093603721,114.748
9587,25591,-34.5032695437,100.0,115.589,135.5555555556,-34.5032695437,110.6115333333
9588,25592,-34.436673738,120.0,113.7231,120.0,-34.436673738,117.6188666667
9589,25593,,,,160.0,,108.93555
9591,25594,,,,153.3333333333,-36.599675624,107.9007
9593,25595,,,,173.3333333333,-35.1321981807,104.5594
9594,25596,-34.8579719291,126.6666666667,113.4134,133.3333333333,-34.8579719291,111.2330666667
9595,25597,-35.3662942181,103.3333333333,121.064,125.5555555556,-35.3662942181,115.1744333333
9596,25598,-35.4428798672,153.3333333333,105.3037,155.5555555556,-35.4428798672,115.3406666667
9597,25599,-35.5394828427,123.3333333333,114.6923,151.1111111111,-35.5394828427,110.8084666667
9599,25600,-37.2556024164,133.3333333333,118.5381,140.0,-37.2556024164,126.3108333333
9601,25601,-35.5002273221,100.0,99.3807700294,141.1111111111,-35.5002273221,108.3373233431
9602,25602,-36.0135903552,160.0,102.2337,166.6666666667,-36.0135903552,104.7963666667
9756,25603,-36.1276497287,110.0,114.3008,131.1111111111,-36.1276497287,112.3205666667
9772,25604,-37.5105391815,100.0,112.1946,143.3333333333,-37.5105391815,112.3973
9776,25605,-37.0884237651,126.6666666667,118.3201,130.0,-37.0884237651,114.699
9778,25606,-35.9754907612,106.6666666667,115.5003,124.4444444444,-35.9754907612,113.4704
9784,25607,,,,121.6666666667,-38.3416997207,111.8027
9795,25608,-35.1496771009,83.3333333333,129.4436,112.2222222222,-35.1496771009,130.4871666667
9804,25609,-37.0390664705,100.0,118.6305,122.2222222222,-37.0390664705,120.4295
9806,25610,-36.4514660907,116.6666666667,128.8352,96.6666666667,-36.4514660907,129.8898
9807,25611,-38.1289118943,100.0,110.8141,113.3333333333,-38.1289118943,112.1526333333
9811,25612,-36.6282224737,140.0,111.6614,148.8888888889,-36.6282224737,110.5316333333
9819,25613,-36.9364819471,100.0,116.3545,137.7777777778,-36.9364819471,119.4767333333
9820,25614,-36.3932581777,140.0,105.159,146.6666666667,-36.3932581777,113.9273
9821,25615,-35.1530395232,140.0,116.3524,153.3333333333,-35.1530395232,114.1047333333
9822,25616,-36.7453653349,100.0,99.3724094764,124.4444444444,-36.7453653349,108.0222698255
9824,25617,-36.9463644533,146.6666666667,113.7733,168.8888888889,-36.9463644533,110.6704
9825,25618,-35.5046433431,106.6666666667,103.1745,135.5555555556,-35.5046433431,101.8551333333
9826,25619,-36.9164410764,86.6666666667,120.0481,107.7777777778,-36.9164410764,119.2052
9833,25620,-36.4481674206,126.6666666667,103.0419,171.1111111111,-36.4481674206,100.0062128154
9834,25621,-34.9274238398,100.0,119.2854,136.6666666667,-34.9274238398,112.0028
9835,25622,,,,126.6666666667,-35.951372549,111.30085
9836,25623,-35.5284865654,163.3333333333,104.9555,135.5555555556,-35.5284865654,110.7477
9838,25624,,,,118.3333333333,-37.0565482374,110.8804
9839,25625,-37.0783370512,60.0,158.1417,115.5555555556,-37.0783370512,126.9358666667
9840,25626,-37.2408445305,160.0,110.2184,132.2222222222,-37.2408445305,119.5404
9841,25627,-35.3541422167,113.3333333333,108.7066,113.3333333333,-35.3541422167,108.1089666667
9843,25628,-37.0581620557,150.0,109.5134,163.3333333333,-37.0581620557,114.7631
9844,25629,-33.4952168781,126.6666666667,122.4743,142.2222222222,-33.4952168781,117.9966333333
9845,25630,,,,110.0,-36.5651135687,113.8171
9846,25631,-35.4321351655,126.6666666667,119.6369,128.8888888889,-35.4321351655,123.0181666667
9848,25632,-37.3353429495,156.6666666667,117.7525,147.7777777778,-37.3353429495,119.4422
9849,25633,-35.8284387313,140.0,105.1683,155.5555555556,-35.8284387313,102.2332212411
9850,25634,-34.3170379069,146.6666666667,98.3173444709,146.6666666667,-34.3170379069,98.3173444709
9851,25635,-37.068325798,160.0,110.6327,188.8888888889,-37.068325798,111.3843666667
9852,25636,-36.0831691381,106.6666666667,108.6407,113.3333333333,-36.0831691381,109.3181
9853,25637,-38.0427791431,93.3333333333,130.9509,93.3333333333,-38.0427791431,130.9509
9855,25638,-35.8228275459,173.3333333333,101.8418,162.2222222222,-35.8228275459,111.9418333333
9856,25639,-36.7855251627,120.0,111.5692,137.7777777778,-36.7855251627,112.4481
9857,25640,-35.6208007735,106.6666666667,98.12065584,117.7777777778,-35.6208007735,108.4233519467
9858,25641,-35.4490124522,126.6666666667,111.0016,145.5555555556,-35.4490124522,115.6717333333
9859,25642,,,,150.0,-34.998189146,112.014
9860,25643,,,,190.0,-35.2241133613,113.7195
9861,25644,-35.5926797544,113.3333333333,105.2381,140.0,-35.5926797544,108.6353
9864,25645,-36.5824632976,106.6666666667,121.6756,126.6666666667,-36.5824632976,115.5691666667
9866,25646,-35.311540231,156.6666666667,112.6944,154.4444444444,-35.311540231,113.3131666667
9867,25647,-36.4745308218,106.6666666667,115.3497,155.5555555556,-36.4745308218,110.6183333333
9868,25648,-36.4368314734,86.6666666667,121.8978,106.6666666667,-36.4368314734,117.8631
9870,25649,-34.2460367212,153.3333333333,107.858,140.0,-34.2460367212,109.5689
9874,25650,-35.5638597947,103.3333333333,123.871,107.7777777778,-35.5638597947,135.0944
9876,25651,,,,120.0,-35.5976879703,103.5479
9877,25652,-34.6726590399,133.3333333333,110.5671,178.8888888889,-34.6726590399,111.8841
9878,25653,-34.6603171238,126.6666666667,103.788,142.2222222222,-34.6603171238,106.1069333333
9880,25654,-36.6181358678,156.6666666667,117.5586,177.7777777778,-36.6181358678,109.5228333333
9881,25655,-36.5400877776,120.0,104.963,151.1111111111,-36.5400877776,102.2898163352
9882,25656,-36.0710368803,110.0,101.548,138.3333333333,-36.0710368803,100.0165257424
9883,25657,,,,170.0,,106.5535866799
9885,25658,-34.768159596,113.3333333333,120.4172,152.2222222222,-34.768159596,111.3189673636
9886,25659,-36.1968975035,126.6666666667,114.4942,126.6666666667,-36.1968975035,111.69585
9888,25660,-35.0401822817,110.0,119.4014,131.6666666667,-35.0401822817,118.77735
9890,25661,-37.2427908968,120.0,119.5103,144.4444444444,-37.2427908968,117.1773
9891,25662,,,,130.0,-34.3091099984,112.98975
9892,25663,-34.5021125727,130.0,101.6244,145.5555555556,-34.5021125727,102.1448333333
9895,25664,-36.596470993,113.3333333333,119.5748,118.8888888889,-36.596470993,121.3959
9897,25665,-36.5163464277,113.3333333333,125.3588,141.1111111111,-36.5163464277,126.2413333333
9898,25666,-34.3624788047,106.6666666667,102.8568,140.0,-34.3624788047,99.7899783728
9899,25667,-33.9327167392,113.3333333333,112.4292,142.2222222222,-33.9327167392,114.1913
9901,25668,,,,165.0,-35.9626606072,111.71635
9902,25669,-35.8954985323,100.0,121.3794,140.0,-35.8954985323,117.28645
9903,25670,,,,166.6666666667,-35.2020158979,108.7898
9904,25671,-36.303202665,100.0,119.8542,123.3333333333,-36.303202665,118.81635
9906,25672,-35.8714172372,73.3333333333,119.6331,122.2222222222,-35.8714172372,113.0379666667
9938,25673,-36.2548987766,146.6666666667,103.6266,145.5555555556,-36.2548987766,109.5128333333
9942,25674,,,,116.6666666667,,120.1445
9948,25675,,,,155.0,,108.6393
9949,25676,-34.564865911,100.0,108.0035,125.5555555556,-34.564865911,105.6296905527
9950,25677,-36.4882955289,166.6666666667,102.5497,166.6666666667,-36.4882955289,102.5497
10005,25678,-34.9193355733,110.0,121.434,114.4444444444,-34.9193355733,123.6541333333
10017,25679,-34.9839604448,90.0,122.918,125.5555555556,-34.9839604448,106.3446741881
