,r2s,RMSEs,features,hidden,lr,weight_decay,memory,tol,drop_out,epoch,brach_size,hidden_layer_size,variance_maintained
0,0.023314541801614186,1.0645922777490184,2,3,0.0015,0.1,10,0.005,0.0,245,100,0.6666666666666666,0.05
1,-0.010076318888494917,1.2664880677651709,2,3,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.05
2,-0.0005742725928110648,1.3097111063905793,2,3,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.05
3,-0.013005157035793635,1.3427217754808978,2,3,0.0015,0.0,10,0.005,0.0,245,100,0.6666666666666666,0.05
4,-0.0017786452815733433,0.6914434063711001,2,3,0.0015,0.01,10,0.005,0.0,245,100,0.6666666666666666,0.05
5,-0.16710933039762255,0.5113501413947185,2,3,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.05
6,0.011720070221771905,0.8385628608694656,2,3,0.0015,0.01,10,0.005,0.0,245,100,0.6666666666666666,0.05
7,-0.001038290169814271,0.875632739437517,2,3,0.0015,0.01,10,0.005,0.0,245,100,0.6666666666666666,0.05
8,-0.1848207054341624,0.4770113808741495,2,3,0.0015,0.0,10,0.005,0.0,245,100,0.6666666666666666,0.05
9,0.0031240732640651636,1.1088239701130136,2,3,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.05
10,0.0347499616136564,1.0583415936875893,4,3,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.1
11,0.11685076362659386,1.1842436281831517,4,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.1
12,-0.00041517644918576124,1.3096069770542496,4,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.1
13,0.11193782148648879,1.257192817454232,4,1,0.0015,0.01,10,0.005,0.0,245,100,0.6666666666666666,0.1
14,0.18018119713758374,0.6255034250601299,4,3,0.0015,0.01,10,0.005,0.0,11,100,0.6666666666666666,0.1
15,-0.24931372807390106,0.5290520066688553,4,1,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.1
16,0.47244765385213927,0.6126725398307592,4,1,0.0015,0.0,10,0.005,0.0,245,100,0.6666666666666666,0.1
