,r2s,RMSEs,features,hidden,lr,weight_decay,memory,tol,drop_out,epoch,brach_size,hidden_layer_size,variance_maintained
0,0.09737056134882083,0.9044686850421498,2,1,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.05
1,-0.0005505682481017349,0.9619291730832923,2,1,0.0015,0.1,10,0.005,0.0,245,100,0.6666666666666666,0.05
2,0.04058280867996156,0.8915605094110058,2,3,0.0015,0.01,10,0.005,0.0,245,100,0.6666666666666666,0.05
3,-6.82272464453959e-05,0.9059244444201628,2,1,0.0015,0.01,10,0.005,0.0,245,100,0.6666666666666666,0.05
4,-0.2480000211963591,1.1760168019378021,2,1,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.05
5,0.029195081326973127,1.1242572898909944,2,1,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.05
6,0.10720166036685574,0.8796685465703454,2,1,0.0015,0.0,10,0.005,0.0,245,100,0.6666666666666666,0.05
7,0.18096907668387918,0.889834951855964,2,1,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.05
8,0.06846762480727031,1.0603790442374073,2,1,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.05
9,-0.01047633721127239,1.018452702235124,2,1,0.0015,0.01,10,0.005,0.0,119,100,0.6666666666666666,0.05
10,0.11801597156120136,0.8940651127434281,5,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.1
11,0.009649770965971749,0.9570133096865221,5,3,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.1
12,0.21623168767410683,0.8058253512106729,5,3,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.1
13,0.2400373655169723,0.7897202662446622,5,3,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.1
14,0.3325221851357222,0.8600518770192124,5,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.1
15,0.3585663989424862,0.9138513999257046,5,3,0.0015,0.01,10,0.05,0.0,173,100,0.6666666666666666,0.1
16,0.12685792254126083,0.8699310567231858,5,3,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.1
17,0.2714592735051806,0.8392401022579243,5,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.1
18,0.20607993521611234,0.9789275448387916,5,3,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.1
19,0.2840073181600976,0.8572985369605293,5,3,0.0015,0.1,10,0.005,0.0,245,100,0.6666666666666666,0.1
20,0.2642467067710932,0.816591576400966,20,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.2
21,0.2710788857845229,0.8210390998968582,20,3,0.0015,0.1,10,0.05,0.0,107,100,0.6666666666666666,0.2
22,0.3937104696193595,0.708740270516301,20,3,0.0015,0.1,10,0.05,0.0,112,100,0.6666666666666666,0.2
23,0.26087723109699335,0.7788170560801995,20,1,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.2
24,0.3864031929246631,0.8246084404114964,20,3,0.0015,0.1,10,0.05,0.0,209,100,0.6666666666666666,0.2
25,0.4300122098300784,0.861454818594938,20,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.2
26,0.397993832565277,0.7223419661082594,20,3,0.0015,0.1,10,0.05,0.0,121,100,0.6666666666666666,0.2
27,0.4744736073676219,0.7127817583968807,20,3,0.0015,0.1,10,0.005,0.0,17,100,0.6666666666666666,0.2
28,0.36435881550125593,0.8759275252585821,20,3,0.0015,0.1,10,0.05,0.0,158,100,0.6666666666666666,0.2
29,0.43830104587685415,0.7593283214054766,20,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.2
30,0.328355606613019,0.780204561626534,54,3,0.0015,0.1,10,0.005,0.0,8,100,0.6666666666666666,0.3
31,0.31386841659188247,0.7965761148112306,54,3,0.0015,0.1,10,0.005,0.0,8,100,0.6666666666666666,0.3
32,0.3457033382459821,0.7362654612667693,54,3,0.0015,0.1,10,0.005,0.0,8,100,0.6666666666666666,0.3
33,0.32356524285064636,0.745058066188654,54,3,0.0015,0.01,10,0.005,0.0,7,100,0.6666666666666666,0.3
34,0.4205947539658299,0.8013042418941907,54,3,0.0015,0.1,10,0.005,0.0,7,100,0.6666666666666666,0.3
35,0.5113393811215958,0.7976335236564994,54,3,0.0015,0.1,10,0.05,0.0,8,100,0.6666666666666666,0.3
36,0.38553079524122624,0.7297808077300775,54,3,0.0015,0.01,10,0.005,0.0,7,100,0.6666666666666666,0.3
37,0.47794235140472974,0.7104255010313439,54,3,0.0015,0.0,10,0.005,0.0,7,100,0.6666666666666666,0.3
38,0.3870675651081723,0.8601386473571991,54,3,0.0015,0.1,10,0.005,0.0,7,100,0.6666666666666666,0.3
39,0.467095877507296,0.7396092444754224,54,3,0.0015,0.0,10,0.005,0.0,7,100,0.6666666666666666,0.3
40,0.40407116013586775,0.7349131020259901,110,3,0.0015,0.1,10,0.05,0.0,7,100,0.6666666666666666,0.4
41,0.3103385567374085,0.7986225115979412,110,3,0.0015,0.1,10,0.005,0.1,7,100,0.6666666666666666,0.4
42,0.20879789690505735,0.8096378298612281,110,3,0.0015,0.1,10,0.05,0.1,7,100,0.6666666666666666,0.4
43,0.33650779726483526,0.7378958625055325,110,3,0.0015,0.1,10,0.05,0.1,7,100,0.6666666666666666,0.4
44,0.3642270621000231,0.8393773564154837,110,3,0.0015,0.1,10,0.05,0.1,8,100,0.6666666666666666,0.4
45,0.5519381540179851,0.763780753103015,110,3,0.0015,0.1,10,0.005,0.0,7,100,0.6666666666666666,0.4
46,0.31942612327898023,0.7680332360009285,110,3,0.0015,0.1,10,0.005,0.0,7,100,0.6666666666666666,0.4
47,0.5267518798626198,0.6764002501318498,110,3,0.0015,0.1,10,0.005,0.1,7,100,0.6666666666666666,0.4
48,0.43035020759342935,0.8292130560070826,110,3,0.0015,0.1,10,0.005,0.0,7,100,0.6666666666666666,0.4
49,0.5194844435363539,0.7023143092800567,110,3,0.0015,0.1,10,0.005,0.0,7,100,0.6666666666666666,0.4
50,0.35747422727329536,0.7631045878494057,187,3,0.0015,0.1,10,0.005,0.1,7,100,0.6666666666666666,0.5
51,0.3226438400574576,0.791465733700319,187,3,0.0015,0.1,10,0.05,0.1,7,100,0.6666666666666666,0.5
52,0.24304157563051298,0.7919232416591628,187,3,0.0015,0.0,10,0.005,0.0,7,100,0.6666666666666666,0.5
53,0.25316149530234955,0.7828715553974722,187,3,0.0015,0.01,10,0.05,0.0,7,100,0.6666666666666666,0.5
54,0.26998809506672106,0.8994379370367835,187,3,0.0015,0.01,10,0.005,0.1,7,100,0.6666666666666666,0.5
55,0.5511782195904392,0.764428183135963,187,3,0.0015,0.1,10,0.05,0.1,7,100,0.6666666666666666,0.5
56,0.1358733091091877,0.865428287509208,187,3,0.0015,0.1,10,0.05,0.1,7,100,0.6666666666666666,0.5
57,0.5222803902705917,0.6795882246948354,187,3,0.0015,0.1,10,0.005,0.0,7,100,0.6666666666666666,0.5
58,0.37633588315127353,0.8676359497620482,187,3,0.0015,0.1,10,0.005,0.0,7,100,0.6666666666666666,0.5
59,0.44328683734623753,0.7559508082419795,187,3,0.0015,0.0,10,0.005,0.0,7,100,0.6666666666666666,0.5
60,0.37986586625228935,0.7496898079033432,382,3,0.0015,0.01,10,0.005,0.0,7,100,0.6666666666666666,0.7
61,0.19788507841080583,0.8612750616965044,382,3,0.0015,0.01,10,0.005,0.0,7,100,0.6666666666666666,0.7
62,0.18837360610154774,0.8200213438167712,382,3,0.0015,0.0,10,0.005,0.0,7,100,0.6666666666666666,0.7
63,0.20532002295249152,0.8075572096441086,382,3,0.0015,0.0,10,0.005,0.0,7,100,0.6666666666666666,0.7
