,r2s,RMSEs,features,hidden,lr,weight_decay,memory,tol,drop_out,epoch,brach_size,hidden_layer_size,variance_maintained
0,-0.2104802053071848,0.810771122110244,2,3,0.0015,0.01,10,0.005,0.0,25,100,0.6666666666666666,0.05
1,-0.01314107002796061,0.6251116950122284,2,3,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.05
2,-0.007624595996577499,1.2297982676046113,2,3,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.05
3,-0.18392456012379022,0.526653744661203,2,3,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.05
4,0.05697316203881675,1.0069807760563771,2,1,0.0015,0.0,10,0.005,0.0,245,100,0.6666666666666666,0.05
5,-0.003909339736863027,0.6569959422318628,2,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.05
6,-0.030574699611740863,1.531245872339932,2,3,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.05
7,-0.11986585802699912,1.2417717175591274,2,1,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.05
8,-5.371537067033749e-05,1.0837527809973937,2,3,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.05
9,0.20480355283528207,0.8397284616822398,2,1,0.0015,0.0,10,0.005,0.0,245,100,0.6666666666666666,0.05
10,0.25829596177528424,0.634650676749835,4,3,0.0015,0.0,10,0.005,0.0,210,100,0.6666666666666666,0.1
11,-0.18381949037215906,0.6757178733869733,4,1,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.1
12,0.18621012555396876,1.1051993932990736,4,1,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.1
13,-0.22188056968282655,0.5350292689316898,4,1,0.0015,0.1,10,0.005,0.0,245,100,0.6666666666666666,0.1
14,-0.0028460977668012255,1.0384277798615578,4,3,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.1
15,-0.00333108728943321,0.6568066999271538,4,3,0.0015,0.01,10,0.005,0.0,175,100,0.6666666666666666,0.1
16,0.1554076891465953,1.3862091285307245,4,1,0.0015,0.01,10,0.005,0.0,245,100,0.6666666666666666,0.1
17,0.04493086186175521,1.1467695900914439,4,1,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.1
18,0.0007000940139283429,1.083344254430796,4,1,0.0015,0.0,10,0.05,0.0,245,100,0.6666666666666666,0.1
19,0.36049092583329667,0.7530520817882819,4,1,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.1
20,0.38597273127101606,0.5774484965264045,16,3,0.0015,0.01,10,0.05,0.0,66,100,0.6666666666666666,0.2
21,0.3321903006639888,0.5075151661681219,16,3,0.0015,0.1,10,0.05,0.0,143,100,0.6666666666666666,0.2
22,0.8156560592669233,0.5260159710240655,16,1,0.0015,0.1,10,0.05,0.0,245,100,0.6666666666666666,0.2
23,-0.552943006718295,0.6031716491061008,16,3,0.0015,0.0,10,0.005,0.0,19,100,0.6666666666666666,0.2
24,0.05970360440329636,1.005521911909356,16,1,0.0015,0.01,10,0.05,0.0,245,100,0.6666666666666666,0.2
