accession_id,replicate_id,Trichome perimeter,Metals in stomata,Metal ring in trichomes,Trichome length,Leaf epidermis autofluorescence,Trichome autofluorescence,Trichome stem length,Metal surrounding trichomes,Number of trichome branches,Metal gradient in trichomes,Shaveproof trichomes,Autofluorescence color,Trichome circularity,Trichome area,Metal in trichome base,Callose content in trichomes,Trichome solidity,Trichome density
6010,82325,1126.016,0.0,2.0,1638.61,0.0,2.0,0.28,0.0,2.5,1.0,0.0,0.0,0.13462,10095.21,0.0,6.343,0.44808,3.0
6011,82326,2038.311,0.0,2.0,3018.765,0.0,2.0,0.29,0.0,2.5,0.0,0.0,0.0,0.07356,23468.77,0.0,21.727,0.28016,3.0
6016,82327,1771.731,0.0,2.0,2589.955,0.0,1.0,0.2,0.0,3.0,0.0,0.0,0.0,0.08744,21892.44,2.0,1.32,0.30412,3.0
6017,82328,2164.676,0.0,2.0,2418.93,0.0,2.0,0.24,0.0,2.5,1.5,1.0,0.0,0.06992,24620.49,0.0,65.156,0.23588,2.5
6019,82329,1959.199,0.0,2.0,2192.051,0.0,1.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0662,18551.03,0.0,3.461,0.22568,3.0
6021,82330,,0.0,2.0,,0.0,2.0,0.33,0.0,2.5,1.5,0.0,0.0,,,1.0,,,3.0
6022,82331,1506.943,0.0,1.0,2301.832,0.0,1.0,0.27,0.0,2.5,2.0,0.0,0.0,0.1005,15984.01,2.0,7.414,0.3387,1.0
6023,82332,1644.809,0.0,2.0,1977.789,0.0,2.0,0.33,0.0,2.5,1.0,0.0,0.0,0.0818,16522.25,0.0,1.891,0.2636,2.5
6024,82333,2289.757,0.0,2.0,3692.042,0.0,3.0,0.3,0.0,3.0,2.0,0.0,0.0,0.06084,24660.25,0.0,1.841,0.23184,2.5
6025,82334,1555.305,0.0,2.0,1584.396,0.0,3.0,0.3,0.0,2.0,2.0,0.0,0.0,0.06716,12140.13,1.0,14.596,0.33253,3.0
6030,82335,2234.162,0.0,2.0,2980.42,2.0,2.0,0.31,0.0,3.0,1.0,0.0,0.0,0.0626,23791.87,0.0,3.665,0.25492,4.0
6034,82336,1531.424,0.0,2.0,1684.541,4.0,2.0,0.37,0.0,2.0,2.5,1.0,0.0,0.08288,14504.68,2.0,93.49,0.28516,2.0
6035,82337,1262.717,0.0,2.0,1077.239,2.0,2.0,0.35,0.0,2.0,2.5,0.0,0.0,0.09332,10471.28,0.0,9.709,0.36412,2.5
6038,82338,1670.082,0.0,2.0,2341.322,2.0,2.0,0.26,0.0,2.0,1.0,0.0,0.0,0.09352,20214.28,0.0,18.263,0.28464,3.0
6040,82339,2598.857,0.0,2.0,4392.239,2.0,2.0,0.27,0.0,3.0,2.0,0.0,0.0,0.06116,31554.75,0.0,6.517,0.26756,2.5
6041,82340,1714.09,0.0,2.0,1697.018,2.0,2.0,0.19,0.0,3.0,2.0,1.0,0.0,0.05916,13623.46,0.0,47.68,0.21536,2.0
6046,82341,1707.031,0.0,2.0,2622.091,2.0,3.0,0.21,0.0,3.0,1.5,0.0,0.0,0.06948,15776.28,0.0,14.152,0.27288,3.0
6064,82342,2410.192,0.0,2.0,3465.55,4.0,2.0,0.32,0.0,3.0,1.0,0.0,0.0,0.0746,32135.41,0.0,8.141,0.27648,3.0
6069,82343,2057.923,0.0,2.0,3481.89,0.0,2.0,0.3,0.0,2.5,1.0,0.0,0.0,0.07784,26111.61,0.0,0.1,0.2814,3.0
6073,82344,1956.051,0.0,1.0,2934.414,0.0,3.0,0.26,0.0,2.0,0.0,0.0,0.0,0.07044,19837.65,0.0,23.929,0.26016,2.5
6076,82345,2157.952,0.0,2.0,2342.899,0.0,3.0,0.25,0.0,2.5,1.0,1.0,0.0,0.08192,28644.06,1.0,92.755,0.264,2.5
6077,82346,1993.543,0.0,2.0,3330.878,0.0,3.0,0.3,0.0,2.0,1.0,0.0,0.0,0.07716,24002.72,2.0,11.566,0.30664,2.0
