,index,y_pred,y_test
0,2,0.052668545,-0.0501732461042613
1,10,0.052668545,-0.09781541716236056
2,29,0.052668545,2.064065615226953
3,30,0.052668545,-0.10056015726343594
4,55,0.052668545,-0.08959736478968006
5,63,0.052668545,-0.12074594574429454
6,70,0.052668545,0.0032856162157870166
7,72,0.052668545,-0.10355842359911249
8,76,0.052668545,-0.10375471995905339
9,77,0.052668545,-0.09062545694481602
10,78,0.052668545,-0.09062545694481602
11,101,0.052668545,-0.09365261717938292
12,104,0.052668545,-0.09382396587190563
13,118,0.052668545,-0.10672390793642918
14,135,0.052668545,-0.11789927585501424
15,165,-0.17903483,-0.1486675472795962
16,181,-0.037826177,-0.09463484473835308
17,182,0.052668545,-0.29068178119992505
18,188,0.052668545,-0.21556467048399885
19,208,-0.056795258,-0.27512144218743817
20,209,-0.10739724,-0.3119837426449925
21,218,0.052668545,-0.16113074717315498
22,235,0.052668545,-0.24866606768154773
23,238,0.052668545,-0.2851979886644031
24,248,0.052668545,-0.24963704360584282
25,274,0.043766588,0.6762023035966054
26,277,-0.38436604,-0.2935078679019001
27,281,0.025673253,-0.23791471114479798
28,284,0.007778,-0.29383502850180165
29,286,-0.26127112,-0.2939004606217819
30,289,0.014781974,-0.3173990541056862
31,291,0.01925056,-0.3174696235355591
32,300,0.0046719946,-0.25803312953945295
33,312,0.0031403936,0.20834919185097606
34,340,-0.014714893,-0.3209545086424431
35,352,-0.03280497,-0.3212098033188223
36,354,0.03804369,-0.33731163787678936
37,355,-0.2691778,-0.3374597542231744
38,357,-0.25564483,-0.33790410326232856
39,388,-0.3390357,-0.3002473762598703
40,395,0.052668545,3.5629658530827726
41,433,-0.20700416,-0.28350696849448825
42,437,0.052668545,-0.2837354334178518
43,451,0.052668545,6.659888671500242
44,462,-0.2919525,-0.39467257981650533
45,465,0.052668545,-0.19977815415487665
46,490,0.02475688,-0.3974953570114211
47,501,0.052668545,-0.44353911986303457
48,524,0.052668545,-0.35033295857832486
49,534,-0.014509071,-0.48302109135081084
50,536,-0.041247036,-0.43440316883494495
51,542,-0.024812702,-0.47195177783060405
52,552,-0.32864833,-0.47271759953162107
53,555,-0.04518548,0.8069840278160478
54,556,-0.024735186,1.593346355164763
55,557,0.032035947,-0.47317709255223145
56,565,-0.040085915,-0.45802646018038246
57,570,-0.05201521,-0.4583226928731519
58,590,0.052668545,-0.4609887871080776
59,591,0.052668545,-0.43948416778579324
60,6,-0.0095096575,-0.10470279246878304
61,9,-0.0095096575,-0.11076768608127373
62,11,-0.0095096575,-0.09845471824064972
63,39,-0.0095096575,-0.101660892119684
64,60,-0.0095096575,0.24909038065968414
65,73,-0.0095096575,-0.09847515903551442
66,79,-0.0095096575,-0.10388558419901393
67,81,-0.0095096575,-0.10395101631899423
68,82,-0.0095096575,-0.11225372146518267
69,83,-0.0095096575,-0.11225372146518267
70,84,-0.0095096575,-0.10414731267893512
71,86,-0.0095096575,-0.09108238679154305
72,90,-0.0095096575,-0.09199624648499724
73,110,-0.0095096575,-0.09416666325695096
74,131,-0.0095096575,-0.12350569187036446
75,132,-0.0095096575,-0.0854115620467916
76,140,-0.0095096575,-0.1001592521351705
77,145,-0.0095096575,-0.09582303395133662
