,index,y_pred,y_test
0,9,0.632304,-1.0366411422216006
1,30,0.34203964,0.373703649381495
2,39,-0.38940775,0.14685204411487915
3,55,-0.38940775,0.6521957863872613
4,56,-0.38940775,-0.3269917509337383
5,70,0.32894588,-0.5124387381895165
6,72,-0.38940775,-1.4560597022160822
7,73,-0.38940775,0.040122381867524884
8,75,-0.35728934,-0.7999154423833027
9,76,0.90697664,0.13889661043247745
10,79,-0.38940775,-0.5576815751447908
11,90,-0.38940775,-1.1549857153948178
12,94,-0.38940775,-0.8473177121963067
13,116,-0.38940775,-0.63595657184733
14,132,0.13362014,-0.5332292555591508
15,137,-0.25493345,-0.6914508259948925
16,145,-0.30220068,-0.4744295928692248
17,168,-0.31504673,0.5076736859546033
18,175,-0.38065434,-0.22821762995575048
19,184,-0.38940775,1.3219767014825605
20,192,-0.38940775,0.22753772406691478
21,194,-0.38940775,1.7574205211380267
22,196,-0.38940775,-0.1630894184418632
23,208,-0.38940775,1.6066638691537318
24,218,-0.38940775,0.5306763388419459
25,228,-0.38940775,0.3103804929396542
26,231,-0.38940775,0.8853016037203992
27,239,-0.38940775,-1.2608996065933922
28,247,-0.38940775,0.8821279833746686
29,262,-0.38940775,0.06910127839219914
30,271,-0.38940775,2.9234578650369185
31,297,0.7742645,0.06646795723069343
32,326,0.017364264,0.2900692574453964
33,329,-0.14875832,-0.33516544063871895
34,334,0.73553854,-1.3286552061212036
35,337,-0.09863281,-0.6721658926455716
36,347,-0.072645724,-1.2436173130533956
37,353,-0.05347073,-0.12825328660388038
38,368,-0.38940775,-0.3913954621621906
39,369,0.36181152,-1.1376248633119437
40,412,-0.38940775,3.1781419896071403
41,416,-0.38940775,2.084001261492949
42,0,-0.15344374,-0.7859674474033262
43,15,-0.15829031,-0.4316308257691792
44,17,-0.11431667,0.5490956101493046
45,19,-0.09384924,-0.2277361124597159
46,22,-0.018098205,1.0654325222897914
47,24,0.52041966,0.6697570078862934
48,25,-0.0816484,-0.44450504011195874
49,33,-0.15829031,-0.9336567569103679
50,42,0.9940056,0.7485955668101052
51,46,0.3181864,0.5111689402668118
52,57,0.8957909,0.40844446500390597
53,77,0.12499027,-1.2046083859573367
54,78,-0.15829031,-0.8498726186897062
55,82,-0.15829031,0.08244336692742336
56,93,-0.15829031,1.5842961033571397
57,104,-0.15829031,0.30973078984739794
58,113,0.39164448,1.133566355098043
59,124,-0.15829031,-0.8188631197741576
60,148,-0.15829031,-0.8913566887622817
61,172,-0.056549184,-0.9843709065304915
62,173,-0.15829031,-1.0730969978202374
63,266,0.7246398,0.7706680027413548
64,272,0.7217369,2.71486839630388
65,277,0.25487638,0.6992745091916726
66,278,0.14233755,1.1249133087538628
67,280,0.11682163,-0.4655607646379539
68,284,0.025276318,-0.8182215763326015
69,294,0.21889807,-0.9424578542238371
70,296,0.17379336,-1.0602013140427586
71,317,-0.15829031,1.438138588060891
72,356,-0.15829031,-0.36372728158258805
73,362,-0.07442495,-0.3261881711292252
74,366,-0.044485725,0.04688917780439006
75,367,-0.09148437,-0.44226002966482864
76,370,-0.075021826,-0.8141067790190297
77,375,0.03978418,-1.3743908028632796
78,379,0.6810206,-0.5213642975743693
79,399,-0.15829031,-0.07393624811321017
80,406,-0.15829031,-0.6170994914336595
81,408,-0.15829031,-0.4683642012140684
82,411,-0.15829031,-0.7085169895401444
83,415,0.10427977,-0.25725275653404195
84,3,-0.2836987,-0.2634528084107386
85,5,-0.2836987,-0.9033486755881354
86,7,-0.2836987,-0.5880224493385904
87,16,-0.07007575,1.786615378253564
88,18,-0.004628122,-0.9137679970093799
89,26,-0.2836987,1.3668375864777798
90,31,-0.2836987,-0.8853526417356378
91,45,-0.2836987,0.41258366194698576
92,60,-0.2836987,3.9911252960138746
93,63,-0.2836987,-1.069235451651276
94,66,-0.2836987,-0.8632538464509643
95,84,0.10716024,-0.8466424712409253
96,101,-0.2836987,-1.187448920078613
97,108,-0.2836987,-0.5924514923117722
98,110,-0.2836987,-0.8334959057849725
99,126,-0.2836987,0.591262566781091
100,131,-0.2836987,-0.9552145495014773
101,153,-0.2836987,0.0362227169075379
102,154,-0.2836987,-1.0422864684138489
103,199,0.5102581,0.262918842598473
104,203,-0.2836987,0.0005341368950778598
105,204,0.042334706,-0.0069620765985648
106,210,-0.2836987,0.5697996857691554
107,246,0.31481805,-0.9652333629465033
108,248,0.9066367,0.730082144144007
109,265,0.98661995,-0.46597444599978227
110,281,0.031769007,2.000347379904654
111,289,0.31990245,-0.938111827176189
112,302,-0.2836987,1.0039500511698216
113,311,-0.2836987,-0.32859520152774124
114,312,-0.2836987,0.637108357557162
115,323,-0.2836987,0.42988152514429406
116,333,-0.27204955,-1.313914537007927
117,346,-0.2836987,-0.5215235926579337
118,358,-0.2836987,0.12357468359513309
119,361,-0.03716539,0.2363302395876102
120,371,-0.2836987,-1.1658821089645928
121,382,-0.2836987,-0.6782276358261664
122,388,-0.2836987,-0.22150679583449373
123,391,-0.2836987,-0.6697961960179397
124,393,-0.2836987,-0.7457829735247846
125,402,-0.2836987,1.7667968399997882
126,29,-0.056377098,-0.8755155775031292
127,36,-0.056377098,0.17032697332503377
128,59,-0.056377098,0.019782224261871935
129,74,-0.056377098,1.0909348853635321
130,83,-0.056377098,-0.4398660282300987
131,109,-0.056377098,-0.7367077814599096
132,111,-0.056377098,-0.260007728647187
133,114,-0.056377098,-0.41170884866634105
134,118,-0.056377098,1.4200272853519749
135,119,-0.056377098,-1.5110180427158657
136,139,-0.056377098,-0.9398814586018531
137,140,-0.056377098,-0.636510666233351
138,141,-0.056377098,-1.2659101620346926
139,152,-0.056377098,-0.15631589813734847
140,155,-0.056377098,-0.07123704434148774
141,157,-0.056377098,-0.8379426318610962
142,165,-0.056377098,-0.5413458193210939
143,176,-0.056377098,-0.6576017890589689
144,177,-0.056377098,-1.3355861580665824
145,180,-0.056377098,0.32671659978861733
146,181,-0.056377098,-1.1655567754653327
147,193,-0.056377098,-0.2951256575515
148,209,-0.056377098,-0.2518082445115227
149,211,-0.056377098,1.9567331761871731
150,222,-0.056377098,0.9426561799991149
151,225,-0.056377098,-0.6910086711046067
152,238,-0.056377098,-1.5671069903758899
153,249,-0.056377098,0.09237551341944307
154,268,-0.056377098,0.7810411658900429
155,290,-0.056377098,-0.34068109463287566
156,298,-0.056377098,0.6297895409274346
157,301,-0.056377098,-0.26427742310802366
158,310,-0.056377098,0.5560705277813679
159,325,-0.056377098,0.024237052183496206
160,332,-0.056377098,-1.08034447171011
161,338,-0.056377098,0.2432436065347707
162,350,-0.056377098,-0.8061389513182853
163,351,-0.056377098,-0.28055119024022557
164,373,-0.056377098,-0.8284465997071667
165,377,-0.056377098,-0.9678301557805544
166,378,-0.056377098,-1.541464996198134
167,392,-0.056377098,-0.6298298616398237
168,2,-0.7246573,-0.7500455785516944
169,6,-0.7246573,-0.8795848223134614
170,10,0.9178307,-0.890783141923625
