accession_id,replicate_id,Gravitropic setpoint angle (GSA)
6180,26125,-18.579999999999998
7246,26126,-18.100000000000001
5752,26127,-17.059999999999999
6931,26128,-12.65
8311,26129,-12.35
7299,26130,-12.25
7201,26131,-12.18
6073,26132,-11.866666666666699
7521,26133,-11.800000000000001
96,26134,-11.08
6951,26135,-10.800000000000001
6942,26136,-10.609999999999999
6910,26137,-10.199999999999999
8296,26138,-9.9800000000000004
204,26139,-9.5800000000000001
6915,26140,-9.5
8348,26141,-9.3499999999999996
8249,26142,-9.3399999999999999
6922,26143,-9.0999999999999996
9336,26144,-8.8133333333333308
7276,26145,-8.6600000000000001
8240,26146,-8.6099999999999994
6990,26147,-8.2799999999999994
6040,26148,-8.2100000000000009
6907,26149,-7.8700000000000001
7178,26150,-7.7599999999999998
7062,26151,-7.6699999999999999
7262,26152,-7.4500000000000002
6036,26153,-7.3933333333333398
6897,26154,-7.3399999999999999
6413,26155,-7.2600000000000096
6899,26156,-6.9299999999999997
7000,26157,-6.9199999999999999
2320,26158,-6.8200000000000003
7291,26159,-6.7699999999999996
8312,26160,-6.0899999999999999
6730,26161,-5.7999999999999998
7192,26162,-5.75
224,26163,-5.7000000000000002
6085,26164,-5.3399999999999999
5723,26165,-5.1699999999999999
7310,26166,-5.0
5751,26167,-4.8799999999999999
8376,26168,-4.8700000000000001
7255,26169,-4.8200000000000003
6994,26170,-4.7999999999999998
6074,26171,-4.7599999999999998
7205,26172,-4.6399999999999997
8337,26173,-4.5999999999999996
8258,26174,-4.5800000000000001
6923,26175,-4.5
6940,26176,-4.5
6035,26177,-4.4699999999999998
6981,26178,-4.4699999999999998
6937,26179,-4.4000000000000004
6984,26180,-4.2800000000000002
9394,26181,-4.2433333333333296
6038,26182,-3.9933333333333301
6943,26183,-3.9500000000000002
7282,26184,-3.8999999999999999
8270,26185,-3.8900000000000001
6076,26186,-3.8433333333333302
6924,26187,-3.7799999999999998
7123,26188,-3.7000000000000002
8300,26189,-3.7000000000000002
6929,26190,-3.6699999999999999
7287,26191,-3.1200000000000001
6916,26192,-3.0
7522,26193,-3.0
7166,26194,-2.8999999999999999
6930,26195,-2.77
236,26196,-2.6000000000000001
7071,26197,-2.5699999999999998
7092,26198,-2.46
6189,26199,-2.4449999999999998
6243,26200,-2.3300000000000001
6020,26201,-2.1733333333333298
7523,26202,-2.1099999999999999
6024,26203,-2.0800000000000098
6030,26204,-2.04666666666667
6023,26205,-1.9299999999999999
7210,26206,-1.73
5731,26207,-1.6899999999999999
6077,26208,-1.6599999999999999
7351,26209,-1.5700000000000001
7147,26210,-1.55
7384,26211,-1.47
6956,26212,-1.3100000000000001
6972,26213,-1.1299999999999999
9308,26214,-1.0800000000000001
6945,26215,-0.83999999999999997
6975,26216,-0.73999999999999999
2057,26217,-0.69999999999999996
8259,26218,-0.57999999999999996
8395,26219,-0.53000000000000003
7519,26220,-0.40000000000000002
6971,26221,-0.16
6019,26222,-0.10666666666666701
7081,26223,-0.10000000000000001
6928,26224,-0.080000000000000002
8271,26225,0.059999999999999998
