,Unnamed: 0,accession_id,phenotype_value
0,0,1,247.82886202332395
1,1,2,758.1747071755254
2,2,4,-355.73289929254014
3,3,6,-176.3630926319567
4,4,7,-476.6357137187369
5,5,8,-480.1365750125578
6,6,9,-160.56535764605823
7,7,12,36.396326253278495
8,8,23,53.8184443358467
9,9,32,-244.85423941602943
10,10,45,-469.3649171963557
11,11,51,522.6334136095396
12,12,60,-276.4737336916782
13,13,62,-255.9631646518923
14,14,66,-117.72986557009084
15,15,69,-517.5681695909694
16,16,74,-345.934270531459
17,17,79,-105.25094484594908
18,18,80,330.50196626398895
19,19,81,-22.11959212674194
20,20,83,88.18376454433184
21,21,84,-363.3091246576282
22,22,85,596.4412805390346
23,23,86,-53.27788189717247
24,24,87,1079.65107373068
25,25,88,-410.8071755777639
26,26,89,-351.9906713713445
27,27,91,-492.3903313051436
28,28,94,-386.0955644862675
29,29,96,-487.4031602596932
30,30,104,-571.6805966424723
31,31,106,-276.7422521287056
32,32,116,161.56337211638655
33,33,121,-429.4950479158082
34,34,122,-325.2401237075882
35,35,126,-591.5962249606769
36,36,137,-484.6854714586527
37,37,146,-262.1085705056976
38,38,148,532.9565263133204
39,39,149,-390.65256404594777
40,40,151,-474.8016785909036
41,41,153,-376.8004171679358
42,42,157,-388.65066625553857
43,43,159,-382.50499930552326
44,44,160,-276.1656966164108
45,45,163,-490.9956312328175
46,46,165,-322.271629223252
47,47,166,-572.4094201145612
48,48,167,-201.5346609049421
49,49,169,-244.41630568708925
50,50,170,-277.11584299761324
51,51,173,-277.12751771226664
52,52,174,-413.9727560767271
53,53,175,-386.2366605310459
54,54,178,-652.8044663886941
55,55,179,-277.1625418562267
56,56,183,-525.2960869828042
57,57,184,-254.4505190832056
58,58,185,-227.78403474840232
59,59,187,-219.60246225808655
60,60,188,-488.4419596367164
61,61,190,-381.8488653097036
62,62,191,-291.45372479818724
63,63,194,-516.452616042975
64,64,196,-188.83736119485144
65,65,198,-552.120588968213
66,66,200,-391.0806690013041
67,67,202,-423.679974444251
68,68,203,-277.30263843206706
69,69,204,57.85804912350996
70,70,205,-357.1400377089831
71,71,206,-391.1300657269221
72,72,207,-391.1300657269221
73,73,208,-136.08663147767507
74,74,210,198.32647963140295
75,75,212,-485.3453276653581
76,76,213,-357.04181826928493
77,77,214,-277.37268671998726
78,78,215,621.8653829296435
79,79,216,-275.9257086444137
80,80,217,7.321324673038398
81,81,219,-74.28194400513567
82,82,222,-303.5202862216948
83,83,223,-474.72170663408446
84,84,224,-78.36428058044856
85,85,230,-261.9216630119694
86,86,231,-277.4660844372142
87,87,236,-369.3318082192168
88,88,252,-175.79830140146638
89,89,262,-232.9766230523885
90,90,263,-117.60655000440212
91,91,267,370.9780764219156
92,92,269,62.48211836900017
93,93,273,70.63083157614264
94,94,282,-359.45862171342134
95,95,287,-243.4307321245162
96,96,288,-24.61448605879524
97,97,295,-220.75985834395803
98,98,296,-103.10822070015776
99,99,314,44.68488498573707
100,100,318,-79.58148293785304
101,101,320,-125.66851851459772
102,102,321,172.2063359386053
103,103,323,-88.69048200219225
104,104,326,-261.7461848912049
105,105,327,-452.7330513451623
106,106,328,-341.3747352464763
107,107,332,-99.85690815016466
108,108,334,-323.08084572774686
109,109,338,-264.81735830993307
110,110,339,-241.0597092043371
111,111,340,-244.07969564937196
112,112,341,-275.4993046770144
113,113,346,292.5335498543814
114,114,347,-219.8347688882792
115,115,348,-369.2945151704977
116,116,349,121.12040300722556
117,117,355,-483.0275814796468
118,118,357,-169.7293020681391
119,119,359,-278.21326617502945
120,120,361,-208.0889218170575
121,121,363,-262.3232613465875
122,122,364,-327.96545240060203
123,123,366,-205.38913288778664
124,124,367,-398.36215317311473
125,125,368,-392.4637773186091
126,126,369,-263.2464405520398
127,127,371,-278.2833144629496
128,128,372,-140.178809378748
129,129,374,-291.0711656468835
130,130,375,-379.7908739710119
131,131,377,-438.15639752267737
132,132,378,-489.9083056831986
133,133,379,-476.9599582203973
134,134,380,-213.3029362012419
135,135,383,-395.4593353461543
136,136,385,-261.1003694679846
137,137,386,-491.3307986203852
138,138,387,-493.4063695055452
139,139,389,-584.5204794552604
140,140,390,-243.10437481755827
141,141,391,67.83033556302787
142,142,392,-146.24034643492504
143,143,393,-11.165189947381087
144,144,396,-279.7987649081946
145,145,397,572.902584468024
146,146,466,-332.8550968433261
147,147,992,218.93633323747943
148,148,996,229.15224475341333
149,149,998,561.5134901978129
150,150,1026,1044.0691472769986
151,151,1061,1879.420369178708
152,152,1062,-219.83967152119985
153,153,1063,324.4422281511703
154,154,1064,253.4917092269501
155,155,1068,-160.0781871819766
156,156,1070,-91.09169992553208
157,157,1072,-306.40757501558966
158,158,1073,-62.87443873821323
159,159,1075,26.457154674179066
160,160,1158,343.6548752103213
161,161,1163,379.6444063780912
162,162,1166,559.0523121573324
163,163,1169,332.380800755076
164,164,1247,850.5832780458494
165,165,1254,1348.7312990631672
166,166,1256,2361.072070593113
167,167,1257,1816.135447571468
168,168,1312,1290.5216273085
169,169,1313,419.0110217859726
170,170,1317,973.5391732522796
171,171,1318,-7.260430459654933
172,172,1360,1217.1231389022666
173,173,1362,171.88026121371854
174,174,1363,293.59499877397684
175,175,1366,1370.3116784445324
176,176,1374,246.8380481422701
177,177,1391,-343.62352065226867
178,178,1404,-326.52871113500925
179,179,1435,-489.4397730578409
180,180,1552,-183.666449797179
181,181,1585,-319.30907653970223
