,accession_id,phenotype_value
0,159,0.146681279
1,265,0.360000014
2,403,0.031156812
3,763,0.119514585
4,765,0.140396789
5,766,0.118907459
6,768,0.079392746
7,772,0.115311809
8,1552,0.0
9,4958,0.036800001
10,5151,0.0
11,5165,0.0
12,5349,0.0
13,5353,0.0
14,5486,0.0
15,5577,0.0
16,5741,0.0
17,5768,0.0
18,5772,0.0
19,5779,0.0
20,5784,0.0
21,5800,0.0
22,5811,0.0
23,5856,0.0
24,6008,0.033765346
25,6025,0.0
26,6040,0.0
27,6042,0.0
28,6073,0.0
29,6074,0.0
30,6085,0.0
31,6090,0.0
32,6092,0.0
33,6094,0.0
34,6097,0.0
35,6098,0.0
36,6099,0.0
37,6105,0.0
38,6106,0.0
39,6107,0.0
40,6108,0.0
41,6109,0.0
42,6111,0.0
43,6112,0.0
44,6114,0.0
45,6115,0.0
46,6122,0.0
47,6125,0.0
48,6126,0.0
49,6128,0.0
50,6131,0.0
51,6132,0.0
52,6133,0.0
53,6134,0.0
54,6136,0.0
55,6137,0.0
56,6138,0.0
57,6140,0.0
58,6142,0.0
59,6145,0.0
60,6148,0.0
61,6149,0.0
62,6150,0.0
63,6151,0.0
64,6169,0.0
65,6172,0.0
66,6173,0.0
67,6174,0.0
68,6177,0.0
69,6180,0.0
70,6184,0.0
71,6188,0.0
72,6189,0.0
73,6191,0.0
74,6192,0.0
75,6193,0.0
76,6194,0.0
77,6195,0.0
78,6198,0.0
79,6201,0.0
80,6202,0.0
81,6203,0.0
82,6209,0.0
83,6210,0.0
84,6216,0.0
85,6217,0.0
86,6218,0.0
87,6235,0.0
88,6243,0.0
89,6244,0.0
90,6680,0.0
91,6897,0.274854511
92,6898,0.0
93,6915,0.047200002
94,6929,0.193882957
95,6932,0.088
96,6938,0.0
97,6940,0.028084679
98,6945,0.0
99,6958,0.178941429
100,6961,0.288232297
101,6963,0.162701607
102,6979,0.136000007
103,6986,0.0
104,6987,0.097502761
105,6989,0.0
106,6990,0.0
107,6992,0.0296
108,6997,0.0
109,7000,0.0096
110,7002,0.0
111,7003,0.119999997
112,7008,0.0
113,7013,0.0
114,7014,0.0
115,7025,0.303829134
116,7026,0.0
117,7028,0.034015428
118,7031,0.011893419
119,7036,0.010262615
120,7062,0.02356502
121,7063,0.157801703
122,7071,0.092679322
123,7072,0.0
124,7077,0.576861262
125,7081,0.572033763
126,7092,0.047074314
127,7102,0.028000001
128,7106,0.009629365
129,7117,0.0
130,7125,0.019094905
131,7126,0.0
132,7127,0.0
133,7130,0.253546089
134,7133,0.013036291
135,7143,0.00263995
136,7147,0.018030018
137,7162,0.0
138,7163,0.0
139,7164,0.0
140,7165,0.00128
141,7169,0.0
142,7181,0.0
143,7186,0.0
144,7203,0.030629067
145,7208,0.0
146,7209,0.0
147,7217,0.096818358
148,7218,0.0
149,7244,0.029286165
150,7250,0.0
151,7255,0.00616
152,7268,0.0
153,7273,0.006982937
154,7276,0.017422263
155,7280,0.0
156,7282,0.02316824
157,7287,0.0
158,7288,0.0
159,7296,0.0
160,7298,0.088
161,7305,0.0
162,7307,0.167999998
163,7316,0.0
164,7323,0.028686624
165,7333,0.119999997
166,7337,0.025599999
167,7343,0.0
168,7346,0.0
169,7347,0.0
170,7353,0.0
171,7354,0.0
172,7372,0.096000001
173,7378,0.107206807
174,7384,0.0
175,7394,0.0
176,7404,0.0
177,7411,0.088
178,7415,0.027935257
179,7419,0.028084679
180,7430,0.066390716
181,8214,0.071369588
182,8227,0.0
183,8230,0.0
184,8231,0.0
185,8234,0.0
186,8235,0.048231501
187,8236,0.029982636
188,8237,0.0
189,8240,0.0
190,8241,0.0
191,8242,0.0
192,8243,0.371893793
193,8244,0.087986924
194,8247,0.0
195,8249,0.0
196,8264,0.521598637
197,8311,0.078400001
198,8312,0.022247205
199,8337,0.310848743
200,8343,0.116726637
201,8351,0.0
202,8354,0.0
203,8357,0.492147684
204,8365,0.037936967
205,8376,0.0
206,8387,0.0
207,8420,0.015724346
208,9057,0.0
209,9058,0.0
210,9115,0.366196543
211,9121,0.319658488
212,9125,0.230011314
213,9298,0.0
214,9314,0.0
215,9332,0.0
216,9336,0.0
217,9339,0.0
218,9343,0.0
219,9363,0.0
220,9371,0.0
221,9380,0.0
222,9394,0.0
223,9399,0.0
224,9402,0.0
225,9408,0.0
226,9409,0.0
227,9416,0.0
228,9421,0.0
229,9427,0.0
230,9470,0.0
231,9481,0.0
232,9503,0.0
233,9506,0.512291968
234,9507,0.396812081
235,9508,0.417772412
236,9509,0.456435829
237,9510,0.439822197
238,9511,0.435901999
239,9512,0.405811816
240,9513,0.289819568
241,9514,0.284744382
242,9515,0.364742428
243,9517,0.462210357
244,9518,0.411326408
245,9519,0.517001092
246,9520,0.22994186
247,9521,0.478510201
248,9522,0.538582325
249,9523,0.308014423
250,9524,0.357685179
251,9525,0.360000014
252,9526,0.504855871
253,9527,0.324755371
254,9528,0.263888836
255,9529,0.435350627
256,9530,0.348650873
257,9531,0.213844627
258,9532,0.265133202
