,Unnamed: 0,accession_id,phenotype_value
0,0,1,0.0003789765311439
1,1,2,0.0018338120505686
2,2,4,0.0001197966868622
3,3,6,0.000743464918325
4,4,7,-0.0004443349172317
5,5,8,0.0005850994451099
6,6,9,-1.9194465062375223e-05
7,7,12,-0.0001555299377108
8,8,23,8.066625449306311e-05
9,9,32,0.000404778741821
10,10,45,0.0003358071944453
11,11,51,0.0003936867822117
12,12,60,-0.000244858539658
13,13,62,0.000912722583994
14,14,66,4.979153492505937e-05
15,15,69,-0.0006315520208005
16,16,74,-0.0002844398839213
17,17,79,0.0003691250844313
18,18,80,0.0016700053558108
19,19,81,-0.0001510704032458
20,20,83,0.0006382547557273
21,21,84,2.5895536359523407e-05
22,22,85,0.0016541908366593
23,23,86,-0.0002167796792061
24,24,87,0.0010210844263406
25,25,88,-0.0005812538628715
26,26,89,-0.0003856892918564
27,27,91,-9.683088339524332e-05
28,28,94,-0.0001108338030833
29,29,96,-0.0002217865547018
30,30,104,0.000157949097054
31,31,106,-0.000209018042115
32,32,116,0.0002763785240176
33,33,121,-0.0002463978320883
34,34,122,-0.0003175772884307
35,35,126,-0.0004100975003766
36,36,137,-0.0005117509943262
37,37,146,-0.0002298025068943
38,38,148,0.0009424081233116
39,39,149,-0.0003863232166596
40,40,151,-0.0004671204322499
41,41,153,-0.0003398190167381
42,42,157,-0.000323262751315
43,43,159,-0.0002882318344259
44,44,160,-0.0001148756902238
45,45,163,-0.0004760336518027
46,46,165,-0.0003949947651352
47,47,166,-0.0003966219763672
48,48,167,-9.58923003042348e-05
49,49,169,-0.0001997243004977
50,50,170,0.000100501057248
51,51,173,-0.0002539546206613
52,52,174,-0.0002965889046478
53,53,175,-0.0002011239444447
54,54,178,-0.0001655982709101
55,55,179,-0.0002313980780162
56,56,183,-0.0002856424226763
57,57,184,-6.34612455332412e-05
58,58,185,-0.0005131147681701
59,59,187,-0.0002754041626166
60,60,188,-0.0001104326149577
61,61,190,-0.0003259813005422
62,62,191,-0.0003906394148721
63,63,194,-0.0004747393068491
64,64,196,-4.102169048566794e-06
65,65,198,-0.0005303365342843
66,66,200,-0.0002390882131619
67,67,202,-0.0004405167883778
68,68,203,-0.0001879756869684
69,69,204,-0.0001045401041537
70,70,205,0.0002385085366785
71,71,206,0.0006466035089083
72,72,207,-0.0002361773986159
73,73,208,-0.0003444795324177
74,74,210,-8.100278591181541e-05
75,75,212,-0.0002962408259554
76,76,213,-0.0001872684829284
77,77,214,-0.000139098078093
78,78,215,6.962859262385989e-05
79,79,216,-0.0002300552852392
80,80,217,0.0002294182407567
81,81,219,-0.0002435009770466
82,82,222,-8.236356449056636e-05
83,83,223,0.0002695061576469
84,84,224,-0.000135678350388
85,85,230,0.0003088993183766
86,86,231,-0.0001151511132906
87,87,236,-5.574361139038623e-05
88,88,252,-0.0002275258119987
89,89,262,-0.0001753050642583
90,90,263,-0.0002022756185538
91,91,267,0.0008577509449468
92,92,269,-0.0001761258173489
93,93,273,-0.0003617687837338
94,94,282,-0.0003640917311378
95,95,287,-0.0002075745918725
96,96,288,-0.0002324546903895
97,97,295,-0.0002164983021911
98,98,296,-0.0001802784971202
99,99,314,2.6151649900978917e-05
100,100,318,-1.2127403059448264e-05
101,101,320,-6.097787921797955e-05
102,102,321,-2.6741572221519385e-05
103,103,323,-0.0002022629627065
104,104,326,-0.0002588026176119
105,105,327,-0.0004109645734179
106,106,328,-0.0002933399721085
107,107,332,-0.0002764912131778
108,108,334,-0.0004033857678174
109,109,338,-0.0002557054080055
110,110,339,-0.000225640716999
111,111,340,-0.0001658823621644
112,112,341,-0.0002284232131391
113,113,346,0.0005041247408233
114,114,347,-0.0002452226888375
115,115,348,0.0003800242827892
116,116,349,-0.0001020141578901
117,117,355,-0.0002101345546786
118,118,357,0.001161327462399
119,119,359,-0.0002110059984667
120,120,361,-0.0001828790504514
121,121,363,-0.0001285214798201
122,122,364,-7.365237197788388e-05
123,123,366,-0.0002574345133512
124,124,367,0.0002380319323778
125,125,368,-0.0003191107039872
126,126,369,-0.0001740005007558
127,127,371,-0.0001742532656525
128,128,372,-0.00028484793548
129,129,374,0.0002995803356997
130,130,375,-0.0002934020591361
131,131,377,0.000279985771527
132,132,378,-0.0004401342026873
133,133,379,-0.0003204733569606
134,134,380,-0.0001583078278535
135,135,383,1.0259120510869564e-06
136,136,385,-0.0002326462734155
137,137,386,-0.0003855853258498
138,138,387,-0.0002759432301294
139,139,389,-0.0005227362072733
140,140,390,0.0001589269084651
141,141,391,-0.0002158975450821
142,142,392,-8.544977682532083e-05
143,143,393,-0.0001214640065533
144,144,396,-0.0002614164306867
145,145,397,-9.909937174216076e-05
146,146,466,0.000174575567092
147,147,992,-0.0001504405213409
148,148,996,4.298068591754418e-05
149,149,998,-0.0002082861519272
150,150,1026,-0.0001025483387605
151,151,1061,0.0005289240690689
152,152,1062,-0.0005358441253732
153,153,1063,-0.000225581656073
154,154,1064,0.000708615373558
155,155,1068,-0.0001015304710376
156,156,1070,-5.504252594213175e-05
157,157,1072,-0.0002130661050084
