,Unnamed: 0,accession_id,phenotype_value
0,0,1,33544.27943906505
1,1,2,37325.75685451688
2,2,4,11865.3820505846
3,3,6,12804.66694847694
4,4,7,-1079.1768943290676
5,5,8,19323.31464577327
6,6,9,-8737.072008278936
7,7,12,10499.57234113404
8,8,23,13301.0273401687
9,9,32,9123.926611724226
10,10,45,-4749.448685233532
11,11,51,-2994.523708514512
12,12,60,-4737.670108154549
13,13,62,9621.910785206155
14,14,66,-2088.970040940077
15,15,69,2576.183147588053
16,16,74,-5105.730394580542
17,17,79,11467.62533743425
18,18,80,22988.734887754337
19,19,81,6159.956896887918
20,20,83,7884.78278305196
21,21,84,8832.457355742237
22,22,85,31001.91978813542
23,23,86,9456.577594446364
24,24,87,4966.268729406277
25,25,88,500.0546495470245
26,26,89,-7225.431343160154
27,27,91,18335.229773559025
28,28,94,30628.145275934552
29,29,96,-10295.925630885476
30,30,104,6991.831230271598
31,31,106,14033.973303493114
32,32,116,-1946.9010566703369
33,33,121,-4365.816450911123
34,34,122,220.4773705048952
35,35,126,-3094.9581991113623
36,36,137,-1729.551558755471
37,37,146,1724.8020335764663
38,38,148,8742.13487715742
39,39,149,805.8221909086301
40,40,151,323.04276641015167
41,41,153,4220.069588939663
42,42,157,-6611.596197948887
43,43,159,-7476.351242858589
44,44,160,11008.598769739016
45,45,163,7429.596114557761
46,46,165,27603.714408130843
47,47,166,17654.31405132483
48,48,167,9124.682310887809
49,49,169,10499.366612809252
50,50,170,31189.580146216347
51,51,173,5171.857868991421
52,52,174,-1990.559766321976
53,53,175,29070.4148461015
54,54,178,22366.49539751869
55,55,179,-580.5251764085511
56,56,183,11301.969793583894
57,57,184,13655.302887931302
58,58,185,3115.0825108373638
59,59,187,20783.0816927371
60,60,188,15967.006145096202
61,61,190,-2066.583095529086
62,62,191,10304.120002170215
63,63,194,1496.7774207236596
64,64,196,11842.491174002856
65,65,198,3617.142443499769
66,66,200,16839.819225660627
67,67,202,10011.805434067654
68,68,203,12158.322098409575
69,69,204,-5961.568263004477
70,70,205,37007.441411365646
71,71,206,25890.17922070026
72,72,207,10786.011176296992
73,73,208,1520.268518055192
74,74,210,9530.844882405165
75,75,212,4113.202214558748
76,76,213,-2748.590101181376
77,77,214,13305.962218572278
78,78,215,-6024.347968653789
79,79,216,-4204.377359529035
80,80,217,-3375.0100961759035
81,81,219,-1796.2135533619546
82,82,222,3984.5055178799566
83,83,223,-3462.104015200286
84,84,224,1991.4505220280075
85,85,230,-553.5885161824519
86,86,231,-6327.7999558040165
87,87,236,-6423.663068604547
88,88,252,-5208.035652500282
89,89,262,3390.1857452923327
90,90,263,-563.4290427639176
91,91,267,21533.42503842321
92,92,269,10438.207463133838
93,93,273,-2245.0401866127486
94,94,282,-4237.446744618638
95,95,287,-4218.744876856749
96,96,288,-1152.1561421087736
97,97,295,1769.9562916271525
98,98,296,1239.183437659915
99,99,314,-1581.3968694500045
100,100,318,-1019.3162183274056
101,101,320,-3276.2025013427424
102,102,321,6617.461585065271
103,103,323,-3648.556798216897
104,104,326,2375.7908466273807
105,105,327,-6536.684481854884
106,106,328,-3584.7684360032285
107,107,332,1612.38808226629
108,108,334,-3996.185822026062
109,109,338,-2826.798630919726
110,110,339,-784.5429322931736
111,111,340,-1138.852061784953
112,112,341,-232.58893201019904
113,113,346,6724.564577484823
114,114,347,-2765.7534056293043
115,115,348,-2789.33453752736
116,116,349,-1866.6769509054127
117,117,355,940.980579799588
118,118,357,14027.1835502764
119,119,359,-3376.2241603391712
120,120,361,4327.885283133613
121,121,363,11261.310193878122
122,122,364,1587.1456785662872
123,123,366,-1071.3867317028185
124,124,367,-3629.659766919974
125,125,368,-4229.357726400902
126,126,369,-2595.4744644527423
127,127,371,410.0092762662731
128,128,372,-2577.4451609050548
129,129,374,-6801.777772860202
130,130,375,-5016.388609104886
131,131,377,4924.881166618595
132,132,378,7716.929093373341
133,133,379,3670.14729292112
134,134,380,-2593.1318429036583
135,135,383,4804.096761511905
136,136,385,5651.134341374497
137,137,386,4724.065150369842
138,138,387,7626.2913834925985
139,139,389,-5563.968835443528
140,140,390,13858.609273258768
141,141,391,4631.932032622727
142,142,392,4030.563207149624
143,143,393,-4315.5596153298975
144,144,396,-6391.9897851408505
145,145,397,554.7289558608317
146,146,466,-7399.483857077266
147,147,992,-6189.670625851252
148,148,996,-5780.346167244903
149,149,998,-7432.267182926143
150,150,1026,-7650.700809228048
151,151,1061,-7796.427049300897
152,152,1062,-9207.197693347714
153,153,1063,-7361.3905239413025
154,154,1064,-8151.309580552013
155,155,1068,-8108.832687822859
156,156,1070,5158.96211478844
157,157,1072,-6966.546021634355
158,158,1073,-5509.619047745643
159,159,1075,-7399.724924162381
160,160,1158,-5414.181740845438
161,161,1163,-4880.977438708339
162,162,1166,-4116.11810355391
163,163,1169,-7135.189813676666
164,164,1247,-7753.094099222641
165,165,1254,-7790.410283005413
166,166,1256,-8275.228290234807
167,167,1257,-7766.403400240245
168,168,1312,-6601.491535990816
169,169,1313,-7552.617024746902
170,170,1317,-7552.807092254927
171,171,1318,-8232.885830382531
172,172,1360,-8449.161063230302
173,173,1362,-7422.747047624275
174,174,1363,-7403.203538797999
175,175,1366,-6266.870308279067
176,176,1374,-5449.769222469541
177,177,1391,-7500.336699687989
178,178,1404,-8173.901553323049
179,179,1435,-4814.55200438999
180,180,1552,-8243.706150470505
181,181,1585,-7734.232409914242
182,182,4632,-2504.800073951738
183,183,4675,952.7381664448576
184,184,4757,-3413.688935416033
185,185,4820,3835.768875248984
186,186,4827,4583.643358277192
187,187,4879,-4173.4900242189005
188,188,4927,6307.261865171791
189,189,4935,-3395.080165022662
190,190,5106,-5836.630687518991
191,191,5141,-6425.451435041143
192,192,5145,-5586.185231685369
193,193,5146,-4109.303121335351
194,194,5175,-1817.697883780459
195,195,5282,24820.65269188116
196,196,5292,-4657.243256729829
197,197,5310,2589.7477054745927
198,198,5322,-4064.620312154033
199,199,5335,-1616.3605038879386
200,200,5337,7048.200850680844
201,201,5350,-135.9381926958237
202,202,5364,24465.793025515737
203,203,5373,11294.262285086808
204,204,5377,9495.297191318366
205,205,5394,17906.910318368235
206,206,5398,30316.02166506
207,207,5444,17859.51240089408
208,208,5450,18169.17795556323
209,209,5466,13273.709986218622
210,210,5536,29960.677229460653
211,211,5582,674.0128794505216
212,212,5645,27380.175135849327
213,213,5678,-4542.433275280081
214,214,5708,-3356.353733769313
215,215,5709,22661.864421910275
216,216,5710,12132.297401746751
217,217,5711,20294.82518358949
218,218,5713,44513.35405942832
219,219,5715,1728.4912091063284
220,220,5716,8840.179918322836
221,221,5717,10172.86907702715
222,222,5720,19800.079722421004
223,223,5721,7562.004346582008
224,224,5722,-4582.355107731817
225,225,5723,279.42793244905965
226,226,5724,6285.400845178737
227,227,5733,12333.415838696415
228,228,5735,-5338.052238117303
229,229,5737,23960.65583848222
230,230,5738,-5249.224706384335
231,231,5741,8888.59893420628
232,232,5742,-5571.477904718425
233,233,5744,1115.1882292178918
234,234,5746,19324.470660684576
235,235,5749,16238.102513874646
236,236,5751,8898.25632834545
237,237,5756,-4603.453631389797
238,238,5759,-5427.908291079624
239,239,5762,-4238.916577588749
240,240,5767,6317.106488198266
241,241,5769,-1854.6275402213369
242,242,5770,-36.661858958356994
243,243,5772,-6297.012370682933
244,244,5774,19998.496216327883
245,245,5777,-4229.678329330545
246,246,5780,15686.68850366211
247,247,5781,-5519.640189910871
248,248,5782,3531.832718659555
249,249,5784,-5683.913194733504
250,250,5787,3739.864386509135
251,251,5788,7623.825545092613
252,252,5789,4729.94223906235
253,253,5792,5817.859250639579
254,254,5793,20040.75494031857
255,255,5795,4233.534527556481
256,256,5798,4016.489185701532
257,257,5799,1771.6474319858978
258,258,5802,2959.686784791939
259,259,5804,16971.05360588965
260,260,5812,4944.894220333184
261,261,5816,-6206.999329907629
262,262,5817,-6548.94751555754
263,263,5819,-6274.816315904708
264,264,5821,-6735.965648597889
265,265,5826,-4535.895708755467
266,266,5831,-6039.947634687057
267,267,5832,-3812.6600764860823
268,268,5835,-5572.811735320993
269,269,5836,-5478.515072862424
270,270,5856,-5212.182452666216
271,271,5860,-3961.410348294279
272,272,5867,-4526.50906088511
273,273,5870,-4571.291125015073
274,274,6008,-5165.139107408378
275,275,6010,5400.16262584531
276,276,6011,-5331.125613923449
277,277,6012,-4172.949266142604
278,278,6013,-3465.003264225499
279,279,6016,-4342.381384586137
280,280,6017,-4485.236767570117
281,281,6019,-3584.0263286226946
282,282,6020,-5364.755169754077
283,283,6021,-4599.590637567652
284,284,6022,-4457.571786891881
285,285,6024,-5502.026377850548
286,286,6025,-4590.417907205976
287,287,6030,-3601.542544503121
288,288,6034,-6204.039131775125
289,289,6036,-5735.738665250962
290,290,6038,-3838.979613203169
291,291,6039,-6155.867504821224
292,292,6040,-5320.324998384041
293,293,6041,-4862.201670354709
294,294,6042,-6145.280429114109
295,295,6043,-3834.684656750137
