accession_id,replicate_id,root length day004,root length day005,root length day006,root length day007,root length day001,root length day002,root length day003,root length day007 minusZn,root length day006 minusZn,root length day004 minusZn,root length day002 minusZn,root length day001 minusZn,root length day003 minusZn,root length day005 minusZn
5729,25699,242.6268571,335.878875,429.4974444,568.2642,84.6275,163.383,150.0091667,479.826625,711.1424,250.4841666667,167.8686666667,74.642,178.6396,364.7178333333
5731,25700,306.8688571,416.988375,523.038,659.4031429,80.77,159.1518,211.4805,543.6663333333,777.3926,248.393375,115.8936666667,,244.8622,314.4636
5736,25701,604.483,763.4368333,883.6008333,894.801625,142.0586667,266.792125,392.439,1187.2016363636,954.0035,558.5978333333,253.4570833333,119.090625,394.9268333333,744.6948333333
5742,25702,505.4016667,594.7765556,724.586125,803.824375,82.93825,212.5917778,354.8985,745.8828888889,657.5195,391.9563333333,180.0349090909,76.9752222222,286.733,538.219625
5745,25703,340.338,584.931,681.6546667,561.8356667,70.10866667,128.102,230.2504,767.5354285714,611.7123333333,341.59,182.3192857143,87.4225,213.4232,477.5725
5751,25704,498.6403,660.528,830.1728889,950.0759091,116.0784444,223.4503,359.9004,1031.9231818182,868.6884,562.7745714286,286.7694444444,152.8638,436.4101,710.5306
5752,25705,375.57425,527.2981429,547.5486667,740.0285,59.6065,130.1325556,219.5602857,890.109,739.0036,411.31675,169.8108181818,78.582,294.711,528.8198571429
5837,25706,512.247625,646.196,790.4828571,872.5844,102.01225,197.3337143,359.4067143,778.406875,756.2561666667,518.4898333333,227.9252,123.5636,348.2294285714,473.4165
6008,25707,435.16,499.4016667,611.8103333,846.5863333,147.2381667,218.791,315.414,811.5205,698.34,365.279,134.0685,110.184,228.667,
6016,25708,661.72325,847.0594167,1091.702727,1277.929273,127.7797273,319.5389091,502.231,828.2301666667,697.6525,444.1645833333,187.0907777778,69.4742857143,311.2136666667,576.5056666667
6040,25709,644.6456,765.617,902.739875,1080.684625,119.2985,297.3264,459.3582,716.4868888889,571.5271111111,326.5856666667,106.2861428571,55.385,198.0574,441.7104444444
6074,25710,548.0972,693.845,860.1118,937.8838571,123.1325,292.9225556,400.6116,833.6528333333,695.281625,399.2325555556,201.488,98.1371428571,277.0327272727,558.87
6243,25711,457.8584,558.5445,701.6382,833.2682222,115.9749091,234.7172222,345.9355,658.9354545455,547.2229090909,325.6311818182,176.3798181818,88.673,262.4042,430.28825
