,r2s,RMSEs,r2s_train,RMSEs_train,max_features,n_estimators,n_jobs,Model_Name,feature_represenation,variance_maintained,tree_num,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
6,0.16688572052352468,1.3767575980698963,0.8834800947743434,0.3151491372282054,0.7,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
7,0.5636409285926918,0.7751411027968912,0.8011427317519411,0.4364490592648604,0.1,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
8,0.5248950242653911,0.7469875275744154,0.8678385970302666,0.36002744141188325,0.1,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
9,0.5119008493397135,0.6578936336916789,0.838027364791735,0.4048535076978336,0.5,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
0,0.2992096285091237,0.6168981797909788,0.9111384765305872,0.30555299503160926,0.7,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
1,0.47679877156202777,0.4492178874363212,0.8928647833861265,0.33811946622401623,0.1,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
2,0.6870803069217237,0.68533189591305,0.9060235828803564,0.29758089180031727,0.1,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
3,-0.5575737534034098,0.6040702834981079,0.9084506230571833,0.3147174195971162,0.5,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
4,0.24326913919903415,0.9020484739596943,0.8756787011514348,0.35100567823939705,0.5,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
5,0.27455357091964605,0.5584934879248848,0.890475068506417,0.3411420501094972,0.5,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
6,0.1295961921993387,1.407231616590345,0.9275616717282115,0.2484850534406408,0.5,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
7,0.6642894273991536,0.6798940984073715,0.9121628451559495,0.29006942708512684,0.7,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
8,0.6036792967631326,0.6822474812833893,0.8787608900741016,0.3448296915118481,0.7,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
9,0.3991646709763895,0.7299269327037816,0.8904199509408195,0.3329989220684894,0.7,10,-1,Random_Forest,SNPs,-,10,314263,0.32200672510461603,0.7315360337507925,0.8993536593411188,0.31645015951080585,0.7095044427198767,0.5193524519369717,0.03208128503363526,0.062479951386649836
0,0.32830112788728794,0.6039579957691475,0.9255132862884328,0.279749342654966,0.7,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
1,0.6438215921746171,0.37064355928282683,0.9295979116251735,0.2740922902230021,0.1,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
2,0.6946963560694467,0.6769404890475429,0.9262814583964133,0.2635627113857879,0.7,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
3,0.34058746610491686,0.39304453347940527,0.9320144296881413,0.27120735164132925,0.1,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
4,0.2619909486433072,0.8908200790805421,0.9329958750926357,0.2576867822724196,0.1,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
5,0.49456877373639585,0.46617231145549737,0.9210708335487198,0.2895993068980392,0.5,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
6,0.3460931677046486,1.219728384143673,0.9415212009134354,0.22326224315885818,0.1,50,-1,Random_Forest,SNPs,-,50,314263,0.45815172650347397,0.685597966064125,0.924927364150064,0.2728789535704712,0.3288540644242587,0.5123702582335602,0.02952464229048118,0.05524600971898661
