,r2s,RMSEs,r2s_train,RMSEs_train,max_features,n_estimators,n_jobs,Model_Name,feature_represenation,variance_maintained,tree_num,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.11269193582342163,1.0505959243100185,0.840166986483901,0.39427163455304587,0.5,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
1,0.3204039023995723,0.7568663520373353,0.8252869353339728,0.42163857921189857,0.5,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
2,0.19022821908045195,1.0187260379160898,0.8481298209269483,0.38302390870339087,0.5,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
3,0.08773280678569817,0.8072157522763925,0.8516887096513398,0.39122127875555607,0.7,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
4,0.3956726505196405,0.9095361940691707,0.8027853205510918,0.434303387742804,0.1,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
5,0.42257363115627156,0.7198494261018404,0.8351925080583472,0.40806618577105697,0.1,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
6,0.22453393322662285,0.750535552850031,0.8166621054586516,0.4338491587514999,0.1,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
7,0.5013551043503304,0.5898212055970931,0.8209222647056857,0.4300455933645481,0.7,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
8,0.3062936537994071,0.900060058412548,0.8175926647506953,0.4229475140298002,0.7,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
9,0.46195224898070264,0.720550298872551,0.8168993451558856,0.42872707351217304,0.5,5,-1,Random_Forest,SNPs,-,5,314263,0.3023438086122119,0.8223756802443071,0.8275326661076519,0.4148094314395774,0.2842094606907754,0.2839661190958071,0.03076408208063214,0.03761762308572713
0,0.29420315065975355,0.9369973336737502,0.868058737736929,0.35822229073355233,0.1,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
1,0.48435305888725877,0.6592801242342924,0.8834014085275648,0.3444485036109737,0.7,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
2,0.21891808951495328,1.0005167813711726,0.8832214178169586,0.33587001249752063,0.7,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
3,0.03714226021087763,0.8292961756248906,0.857779102666626,0.38310433726982523,0.7,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
4,0.3544765097994047,0.9400260453216768,0.8703803120322544,0.3520943725275626,0.1,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
5,0.521942219684617,0.6549883143335464,0.8981705542474413,0.3207589797792449,0.5,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
6,0.0914582795582588,0.8123857705178573,0.8550714535830761,0.3857354985786433,0.5,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
7,0.5664050251118302,0.5500052231255612,0.8660042021591067,0.37199687760375677,0.1,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
8,0.21717226674373302,0.9561295867998462,0.8784766927099674,0.3452193396085319,0.5,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
9,0.37646127377654903,0.7756853838527584,0.8675117843533597,0.3646906141300949,0.7,10,-1,Random_Forest,SNPs,-,10,314263,0.3162532133947236,0.8115310738855352,0.8728075665833284,0.35621408263397064,0.3496649138681963,0.29693268192542044,0.025632793508062402,0.040626679243507706
0,0.3723185898521607,0.88362527660763,0.9200348314028484,0.2788770129567742,0.5,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
1,0.4648032925675115,0.6716615332998216,0.9140796509742422,0.2956825306924193,0.7,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
2,0.2804797729336963,0.9602793526810461,0.9116601860519626,0.2921244256224865,0.7,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
3,0.2610777516532228,0.7264872073031827,0.9087686394691584,0.3068367947127018,0.5,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
4,0.4964115718479747,0.8302745625407661,0.9177917816441926,0.28040207046746907,0.7,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
5,0.5266785739696436,0.6517355915083387,0.9160113261433411,0.291308056315661,0.5,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
6,0.30783966857735334,0.7090767136191215,0.915435646357405,0.29464990591189016,0.5,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
7,0.5416588498592609,0.5654824340885838,0.9114520001634976,0.30240090247535373,0.7,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
8,0.4176266040703913,0.8246780198706057,0.9111353197046497,0.2952092208893236,0.7,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
9,0.5809328305547268,0.6359100838126013,0.9134298863692151,0.2947948922609004,0.5,50,-1,Random_Forest,SNPs,-,50,314263,0.4249827505885942,0.7459210775331697,0.9139799268280513,0.293228581230498,0.22562204266946576,0.2435901215102017,0.006687376981286203,0.016773342012690387
