,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.21957064903442247,0.6728650842982989,0.20121009999615513,0.9093596370262317,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
1,0.46185024825815313,0.5593764999779877,0.18808547117543806,0.9180419571598529,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
2,0.23190054249946368,0.7673540978013803,0.20804652616522212,0.8999799291482546,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
3,0.06556384612716015,1.2058997582120001,0.22057486135884685,0.8454111106778026,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
4,0.223148484116517,0.9756785017565177,0.20716294748627473,0.8772677988524363,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
5,0.0925130203961495,0.9002178011286299,0.2225588928090999,0.8863797424924462,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
6,0.15657794194164976,0.9087994537888773,0.21689874234146245,0.8850062358096656,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
7,-0.26569324849107523,1.1749363498848344,0.25167591983398807,0.8547664043641033,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
8,0.22557082114798221,0.9701152304168328,0.20993476080489404,0.878493002026579,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
9,0.10349663803902098,0.6896887163174136,0.21515016347747884,0.9057060495074175,0.05,2,0.15144989430694436,0.8824931493582773,0.21412983854488601,0.886041186706479,0.36098065242933164,0.4164255796937922,0.032531637853853594,0.045793228407201854
