,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.06314345233275298,1.4874697995133566,0.24805708375114222,0.76899845347914,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
1,0.2400477169774412,1.001630371186166,0.2452399751988007,0.8506308857740734,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
2,-0.16262290717944894,0.819157111759938,0.270236415014502,0.874444013650204,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
3,0.3740306414056528,0.7311542481592609,0.23670917684386683,0.8807951810784176,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
4,0.09648211211017077,0.7427249499498616,0.25715930953946586,0.8796563765458573,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
5,-0.15851055239540712,1.009315141013787,0.28159179652794597,0.8498288667471487,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
6,0.2762740552855034,0.6564796117496927,0.2366584531833721,0.8886508137882082,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
7,0.5722845474859821,0.570633864276172,0.22272892473231687,0.8927295521539896,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
8,0.26876639151117143,0.7042173764867058,0.246253324625485,0.8822695479341448,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
9,0.20996959873890209,0.6886467309231619,0.24978711705694434,0.883919206556522,0.05,2,0.17798650562727208,0.8411429205018103,0.2494421576473842,0.8651922897707706,0.44587648727172585,0.5240217659079975,0.03327877597573143,0.07213495653810355
