,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,-0.040277419476738574,1.0438040052305422,0.1926667559136266,0.8938358545610429,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
1,-0.06965716013118106,1.1354961762759228,0.19011985702719936,0.8816175572999607,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
2,0.2694466288527094,0.7780375463762942,0.16280527057450833,0.9237658009196793,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
3,-0.26339718079892505,1.0300531157734736,0.20771610640859606,0.8963351346747654,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
4,0.16742268278582706,0.8663050772601003,0.15887152376760283,0.9156628780634699,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
5,-0.008244984833325697,0.8774103793395759,0.17198246106402149,0.9138386817020504,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
6,0.20914720887277927,0.8611790375012873,0.16146169983281877,0.9154863564677671,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
7,0.3523110701246377,0.8365491480822301,0.14431398619714908,0.9180716118758235,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
8,0.23910250432092106,0.963506508459684,0.1627412836290013,0.9038105295211251,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
9,0.07265117432363466,0.7388539439105666,0.17598259832246388,0.9277565952043836,0.05,2,0.09285045240403388,0.9131194938209677,0.17286615427369878,0.9090181000290067,0.36995865552106316,0.24739286647612338,0.03730091842301322,0.028695305191382997
