,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.05,3,0.09628878044474766,0.9001122069364749,0.21193685889882216,0.8872526198570799,0.5347455295776152,0.24884752057201448,0.03979493684666013,0.02803348548851716
1,0.1,6,0.1456332938434237,0.8819265395613718,0.25642999379618775,0.8618914426826311,0.4230424633783957,0.277008948998172,0.034624471613291,0.031107436719804017
2,0.2,17,0.1639826130943789,0.8767619405739461,0.32637995113690876,0.820359337596277,0.33875229757230263,0.2838500719532205,0.036021283088702664,0.03429732748566128
3,0.3,34,0.07666084813939408,0.9251281583912773,0.40422416396625704,0.77150838554308,0.3040522958423666,0.3009179084581591,0.032881138289959234,0.03360543692385311
4,0.4,54,-0.16405214101365087,1.0109124283974351,0.4848273340850933,0.7173735920363544,0.9652768787843078,0.25342189121554354,0.027838075999452015,0.025464634395761486
5,0.5,77,-0.2540441305705577,1.0628177312448028,0.5827397313409183,0.645579575177806,0.5817318243018376,0.21067217002683725,0.028662282127547428,0.02579747085048593
6,0.7,127,-2.365954764067494,1.6373889234743815,0.7794856892040853,0.46916122778007735,5.170651610292546,0.8810040229692011,0.027443033851228246,0.030541052652153157
7,0.9,184,-101.09914007595718,8.323568022736819,0.9521301028139444,0.2162604865073543,228.20774735163275,6.623248110172518,0.028800282553664767,0.06701805775905831
8,1.0,231,-0.07564161335630948,0.9280832629023794,0.9999999999979512,1.3856442984039133e-06,1.898781048246352,0.4790821002030224,2.5742429794488506e-12,6.70103206308119e-07
