,variance_maintained,feature_represenation,trait,Model_Name,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.05,PCA_SNPs,study_126_Trichome_stem_length,rf,2,0.028587181857789856,0.939233473649676,0.8795782536888384,0.34681615172772984,0.561285162745847,0.32373332541644684,0.010582288384815631,0.019330504513084833
1,0.1,PCA_SNPs,study_126_Trichome_stem_length,rf,3,0.11822511296061845,0.891141643229843,0.88441606972909,0.3397257834264832,0.5852003732531049,0.33209909124700526,0.012455611943081627,0.02077896822160054
2,0.2,PCA_SNPs,study_126_Trichome_stem_length,rf,12,0.2044874280460894,0.84224239396375,0.8966721420601439,0.32119006987249327,0.5934681677300365,0.34187178889560677,0.012832940831990184,0.023147327591822513
3,0.3,PCA_SNPs,study_126_Trichome_stem_length,rf,27,0.25346056627313024,0.8158989807186177,0.9009384513975099,0.314498782021179,0.5389622957025252,0.3030318194581826,0.01042446956718715,0.017637103253089887
4,0.4,PCA_SNPs,study_126_Trichome_stem_length,rf,50,0.25699297064384546,0.8167336027658278,0.8999019180465643,0.3161210318695293,0.5094461083392309,0.30026879147662733,0.011418124286833314,0.019130167003353883
5,0.5,PCA_SNPs,study_126_Trichome_stem_length,rf,77,0.2525126659743835,0.8219841015392265,0.9004213481432363,0.31534845490114083,0.46904020882233793,0.2893114172416142,0.008693120259552958,0.014950569082667347
6,0.7,PCA_SNPs,study_126_Trichome_stem_length,rf,141,0.2551755669557401,0.8226971780885279,0.9008773212195293,0.31461701445911205,0.4503530344972948,0.29471167285095123,0.009722215736055875,0.017419765149136394
7,0.9,PCA_SNPs,study_126_Trichome_stem_length,rf,222,0.23698941127260587,0.8333566041871303,0.8988675226273034,0.31777024059025544,0.46763308662702,0.3071459053325933,0.010968529102788406,0.018950371058605097
8,1.0,PCA_SNPs,study_126_Trichome_stem_length,rf,305,0.21408961505884821,0.844415055492855,0.8973632803678147,0.32018467186015703,0.5140360032023885,0.3172482888594253,0.00823415788324356,0.016086908275477048
