,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,feature_represenation,trait,Model_Name,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
8,0.10941884408709557,0.8744245210154451,0.9042502036532892,0.30938498047399554,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
9,0.16425490037488244,0.9582875011879938,0.908320228147633,0.3007567739444583,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
0,0.32858659174265736,0.7508212866986493,0.9018212628505957,0.3158158909627191,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
1,0.37597347375754986,0.7764652149322213,0.9035178839111532,0.3111987905685483,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
2,0.3516685496445149,0.7507513165742997,0.9026241081842967,0.3131628838092034,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
3,0.43372477886075655,0.7361874753375877,0.8996523563817983,0.31746997232039875,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
4,0.4748220119234031,0.6486193411807465,0.8980949898370887,0.3224819335019854,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
5,0.1796176250317345,0.9929839576143151,0.907919747464351,0.2999460532580506,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
6,0.07717626600075056,1.0563989685525774,0.9101577453749361,0.2958741101598323,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
7,0.3456598397516345,0.7775095861247218,0.901424985611196,0.31508928286404836,0.4,PCA_SNPs,study_31_FruitNumber,rf,72,0.2916162797023451,0.8283229643448936,0.9034744952966346,0.31060939116355907,0.25722270479674314,0.2542013530426451,0.007495127646110001,0.016570707221043073
