,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,feature_represenation,trait,Model_Name,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,-0.38340150280158647,1.090226346940111,0.866665077187768,0.3669432796374463,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
1,-0.2516923840854577,1.181087075176325,0.8707540806587313,0.3570663617492722,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
2,0.15329313441219627,1.0040792808431442,0.8629969585715418,0.3643010220365524,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
3,0.10941715100761118,1.0227568331888488,0.8649076134047535,0.3635463223408111,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
4,0.09103112347657327,1.0801306672832116,0.8649207199190302,0.36160848647785093,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
5,0.05336350590596717,0.996995261409922,0.862567688341936,0.36944727472455263,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
6,-0.3355572687030035,0.927659718026924,0.8627148647243087,0.3773965158715109,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
7,0.09982164595983545,0.8171985592542766,0.8621442710355707,0.3764901232101045,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
8,0.14628691112638803,0.9373339431222435,0.863953925628131,0.3682361018791784,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
9,-0.38272832869590867,0.9188717930955194,0.8615680761969998,0.3774875365858667,0.05,PCA_SNPs,study_4_M130T666,rf,3,-0.07001660123973849,0.9976339478340526,0.8643193275668771,0.3682523024513146,0.4612235468479089,0.20347962620427554,0.005365347243684739,0.013811999261565766
0,-0.2883698019584917,1.0521140495686057,0.8763616705225352,0.3533487388402273,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
1,-0.08465651304711286,1.0994594749390465,0.8773979438991878,0.347767821777066,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
2,0.14011983453939736,1.0118600057241578,0.8762111496996127,0.34628689008798486,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
3,0.2510878743939211,0.9378873048517439,0.8705247686069396,0.3559079315099671,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
4,0.1201779343944791,1.0626719449848072,0.8749325882887783,0.3479495880422034,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
5,0.23629341751913135,0.8954982460366121,0.868322540195222,0.3616294255396542,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
6,-0.4405807441859668,0.9634434834318187,0.8814737331477546,0.35066581586895457,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
7,0.0989169451168217,0.8176091082064904,0.8734990610336922,0.3606517571504145,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
8,0.22649711237164116,0.8922146373836074,0.8718501879021585,0.35738995681812913,0.1,PCA_SNPs,study_4_M130T666,rf,8,0.008496014954910392,0.957963028725656,0.8744094437248597,0.3542420794631777,0.4748318787101411,0.1887361190156528,0.007347479537622309,0.011503715036488298
