,r2s,RMSEs,r2s_train,RMSEs_train,Model_Name,feature_represenation,variance_maintained,tree_num,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.42391320826370127,0.49080560979951515,0.8181011465898936,0.4400392514107241,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
1,-0.1393941350646546,0.9665292330903619,0.8454569570637701,0.3970674002074652,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
2,0.10970306408436903,1.0186027685747712,0.6290611132580887,0.6031670847658133,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
3,-0.17451117893633383,0.6394609703204356,0.7692290440204286,0.49673857139383837,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
4,-0.8246303118827558,0.5437802352778036,0.8333084388842249,0.4265527940295338,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
5,0.49666032519350156,0.6632645306987515,0.817070415558421,0.4306400558887,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
6,-0.4422637341064455,1.707140208795289,0.7853854869223749,0.43524233505112997,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
7,0.36054172738462575,1.02891618475101,0.7304110486043884,0.49937767434961156,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
8,0.7290056668512421,0.5932093244173184,0.7062820339421134,0.5329772113838622,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
9,0.32513216298433945,0.8782820017709428,0.820591656715963,0.4201556813126367,Random_Forest,SNPs,-,3,314263,0.08641567947715895,0.8529991067496199,0.7754897341559667,0.4681958059793315,0.9368854019612102,0.708902988505552,0.13423979552744741,0.1249751294763745
0,0.2964992599494022,0.5423727209969145,0.815691446164446,0.44294436609293014,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
1,0.0249741437237605,0.8940999498612114,0.8762375214399057,0.35533173943669455,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
2,0.5239700871748857,0.7448254965757006,0.8940103219973896,0.32241722669748224,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
3,0.03858572832012974,0.5785497993877543,0.8584759421801752,0.3890025475834539,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
4,-1.93107313031454,0.6892064016618704,0.828528477533929,0.4326253722986685,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
5,0.12966740458395642,0.8721653235676466,0.7663367839565867,0.4867070355512798,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
6,0.14632610957006742,1.313387411237741,0.8523040951415986,0.36106535162149606,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
7,0.35610577535330457,1.0324788367759978,0.7951914083597182,0.4352634131815749,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
8,0.6535789222840231,0.6707026441494265,0.8471114963451574,0.38453050580941617,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
9,0.4458293006687125,0.7958778120891861,0.8445114638867846,0.39114529440154017,Random_Forest,SNPs,-,5,314263,0.0684463601313702,0.813366639630345,0.837839895700569,0.40010328526745365,1.4369960675294622,0.45139388632910393,0.07421553543103226,0.09610674841007555
0,0.29364269960353473,0.5434727559740709,0.905294996009787,0.31751401505305377,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
1,0.1747901982989627,0.8225459968192085,0.887325915692961,0.33904045435759617,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
2,0.5509849440333847,0.7233822777685861,0.8802739089079062,0.34267376277643014,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
3,-0.4041475530924703,0.69918457521904,0.7978298107383611,0.4649388833360525,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
4,-2.1592383126174854,0.715528883346025,0.8766313176027981,0.36695976355403037,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
5,0.5448192248380765,0.6307367655053113,0.8478443646324642,0.3927502500575283,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
6,-0.06018052988275158,1.4636483988894886,0.8453637221421131,0.36945137030815517,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
7,0.4411701699299013,0.9618640294382936,0.8826473875986653,0.3294765112529873,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
8,0.5732367170305004,0.7444257513736913,0.854280079381147,0.3754074155444793,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
9,0.43185353580935937,0.8058510417762886,0.8746419677296153,0.3512084899070045,Random_Forest,SNPs,-,10,314263,0.03869310939510125,0.8110640476110004,0.8652133470435819,0.36494209161473173,1.632184949536783,0.5004131371826658,0.05916656059517005,0.08204262973082709
0,0.5411754256375074,0.43801491004571874,0.8936817314478742,0.33641889815368,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
1,0.13483539348478402,0.8422235412277509,0.9051411904243083,0.3110844750807748,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
2,0.6038466297071567,0.6794681287323756,0.8980086297970669,0.316277403539762,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
3,0.3712604196979189,0.4678653314287212,0.9125651161970557,0.3057593017943292,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
4,-1.189100210779113,0.5956193481930928,0.9197446920894262,0.29597352625280016,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
5,0.5581282010195989,0.6214473402819166,0.9052141133530511,0.30998757574863756,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
6,0.05660321763113674,1.3806832152621626,0.9298449926170954,0.2488461495912826,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
7,0.46736347800183764,0.9390514001949684,0.9065801892075271,0.29396631572186355,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
8,0.620454613022912,0.702036549389764,0.8909382897253384,0.32477271513913986,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
9,0.4373734178919635,0.8019268250031948,0.9194266782681952,0.2815688173290502,Random_Forest,SNPs,-,50,314263,0.2601940585315703,0.7468336589759665,0.9081145623126938,0.302465517835132,1.0655274551372491,0.5344458935219675,0.024272995902134765,0.048050075912696874
