,r2s,RMSEs,r2s_train,RMSEs_train,max_features,n_estimators,n_jobs,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.0820182107304468,0.8981632056979477,0.8997729369264242,0.3170902543066126,0.5,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
1,0.39432723101675005,0.7203734141143119,0.8878044377247145,0.3375610611239323,0.1,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
2,0.3405472914843545,0.6828018557889715,0.8951931651201075,0.328887187996857,0.7,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
3,-0.019117441646160138,1.116473004167771,0.8915804352372124,0.3225458331171538,0.5,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
4,0.2869519749361559,0.9779663119102482,0.886569036094454,0.3274770415193307,0.7,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
5,0.01342129948890225,0.7409606476139431,0.9017335706427597,0.31914559471363263,0.7,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
6,0.05338162904545851,0.8778183559306728,0.8973480971192247,0.32103526169016205,0.7,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
7,-0.0747883600444148,0.9680747235441142,0.9026842734216747,0.31415522400423435,0.5,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
8,0.2729400727328287,0.8846412966619783,0.8922965854121575,0.3264673160883633,0.1,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
9,0.23951829876467656,0.89635402745329,0.8954495558485953,0.32208950894787963,0.7,200,-1,Random_Forest,SNPs,-,2112,0.15892002065089983,0.8763626842883249,0.8950432093547325,0.32364542835081583,0.32590328226509024,0.25925489185814626,0.01082964599793554,0.013188451195953008
