,trait,r2_best,r2s,model,num_pc
0,herbavore_resistance_G2H3B,0.5371286620391742,"[0.5371286620391742, 0.5254491893790246, 0.49062697191763993, 0.4457896017172513]",Ridge,40
1,herbavore_resistance_G2H4P,0.4363391384264153,"[0.43108410822203247, 0.4363391384264153, 0.40738219045196256, 0.3487941522389224]",Lasso,40
2,herbavore_resistance_G2P,0.3910042180652901,"[0.3910042180652901, 0.34763045069046883, 0.35447213829223023, 0.3787643174851756]",Ridge,40
3,herbavore_resistance_G3B,0.2971568641861136,"[0.2971568641861136, 0.2906813951663526, 0.2644247959202545, 0.25964880295073767]",Ridge,40
4,herbavore_resistance_G3HP,0.304191040438699,"[0.2978403150814111, 0.304191040438699, 0.24430932214880385, 0.2160008345014642]",Lasso,40
5,herbavore_resistance_G4MSB,0.39985064061833736,"[0.3590533790586098, 0.376164668861031, 0.39985064061833736, 0.23973877288013296]",ElasticNet,40
6,herbavore_resistance_G4P,0.23149911236120924,"[0.23149911236120924, 0.21110867244866732, 0.21190386664443975, 0.1142836375056004]",Ridge,40
7,herbavore_resistance_G5MSP,0.24891038451225583,"[0.23499215878606397, 0.21926830030030742, 0.24891038451225583, 0.19956991902587842]",ElasticNet,40
8,study_126_Trichome_stem_length,0.2570382709209779,"[0.24330029806080775, 0.25592271226583585, 0.19799624067267024, 0.2570382709209779]",rf,27
9,study_12_FT10,0.6525538365392842,"[0.6525538365392842, 0.6512638662190493, 0.6385504954967862, 0.6335773235617352]",Ridge,56
10,study_16_Cd111,0.03767280880759834,"[0.03470342687198763, 0.03767280880759834, 0.005172441271030714, 0.015053158581128046]",Lasso,56
11,study_16_Mo98,0.1380633322050785,"[0.1380633322050785, 0.08651403230381619, 0.10302042300475377, 0.13604282567081757]",Ridge,56
12,study_19_GR21,0.4875268790119228,"[0.4875268790119228, 0.429040215487194, 0.4439539120419863, 0.4864138301766161]",Ridge,15
13,study_1_0W,0.5124070897620259,"[0.5124070897620259, 0.4852645636952413, 0.404201317506376, 0.5104119544575105]",Ridge,20
14,study_1_8W_GH_FT,0.44345306032517723,"[0.44345306032517723, 0.37292064382469603, 0.3643790806083704, 0.23035701242132914]",Ridge,20
15,study_1_8W_GH_LN,0.3885795785973142,"[0.3885795785973142, 0.2832653173766856, 0.2939546957227312, 0.19605410470846427]",Ridge,21
16,study_1_FLC,0.18818696417225422,"[0.11042768736336164, 0.16934789076774345, 0.172388310528634, 0.18818696417225422]",rf,21
17,study_1_FRI,0.09044324569944542,"[0.09044324569944542, 0.027975967562294136, 0.040880161430064774, 0.028161014120242765]",Ridge,21
18,study_1_FT22,0.3912050684765088,"[0.3909670719738346, 0.3912050684765088, 0.33376385049815327, 0.2656708369637342]",Lasso,24
19,study_1_FT_Field,0.5619707675076182,"[0.4127623357430985, 0.47030219238771703, 0.4574247659544905, 0.5619707675076182]",rf,21
20,study_1_LN10,0.43065428424763164,"[0.4085072739617972, 0.43065428424763164, 0.38123018352274574, 0.3707769419668633]",Lasso,22
21,study_1_LN16,0.497915732528143,"[0.497915732528143, 0.4847844305780757, 0.395114821615866, 0.4096795769715777]",Ridge,22
22,study_1_SDV,0.3397040419396408,"[0.3238026199834453, 0.3397040419396408, 0.2518182952949287, 0.21811213511067584]",Lasso,21
23,study_1_Storage_28_days,0.25725616690464864,"[-0.3245955986869046, 0.25725616690464864, 0.20876804033937174, 0.13750226349864028]",Lasso,15
24,study_1_Storage_56_days,0.24500389720720755,"[0.24500389720720755, 0.18115516566416098, 0.08951501908933442, 0.16742830262280162]",Ridge,15
25,study_1_Width_10,0.05308010271946082,"[0.05308010271946082, 0.006396409703408812, -0.016105743420389184, 0.02397084012578804]",Ridge,22
26,study_27_MeanTRL_C,0.1854427243893525,"[0.1854427243893525, 0.1040094718957932, 0.062435554184713894, 0.1582724752692634]",Ridge,35
27,study_2_DTFmainEffect2009,0.5799468942697557,"[0.5799468942697557, 0.5761130344559283, 0.555585105498228, 0.550808738184868]",Ridge,61
28,study_2_YieldMainEffect2009,0.2613995935278659,"[0.2613995935278659, 0.20802376582132667, 0.16597115327461895, 0.21997186852801998]",Ridge,60
29,study_30_MeanTRL_CK,0.24770418701866062,"[0.19175814756370604, 0.20626896542145726, 0.1580903952436464, 0.24770418701866062]",rf,35
30,study_31_FruitNumber,0.30531182619223945,"[0.30279806150354577, 0.30531182619223945, 0.26549499003316157, 0.28580524429890536]",Lasso,40
31,study_31_GrowthRate,0.402717703576945,"[0.402717703576945, 0.39904523880913956, 0.3658068732031861, 0.38130058780700327]",Ridge,41
32,study_38_CL,0.43477134333212686,"[0.4074424141745397, 0.39344734690888095, 0.37899499341967063, 0.43477134333212686]",rf,54
33,study_38_RL,0.5217240504570142,"[0.51510930868263, 0.5071538554866348, 0.4921014025289123, 0.5217240504570142]",rf,53
34,study_44_root_length_day003,0.16084808861074018,"[0.16084808861074018, 0.134525942316329, 0.044790788907136315, 0.13313892035857788]",Ridge,34
35,study_4_M130T666,0.08384902256890162,"[0.08384902256890162, 0.07692579603797206, 0.05918435134662323, 0.05562827145101916]",Ridge,60
