accession_id,replicate_id,shoots 21d protocol b,shoots 21d protocol a,callus score 21d protocol b,area 15d protocol a,area 15d protocol b,callus score 21d protocol a,undefined structures 21d protocol b,undefined structures 21d protocol a,undefined structures 15d protocol b,undefined structures 15d protocol a,callus score 15d protocol b,callus score 15d protocol a,root-like structures 21d protocol b,root-like structures 21d protocol a,greening 15d protocol a,greening 15d protocol b,shoots 15d protocol b,shoots 15d protocol a,root-like structures 15d protocol b,root-like structures 15d protocol a,greening 21d protocol a,greening 21d protocol b,shoot primordia 15d protocol b,shoot primordia 15d protocol a,area 21d protocol a,shoot primordia 21d protocol b,shoot primordia 21d protocol a,area 21d protocol b
430,67118,0.0,0.0,0.0,13124.0,36745.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,88.605,76.024,0.0,0.0,0.0,1.0,74.033,75.47,1.0,0.0,15068.0,0.0,0.0,28338.0
430,67119,0.0,0.0,0.0,454.0,32390.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.593,85.755,0.0,0.0,0.0,0.0,69.486,74.077,0.0,0.0,805.0,0.0,0.0,37241.0
430,67120,0.0,0.0,0.0,21394.0,42960.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86.082,79.037,0.0,0.0,0.0,0.0,66.443,77.954,0.0,0.0,26572.0,1.0,0.0,54193.0
430,67121,0.0,0.0,1.0,28683.0,18629.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,80.642,74.841,0.0,0.0,0.0,1.0,67.594,72.894,0.0,0.0,37056.0,0.0,0.0,12376.0
430,67122,0.0,0.0,1.0,3482.0,42129.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,89.126,75.05,0.0,0.0,3.0,0.0,78.585,71.812,0.0,0.0,11148.0,0.0,0.0,56898.0
430,67123,0.0,0.0,1.0,6477.0,40096.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,81.314,79.608,0.0,0.0,2.0,0.0,62.347,76.002,0.0,0.0,845.0,0.0,0.0,36727.0
430,67124,0.0,0.0,1.0,8372.0,32498.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,95.086,84.66,0.0,0.0,3.0,0.0,71.646,76.528,0.0,0.0,8343.0,0.0,0.0,50476.0
430,67125,0.0,0.0,1.0,884.0,6696.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.639,82.845,0.0,0.0,1.0,0.0,60.86,78.479,0.0,0.0,506.0,0.0,0.0,14262.0
430,67126,0.0,0.0,0.0,2153.0,4462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.205,74.272,0.0,0.0,0.0,0.0,67.911,73.519,0.0,0.0,3543.0,0.0,0.0,9557.0
430,67127,0.0,0.0,1.0,9587.0,3778.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,96.508,77.877,0.0,0.0,1.0,0.0,78.492,70.291,0.0,0.0,9079.0,0.0,0.0,17287.0
430,67128,0.0,0.0,0.0,17641.0,2830.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.744,69.122,0.0,0.0,0.0,0.0,68.251,69.435,0.0,0.0,19837.0,0.0,0.0,15559.0
430,67129,0.0,0.0,0.0,4631.0,14107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.782,71.331,0.0,0.0,0.0,0.0,65.734,67.095,0.0,0.0,7683.0,0.0,0.0,17012.0
763,67130,2.0,7.0,2.0,68345.0,29030.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,3.0,3.0,91.638,108.589,0.0,0.0,3.0,3.0,67.653,98.872,0.0,12.0,123749.0,0.0,14.0,73595.0
763,67131,0.0,0.0,2.0,42089.0,23490.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,98.806,99.183,0.0,0.0,5.0,5.0,78.938,91.287,0.0,2.0,51693.0,0.0,0.0,51964.0
763,67132,5.0,0.0,2.0,44884.0,31931.0,1.0,4.0,4.0,0.0,2.0,1.0,1.0,4.0,7.0,91.765,101.787,1.0,0.0,4.0,6.0,70.744,94.814,0.0,1.0,50850.0,0.0,3.0,166351.0
763,67133,1.0,0.0,2.0,62101.0,55434.0,1.0,5.0,3.0,6.0,1.0,1.0,1.0,2.0,5.0,95.501,104.234,0.0,0.0,2.0,3.0,77.318,95.369,1.0,2.0,100287.0,2.0,0.0,122065.0
763,67134,0.0,0.0,2.0,38669.0,39484.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,103.714,93.161,0.0,0.0,6.0,1.0,90.676,98.81,0.0,0.0,52793.0,0.0,0.0,109305.0
763,67135,3.0,3.0,2.0,63639.0,61926.0,1.0,5.0,4.0,0.0,2.0,1.0,1.0,6.0,0.0,87.712,102.195,4.0,0.0,10.0,1.0,66.041,97.209,0.0,15.0,71705.0,1.0,18.0,132903.0
763,67136,0.0,17.0,2.0,97788.0,25044.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,5.0,1.0,107.32,87.94,0.0,0.0,4.0,2.0,83.119,95.948,0.0,13.0,282498.0,1.0,5.0,66598.0
