accession_id,replicate_id,Rosette diameter Mine,Leaf  S Mine (μg/g),Leaf Ca Mine (μg/g),Leaf Zn Mine (μg/g),Leaf K Mine (μg/g),Leaf B Mine (μg/g),Leaf Cu Mine (μg/g),Leaf Na Mine (μg/g),Leaf Fe Mine (μg/g),Leaf Mg Mine (μg/g),Leaf Mn Mine (μg/g),Estimated Soil Pb,Leaf Pb Mine (μg/g),Growth rate,Leaf P Mine (μg/g)
8256,71882,52.0,1775.19,20046.98,139.53,11433.86,23.84,7.25,2367.71,353.84,2432.09,48.39,0.230219138,32.639,0.6,1940.33
8271,71883,62.0,676.28,15803.58,94.89,17388.69,60.79,12.03,2361.64,154.5,1888.01,47.92,0.97208008,4.344,0.81,2426.55
8274,71884,16.0,3215.57,37719.37,127.88,27871.64,114.2,26.74,3921.22,741.55,4743.81,,,36.32,0.44,4106.81
8296,71885,52.0,4601.35,28957.48,186.43,33685.63,,,3814.53,173.21,3762.58,61.89,0.281173522,5.45,0.74,5727.7
8300,71886,41.0,2234.49,17988.34,122.59,17462.56,,,788.35,128.58,1738.7,45.16,0.280133788,6.63,0.75,2917.12
8311,71887,43.0,3911.03,32643.45,118.93,23445.4,,,3227.43,191.84,4417.23,58.43,1.032471851,2.004,0.9,3260.74
8323,71888,32.0,3693.75,22015.5,153.39,26851.17,,,1761.08,131.15,3057.72,44.59,1.148687354,5.315,0.73,3877.02
8325,71889,36.0,,,,,,,,,,,,,0.49,
8326,71890,63.0,3554.5,19033.96,82.79,22461.2,,,2110.86,52.23,2765.49,54.22,,2.795,0.9,4216.56
8329,71891,40.0,1336.02,32680.85,108.69,23673.99,,,4579.49,135.19,4018.9,59.2,-0.625272334,5.374,0.65,2725.3
8343,71892,40.0,5037.9,27225.77,209.82,35480.49,45.63,,5953.03,176.84,4384.1,74.27,-0.72416712,15.13,0.45,4381.64
8351,71893,41.0,7730.21,32108.63,160.96,41195.07,46.87,,3637.5,193.84,4454.75,71.33,0.18940429,9.739,0.51,7307.3
8365,71894,51.0,5541.68,38881.75,275.66,27315.45,,,5112.94,1343.97,5759.51,84.75,-0.483389974,62.785,1.11,4475.62
8374,71895,43.0,3060.19,20783.1,104.36,30327.79,,,1594.37,162.02,2811.1,40.32,,5.789,0.61,5925.8
8376,71896,55.0,5162.95,33844.54,200.31,37009.34,61.27,,3952.33,162.03,5310.11,61.36,0.398885602,1.835,0.69,5628.43
8378,71897,56.0,3392.08,37672.31,102.26,31570.1,91.42,,3148.46,162.77,5131.02,57.49,0.93620035,3.237,0.8,4262.58
8389,71898,42.0,1127.3,16480.91,73.52,15518.63,30.15,,2148.75,64.88,1990.97,47.42,0.85598465,3.487,0.5,2457.28
8420,71899,42.0,,,,,,,,,,,,,0.46,
8422,71900,26.0,2488.22,26404.99,164.67,20929.28,59.83,,2400.16,688.38,3121.39,93.45,-0.707071856,23.997,0.58,6521.36
8430,71901,45.0,5193.55,30126.02,121.01,41748.76,,,3066.47,146.96,4564.11,56.82,0.347877219,8.046,0.54,5407.93
8610,71902,62.0,2560.25,25849.81,146.44,18230.92,,8.44,2704.58,317.74,3412.98,53.05,,11.902,0.64,3567.6
8692,71903,40.0,5158.49,30988.25,224.36,45519.11,58.59,14.02,3156.22,168.35,4162.4,53.73,,4.074,0.48,5446.96
8796,71904,50.0,9517.41,47506.32,235.14,31974.44,185.41,53.47,6584.55,475.47,5984.78,,,23.423,0.77,5974.87
