accession_id,replicate_id,Rosette diameter Mine,Leaf  S Mine (μg/g),Leaf Ca Mine (μg/g),Leaf Zn Mine (μg/g),Leaf K Mine (μg/g),Leaf B Mine (μg/g),Leaf Cu Mine (μg/g),Leaf Na Mine (μg/g),Leaf Fe Mine (μg/g),Leaf Mg Mine (μg/g),Leaf Mn Mine (μg/g),Estimated Soil Pb,Leaf Pb Mine (μg/g),Growth rate,Leaf P Mine (μg/g)
282,71712,56.0,3134.13,21854.0,161.01,24953.78,,,1589.18,160.63,3003.32,56.84,0.578908489,7.36,0.7,4538.38
286,71713,33.0,3177.8,22228.28,139.89,17388.39,25.43,,3845.85,569.44,3497.82,65.55,,35.128,0.5,2735.15
333,71714,26.0,6681.04,46431.39,314.26,32120.97,43.82,,5522.02,219.43,7252.82,98.73,,8.122,0.87,5321.74
357,71715,40.0,3944.55,32589.22,224.35,31130.65,42.87,,3804.24,97.53,4937.28,77.73,0.578908489,4.391,0.65,3736.75
362,71716,32.0,1300.49,18155.44,107.13,14633.17,27.84,,2741.42,161.79,2405.99,40.51,0.578908489,12.171,0.41,3247.08
366,71717,21.0,1986.68,10997.22,80.68,18694.54,29.6,,1466.41,97.18,1505.01,28.19,0.578908489,6.092,0.32,3700.59
373,71718,42.0,1996.15,15837.77,94.56,13995.67,24.94,,2619.07,123.66,2063.7,42.36,0.578908489,5.413,0.63,3301.78
374,71719,32.0,1848.46,12791.98,89.09,18783.12,27.18,,1574.0,175.93,1720.71,57.14,0.578908489,14.108,0.46,4436.48
380,71720,52.0,3246.27,33524.68,126.86,27801.68,44.7,,10007.45,385.13,4985.49,71.91,0.578908489,36.002,0.87,3235.63
386,71721,55.0,3210.4,27630.48,90.38,34319.67,54.75,,4253.75,166.59,4136.68,55.68,0.578908489,2.846,0.64,5805.07
392,71722,56.0,8387.45,34067.16,185.29,34086.28,,,9918.99,244.52,4932.92,0.0,0.690571594,10.157,0.73,5765.2
957,71723,40.0,1397.46,31817.35,135.37,18379.74,79.42,11.64,2991.93,160.56,3593.13,60.19,1.919702876,4.519,0.85,4159.4
1859,71724,13.0,5656.39,31443.35,173.78,23351.7,183.47,,14757.6,780.75,5131.39,0.0,,48.632,0.28,4401.88
1867,71725,36.0,1406.97,19849.2,135.69,12836.48,,,6516.15,194.85,2207.42,37.77,0.888573441,2.588,0.64,2758.58
1967,71726,26.0,3685.83,22929.26,278.02,23481.21,103.47,,4617.38,395.28,3200.77,47.23,,25.681,0.45,2658.74
2150,71727,49.0,6877.43,41157.29,215.35,34189.52,,,9024.82,378.76,5867.59,70.01,,12.679,1.02,7464.4
2290,71728,22.0,2043.19,31896.11,177.77,24691.79,52.28,,3612.7,235.11,4184.11,,,8.52,0.48,2305.88
5158,71729,41.0,6180.85,50885.76,535.86,24520.28,,,9218.46,287.05,7176.71,,1.304268898,9.018,0.79,1787.96
5160,71730,23.0,5788.11,31312.05,240.63,30903.93,,,4092.0,140.05,4205.64,73.97,1.304268898,3.473,0.74,5721.76
