species,phenotype_id,name,doi,study,scoring,source,type,growth_conditions,integration_date,number_replicates,to_term,to_name,to_definition,to_comment,to_source_acronym,to_source_name,to_source_url,eo_term,eo_name,eo_definition,eo_comment,eo_source_acronym,eo_source_name,eo_source_url,uo_term,uo_name,uo_definition,uo_comment,uo_source_acronym,uo_source_name,uo_source_url,num_values
Arabidopsis thaliana (NCBI: 3702),269,Li7,10.21958/phenotype:269,Ion Concentration,Lithium concentrations in leaves,,,,2017-03-21T12:58:51.176000Z,0,TO:0006042,lithium concentration,"""A mineral and ion content related trait (TO:0000465) which is the concentration of lithium (CHEBI:33298) in some plant structure (PO:0009011)."" [GR:Karthik]",May be assayed for per gram fresh weight.,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),270,B11,10.21958/phenotype:270,Ion Concentration,Boron concentrations in leaves,,,,2017-03-21T12:58:51.178000Z,0,TO:0006043,boron concentration,"""A mineral and ion content related trait (TO:0000465) which is the concentration of boron (CHEBI:22916) in some plant structure (PO:0009011)."" [GR:Karthik]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),271,Na23,10.21958/phenotype:271,Ion Concentration,odium concentrations in leaves,,,,2017-03-21T12:58:51.179000Z,0,TO:0000526,sodium concentration,"""The total sodium ion concentration measured in a given volume of a plant or a plant part or plant extract."" [GR:pj]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),272,Mg25,10.21958/phenotype:272,Ion Concentration,Magnesium concentrations in leaves,,,,2017-03-21T12:58:51.180000Z,0,TO:0006044,magnesium concentration,"""A mineral and ion content related trait (TO:0000465) which is the concentration of magnesium (CHEBI:25108) in some plant structure (PO:0009011)."" [GR:Karthik]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),273,P31,10.21958/phenotype:273,Ion Concentration,Phosphorus concentrations in leaves,,,,2017-03-21T12:58:51.181000Z,0,TO:0006045,phosphorus concentration,"""A phosphorus content (TO:0001024) which is the concentration of phosphorus (CHEBI:26082) in some plant structure (PO:0009011)"" [GR:Karthik]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),274,S34,10.21958/phenotype:274,Ion Concentration,Sulfur concentrations in leaves,,,,2017-03-21T12:58:51.182000Z,0,TO:0006046,sulfur concentration,"""A mineral and ion content related trait (TO:0000465) which is the concentration of sulfur (CHEBI:26835) in some plant structure (PO:0009011)."" [GR:Karthik]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),275,K39,10.21958/phenotype:275,Ion Concentration,Potassium concentrations in leaves,,,,2017-03-21T12:58:51.183000Z,0,TO:0000513,potassium concentration,"""The total potassium ion concentration measured in a plant or a plant part or plant extract."" [GR:pj]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),276,Ca43,10.21958/phenotype:276,Ion Concentration,Calcium concentrations in leaves,,,,2017-03-21T12:58:51.185000Z,0,TO:0006047,calcium concentration,"""A mineral and ion content related trait (TO:0000465) which is the concentration of calcium (CHEBI:22985) in some plant structure (PO:0009011)."" [GR:Karthik]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),277,Mn55,10.21958/phenotype:277,Ion Concentration,Manganese concentrations in leaves,,,,2017-03-21T12:58:51.186000Z,0,TO:0006048,manganese concentration,"""A manganese content (TO:0020091) which is the concentration of manganese (CHEBI:25154) in some plant structure (PO:0009011)"" [GR:Karthik]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),278,Fe57,10.21958/phenotype:278,Ion Concentration,Iron concentrations in leaves,,,,2017-03-21T12:58:51.187000Z,0,TO:0006049,iron concentration,"""An iron content (TO:0020089) which is the concentration of iron (CHEBI:24873) in some plant structure (PO:0009011)"" [GR:Karthik]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
