,Model_Name,feature_represenation,variance_maintained,tree_num,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Random_Forest,SNPs,-,3,336711,0.09585582074340865,0.8872819256118563,0.7579065370364881,0.48215081437322616,0.5417241064821703,0.4677556967144035,0.18907515896561392,0.18364790723094185
1,Random_Forest,SNPs,-,5,336711,0.2837459078354339,0.7875227595949066,0.8306040101022684,0.40935390992774934,0.48797577405049614,0.43816685163578856,0.07477686864638099,0.09714843426587291
2,Random_Forest,SNPs,-,10,336711,0.3364966492638565,0.7621263035281577,0.8814370547567072,0.34318748142639405,0.3977118028085923,0.4337111936184297,0.03183065642791198,0.04671570374060866
3,Random_Forest,SNPs,-,50,336711,0.41349337387902774,0.725682614998886,0.917868550288694,0.2854207338479239,0.4563040711364035,0.5291913533010902,0.024418843634774794,0.041518484512119126
