accession_id,replicate_id,EPPO (Elevated Partial Pressure of Oxygen seed-aging treatment),AAT (Accelerated seed Aging Treatment),CDT (Controlled seed Deterioration Treatment),NAT (Natural seed Aging Treatment)
7227,70051,0.897959184,0.010498688,0.109289617,0.030651341
7229,70052,0.70001409,0.035274356,0.014361702,0.071251856
7231,70053,0.7621498,0.737129181,0.17592653,0.54709752
7255,70054,0.897230769,0.649038462,0.034744066,0.360821382
7244,70055,0.863328582,0.931677019,0.11455158,0.220108696
7446,70056,0.346320346,0.012894907,0.053215078,0.08237717
7449,70057,0.257926992,0.17382716,0.006919871,0.047580427
7430,70058,0.617511521,0.049120235,0.196480938,0.426809433
6847,70059,0.348057714,0.0,0.02558538,0.304072398
7275,70060,0.74754441,0.017418277,0.23083004,0.409242424
7270,70061,0.440478647,0.12953668,0.023552124,0.037683398
7258,70062,0.891031823,0.336339206,0.236795995,0.725590749
7260,70063,0.919023569,0.550802139,0.525456586,0.362387924
7263,70064,0.401496035,0.273178808,0.011190993,0.140067912
7277,70065,0.798129967,0.207264957,0.244788238,0.422171019
7280,70066,0.705793145,0.185952213,0.159094794,0.220595485
7282,70067,0.665331956,0.568613652,0.398779612,0.53851811
7291,70068,0.602836879,0.634212766,0.069108943,0.430851064
7482,70069,0.465052356,0.122822951,0.117841321,0.591049796
7483,70070,0.56097561,0.0,0.0,0.018930041
7490,70071,0.422258592,0.356971154,0.21899529,0.5468649
7492,70072,0.707147696,0.201018519,0.323643411,0.384013981
7498,70073,0.336363636,0.021712268,0.015860735,0.113233602
7504,70074,0.318274556,0.014636892,0.366340509,0.436119653
7507,70075,0.455676456,0.279384035,0.41054584,0.356195818
7508,70076,0.570175439,0.298701299,0.329842932,0.691823899
7300,70077,0.539192151,0.029034257,0.05049039,0.192928567
7307,70078,0.411111111,0.244917258,0.104148148,0.544117647
7306,70079,0.516488414,0.167004733,0.045432807,0.330213904
7310,70080,0.455384615,0.335403727,0.098076923,0.171428571
7316,70081,0.290598291,0.0,0.268700073,0.252525253
7320,70082,0.417422868,0.159853848,0.045666356,0.181034483
7514,70083,0.370836286,0.153493976,0.124454575,0.531580869
7472,70084,0.410118948,0.445523347,0.037272868,0.347907412
7330,70085,0.405681818,0.340728477,0.160169492,0.495283019
7340,70086,0.393034826,0.155642023,0.43537415,0.7
7333,70087,0.461127308,0.18727491,0.105619499,0.336896663
7344,70088,0.375329131,0.104334865,0.079898542,0.31071655
7331,70089,0.789008322,0.784824821,0.424001273,0.468985976
7337,70090,0.473537759,0.00833771,0.097910724,0.188889715
7343,70091,0.589970501,0.503603686,0.063876505,0.808347642
7346,70092,0.492401216,0.981818182,0.2052076,0.27818506
7355,70093,0.823529412,0.188405797,0.640625,0.72
7372,70094,0.882313352,0.019937587,0.652147683,0.802999084
7351,70095,0.53418124,0.067677434,0.052190121,0.275184275
7379,70096,0.656212401,0.13660186,0.5394685,0.891551072
7382,70097,0.580956411,0.287581699,0.226706741,0.295798319
6978,70098,0.525055269,0.273957409,0.347419748,0.736211755
7392,70099,0.751219512,0.073282443,0.454054054,0.608450704
7477,70100,0.646067416,0.265411479,0.241520529,0.276886035
7411,70101,0.789473684,0.404210526,0.227762388,0.557275542
7397,70102,0.705185185,0.118877193,0.47315942,0.396
7408,70103,0.773972603,0.096296296,0.207253886,0.202380952
7418,70104,0.443295019,0.042330559,0.29228243,0.879990112
7283,70105,0.262488948,0.285202086,0.012993763,0.055473373
8610,70106,0.587975731,0.064864865,0.16551262,0.763280522
8796,70107,0.329519687,0.012536075,0.084859585,0.106758833
8692,70108,0.320655535,0.126159555,0.043978155,0.25728044
7571,70109,0.325358852,0.039911308,0.012396694,0.121212121
1,70110,0.4,0.447311828,0.298938429,0.362666667
6898,70111,0.401709402,0.528735632,0.235294118,0.233333333
5832,70112,0.488782051,0.025416667,0.230064655,0.068693694
8256,70113,0.754310345,0.133534137,0.510018215,0.425490196
6899,70114,0.450744473,0.763761468,0.094133066,0.140461879
957,70115,0.205485714,0.011428571,0.061456954,0.249462366
6709,70116,0.435109966,0.059280855,0.017290249,0.584339858
7015,70117,0.336969896,0.01704239,0.277667628,0.576231987
7034,70118,0.372252155,0.617931034,0.118803879,0.122884013
5837,70119,0.363636364,0.530612245,0.092105263,0.15
6903,70120,0.254022989,0.537931034,0.024611224,0.086139283
6904,70121,0.376811594,0.0,0.061104583,0.320571058
8271,70122,0.814545455,0.052214452,0.509090909,0.685714286
15,70123,0.689706987,0.105371901,0.639239106,0.758574759
5719,70124,0.781408451,0.145657277,0.234266358,0.427441051
6906,70125,0.67715761,0.606568455,0.374693878,0.453689168
23,70126,0.526234805,0.23015358,0.056716418,0.064818763
66,70127,0.468115942,0.378360438,0.283229814,0.577809456
8274,70128,0.552,0.0,0.194594595,0.370285714
8275,70129,0.129251701,0.177296332,0.033521524,0.031635032
6907,70130,0.208917197,0.008488613,,0.110512129
78,70131,0.495027125,0.433996383,0.313001605,0.28957529
6909,70132,0.635930309,0.428197542,0.509615385,0.448461538
6910,70133,,0.357142857,0.317596567,0.731958763
81,70134,0.417592844,0.413134427,0.041103018,0.041103018
6911,70135,0.800616197,0.172965116,0.102822581,0.287760417
5896,70136,0.89106467,0.256158053,0.331446965,0.419819217
5887,70137,0.578901983,0.565122678,0.014518559,0.454599231
5889,70138,0.498058252,0.27441226,0.244018041,0.305825243
5987,70139,0.557514036,0.235749768,0.384639959,0.294294294
6005,70140,0.965965259,0.350023618,0.520547945,0.694063927
6008,70141,0.416138237,0.408083949,0.135542169,0.327170752
6914,70142,0.373364536,0.433996383,0.151898734,0.235081374
6916,70143,0.878787879,0.765957447,0.15,0.377777778
8215,70144,0.576923077,0.278688525,0.316239316,0.404761905
6919,70145,0.427893738,0.104212055,0.079981993,0.204772475
8296,70146,0.522077922,0.459235209,0.059714795,0.561004785
8300,70147,0.677567706,0.427273537,0.111992342,0.378640777
8214,70148,0.411478877,0.634150567,0.081719644,0.384453782
8304,70149,0.822565969,0.401291364,0.127186147,0.280745342
8235,70150,0.495367042,0.011927825,0.0,0.083867521
6039,70151,0.62752482,0.311844078,0.259274033,0.443307758
6924,70152,0.59282728,0.044575428,0.043062687,0.335231645
8310,70153,0.743243243,0.537777778,0.13037037,0.192982456
8236,70154,0.8125,0.026785714,0.041060736,0.404395604
8311,70155,0.52184265,0.243428571,0.021428571,0.349180328
8314,70156,0.734034446,0.048944926,0.282137615,0.785679012
8420,70157,1.0,0.397381954,0.562448304,0.855112083
6926,70158,0.655735493,0.039891767,0.356655518,0.974898785
6928,70159,0.510652613,0.295714286,0.065847311,0.284340659
7500,70160,0.713654401,0.139249639,0.248284734,0.4736449
94,70161,0.60315702,0.229785107,0.47662579,0.616791604
96,70162,0.884927536,0.189361916,0.806038647,0.845741513
8323,70163,0.624375981,0.056910569,0.027306469,0.137654527
104,70164,0.396130073,0.259778246,0.07215508,0.22466468
116,70165,0.878826531,0.130327869,0.462698413,0.642821782
126,70166,0.565868263,0.197141201,0.0,0.0
149,70167,0.620919983,0.195731366,0.604007485,0.828107658
6932,70168,0.289673913,0.52,0.034210526,0.24
641,70169,0.564860427,0.182336182,0.211838006,0.64516129
8241,70170,0.472359893,0.143815095,0.019978858,0.034473324
8325,70171,0.532300593,0.073170732,0.354621309,0.652045633
8326,70172,0.347510807,0.096424702,0.043224866,0.206766371
6933,70173,0.602,0.069107143,0.350142857,0.705849057
8329,70174,0.524206523,0.075471698,0.21731567,0.635832359
6042,70175,0.799220273,0.157480315,0.213675214,0.896464646
7520,70176,0.80159204,0.45480315,0.386031746,0.846084142
7521,70177,0.868700265,0.158255565,0.262419872,0.623607054
6936,70178,0.586546349,0.058240277,0.079065588,0.224056604
2057,70179,0.205451214,0.028878193,0.074623296,0.065878378
166,70180,0.586383929,0.162175325,0.16647919,0.336363636
173,70181,0.641148325,0.074066849,0.364820076,0.743378669
178,70182,0.459693538,0.162725655,0.28375286,0.776531493
223,70183,0.722797063,0.236011905,0.183520963,0.555758017
1925,70184,0.404735883,0.0,0.266666667,0.712179487
1859,70185,0.527725662,0.087390066,0.051655464,0.542909471
242,70186,0.416774305,0.007186607,0.029573205,0.301904649
6937,70187,0.823356147,0.668369674,0.629148425,0.731443299
6939,70188,0.956521739,0.144230769,0.525,0.943181818
6940,70189,0.929824561,0.502824859,0.420289855,0.907692308
7438,70190,0.520091324,0.248484848,0.011111111,0.163703704
8343,70191,0.965217391,0.678365636,0.199528143,0.552238806
8246,70192,0.663465282,0.252208346,0.354398222,0.888633754
6942,70193,0.598039216,0.015625,0.686956522,0.873563218
6943,70194,0.427689594,0.053024781,0.012483912,0.074984539
6944,70195,0.49719888,0.127789047,0.182637571,0.248478702
8351,70196,0.751786269,0.035661656,0.104310345,0.57703595
6946,70197,0.584780811,0.097741935,0.337547225,0.441196237
8353,70198,0.384589058,0.20632804,0.076892822,0.283185841
258,70199,0.758350202,0.060227889,0.0,0.033965728
259,70200,0.543820933,0.046073718,0.028846154,0.081306561
2150,70201,0.293382353,0.391176471,0.133636364,0.228846154
2187,70202,0.583960864,0.083289953,0.207403714,0.58636127
8354,70203,0.434437086,0.112112796,0.163497828,0.349758671
7296,70204,0.7,0.181176471,0.40173913,0.519101124
8244,70205,0.400401868,0.142217102,0.134551337,0.338651867
7523,70206,0.344916264,0.114348543,0.074553951,0.170852804
8213,70207,0.743434343,0.011594203,0.436363636,1.40952381
6951,70208,0.369039548,0.150423729,0.40744695,0.254563233
6958,70209,0.241163965,0.26850508,0.395327942,0.710029791
8365,70210,0.704545455,0.248376623,0.177272727,0.466026242
6959,70211,0.359966938,0.58579235,0.695628415,0.095973261
7525,70212,1.0,0.193107546,0.029187247,0.630685264
8374,70213,0.38384755,0.184441367,0.573170732,0.276470588
8378,70214,0.4031477,0.243609023,0.029900332,0.099861304
6961,70215,0.384615385,0.0,0.070754717,0.283333333
6962,70216,0.571428571,0.170068027,0.111111111,0.493150685
2274,70217,0.553752535,0.605998776,0.206896552,0.796831314
6967,70218,0.434945913,0.03568787,0.226398273,0.691080729
8387,70219,0.505950234,0.158640481,0.168444106,0.600328048
2290,70220,0.541139241,0.046568627,0.284330986,0.352335165
8389,70221,0.396449704,0.519774011,0.107594937,0.448979592
333,70222,0.205128205,0.014628534,0.0,0.184036394
6188,70223,0.65735154,0.136778116,0.280781304,0.543735225
6190,70224,1.0,0.356759657,0.589351852,0.86235119
6243,70225,0.762175613,0.187106447,0.253968254,0.293470286
281,70226,0.59871091,0.16201052,0.0,0.038573933
282,70227,0.882555084,0.050056561,0.110177404,0.558485463
286,70228,0.391461788,0.094675569,0.015545061,0.183065954
321,70229,0.388500389,0.269164513,0.017536476,0.4414853
328,70230,0.672348485,0.198668385,0.182291667,0.726744186
357,70231,0.738256269,0.341848739,0.100110742,0.582936508
362,70232,0.81839561,0.056759953,0.0,0.376744186
366,70233,0.670192511,0.062822086,0.011898122,0.329815951
374,70234,0.829011452,0.242640187,0.0807959,0.56924384
378,70235,0.756576757,0.173976966,0.07483531,0.248251748
379,70236,0.55658284,0.0,0.063497823,0.443037975
380,70237,0.606899401,0.027571735,0.165292553,0.166962175
386,70238,0.4222333,0.106825749,0.0,0.0
6970,70239,0.5703125,0.283357593,0.084490741,0.337962963
6318,70240,0.740742728,0.613824192,0.565041322,0.733671021
5729,70241,0.394953547,0.08957529,0.153742204,0.144381223
