,r2s,RMSEs,hidden,lr,weight_decay,memory,tol,drop_out,epoch,brach_size,hidden_layer_size,feature_selection_alpha,features
0,0.2626430634229545,0.6327881108265,1,0.001,0.1,10,0.05,0.0,58,100,0.6666666666666666,0.0078125,403
1,0.7605643909040339,0.30389043682476635,2,0.001,0.1,10,0.05,0.0,75,100,0.6666666666666666,0.0078125,427
2,0.7644159421248828,0.5946445542483935,1,0.001,0.01,10,0.05,0.0,11,100,0.6666666666666666,0.015625,320
3,-0.46630000346744804,0.5861038569251147,1,0.001,0.1,10,0.05,0.0,4,100,0.6666666666666666,0.0078125,406
4,0.2113038733604342,0.920903253498035,1,0.001,0.1,10,0.05,0.0,194,100,0.6666666666666666,0.0078125,411
5,0.3906655520358331,0.5118507046348628,1,0.001,0.1,10,0.05,0.0,43,100,0.6666666666666666,0.0078125,388
6,0.3116441310122542,1.2514448130934075,1,0.001,0.01,10,0.05,0.0,9,100,0.6666666666666666,0.0078125,398
7,0.6969407208432277,0.6459851805158173,1,0.001,0.1,10,0.05,0.1,100,100,0.6666666666666666,0.0078125,429
8,0.8043285203990111,0.47938266519138983,1,0.001,0.1,10,0.05,0.1,49,100,0.6666666666666666,0.0078125,403
9,0.41447578903103843,0.7205665319170992,1,0.001,0.1,10,0.05,0.0,10,100,0.6666666666666666,0.0078125,403
