,r2s,RMSEs,hidden,lr,weight_decay,memory,tol,drop_out,epoch,brach_size,hidden_layer_size,feature_selection_alpha,features
0,0.18058160211410756,0.9925595834206946,2,0.0015,0.01,10,0.05,0,14,100,0.6666666666666666,0.0016384,155
1,-0.07824018807457578,0.40419542365221756,1,0.0015,0.01,10,0.05,0,220,100,0.6666666666666666,0.0016384,157
2,-0.08676557412426855,0.678061473957907,3,0.0015,0.01,10,0.05,0,12,100,0.6666666666666666,0.0016384,160
3,-0.06067462881015806,1.5536550452528715,2,0.0015,0.01,10,0.05,0,220,100,0.6666666666666666,0.0016384,156
4,0.2521112746655002,1.1740817829302974,1,0.0015,0.01,10,0.05,0,8,100,0.6666666666666666,0.0016384,154
5,0.12087794290275766,0.9985529103405936,3,0.0015,0.01,10,0.05,0,9,100,0.6666666666666666,0.0016384,152
6,0.2918914017294204,0.4389881654246729,3,0.0015,0.01,10,0.05,0,4,100,0.6666666666666666,0.0016384,152
7,0.33674860253478134,1.0354161034263365,3,0.0015,0.1,10,0.01,0,24,100,0.6666666666666666,0.0016384,162
8,0.10310299803327627,0.5494200758834141,2,0.0015,0.01,10,0.05,0,220,100,0.6666666666666666,0.0016384,160
9,-0.2598536782248093,0.5816448921867667,3,0.0015,0.1,10,0.05,0,220,100,0.6666666666666666,0.0016384,154
