study_126_Trichome_stem_length,0.5,0
study_126_Trichome_stem_length,0.25,0
study_126_Trichome_stem_length,0.125,25
herbavore_resistance_G4MSB,0.0625,51
herbavore_resistance_G4MSB,0.0625,51
study_126_Trichome_stem_length,0.0625,73
herbavore_resistance_G4MSB,0.03125,167
herbavore_resistance_G4MSB,0.03125,167
study_126_Trichome_stem_length,0.03125,153
herbavore_resistance_G4MSB,0.015625,286
herbavore_resistance_G4MSB,0.015625,286
herbavore_resistance_G4MSB,0.0078125,403
study_126_Trichome_stem_length,0.015625,204
herbavore_resistance_G4MSB,0.5,0
herbavore_resistance_G4MSB,0.25,0
herbavore_resistance_G4MSB,0.125,6
herbavore_resistance_G4MSB,0.0625,57
herbavore_resistance_G4MSB,0.03125,173
herbavore_resistance_G4MSB,0.0078125,403
study_126_Trichome_stem_length,0.0078125,239
herbavore_resistance_G4MSB,0.015625,299
herbavore_resistance_G4MSB,0.5,0
herbavore_resistance_G4MSB,0.25,0
herbavore_resistance_G4MSB,0.125,6
herbavore_resistance_G4MSB,0.0625,57
herbavore_resistance_G4MSB,0.03125,173
herbavore_resistance_G4MSB,0.0078125,427
herbavore_resistance_G4MSB,0.5,0
herbavore_resistance_G4MSB,0.25,0
herbavore_resistance_G4MSB,0.125,5
herbavore_resistance_G4MSB,0.0625,44
study_126_Trichome_stem_length,0.5,0
study_126_Trichome_stem_length,0.25,0
study_126_Trichome_stem_length,0.125,25
herbavore_resistance_G4MSB,0.03125,152
study_126_Trichome_stem_length,0.0625,81
herbavore_resistance_G4MSB,0.015625,299
herbavore_resistance_G4MSB,0.015625,320
study_126_Trichome_stem_length,0.03125,150
herbavore_resistance_G4MSB,0.0078125,418
study_126_Trichome_stem_length,0.015625,219
herbavore_resistance_G4MSB,0.5,0
herbavore_resistance_G4MSB,0.25,0
herbavore_resistance_G4MSB,0.125,10
herbavore_resistance_G4MSB,0.0625,59
herbavore_resistance_G4MSB,0.0078125,427
herbavore_resistance_G4MSB,0.03125,170
study_126_Trichome_stem_length,0.0078125,250
herbavore_resistance_G4MSB,0.015625,314
herbavore_resistance_G4MSB,0.5,0
herbavore_resistance_G4MSB,0.25,0
herbavore_resistance_G4MSB,0.125,5
herbavore_resistance_G4MSB,0.0625,44
herbavore_resistance_G4MSB,0.03125,152
