,test_index,y_pred,y_true
0,2,-0.12314328416727725,-0.0501732461042613
1,10,0.015049689407454296,-0.09781541716236056
2,29,0.2848705048372309,2.064065615226953
3,30,-0.07130030735775614,-0.10056015726343594
4,55,0.019840167755784694,-0.08959736478968006
5,63,-0.07063524493615292,-0.12074594574429454
6,70,-0.15204134539983327,0.0032856162157870166
7,72,-0.06794647846794089,-0.10355842359911249
8,76,-0.017074043798997313,-0.10375471995905339
9,77,0.07926139178707516,-0.09062545694481602
10,78,0.026829802758220254,-0.09062545694481602
11,101,-0.10439161807207731,-0.09365261717938292
12,104,-0.02470239144054424,-0.09382396587190563
13,118,-0.14414208838762185,-0.10672390793642918
14,135,-0.14609108492008507,-0.11789927585501424
15,165,0.04969593563889593,-0.1486675472795962
16,181,-0.2395774537464373,-0.09463484473835308
17,182,-0.07896264234302074,-0.29068178119992505
18,188,0.041666902702930386,-0.21556467048399885
19,208,-0.6985454687034148,-0.27512144218743817
20,209,-0.9244264109096365,-0.3119837426449925
21,218,-0.012903264921601045,-0.16113074717315498
22,235,0.18628810540246424,-0.24866606768154773
23,238,-0.11574839502266326,-0.2851979886644031
24,248,-0.04729566685572309,-0.24963704360584282
25,274,1.353474586382873,0.6762023035966054
26,277,0.02951354447216865,-0.2935078679019001
27,281,-0.12029265284906612,-0.23791471114479798
28,284,-0.3435217508057007,-0.29383502850180165
29,286,0.3890224496574433,-0.2939004606217819
30,289,0.3646492267968755,-0.3173990541056862
31,291,0.4551377715024561,-0.3174696235355591
32,300,-0.031155121904157233,-0.25803312953945295
33,312,-0.13619159506136827,0.20834919185097606
34,340,-0.1949916792900464,-0.3209545086424431
35,352,-0.10280194909574103,-0.3212098033188223
36,354,-0.18779319859889285,-0.33731163787678936
37,355,0.34970226493160195,-0.3374597542231744
38,357,0.3590478126751211,-0.33790410326232856
39,388,-0.09251118515415402,-0.3002473762598703
40,395,0.8809938212898741,3.5629658530827726
41,433,-0.08824090873179055,-0.28350696849448825
42,437,1.0429723446265904,-0.2837354334178518
43,451,0.35720357269472386,6.659888671500242
44,462,0.17296029112088288,-0.39467257981650533
45,465,-0.5337908872045787,-0.19977815415487665
46,490,0.35389148490262606,-0.3974953570114211
47,501,0.27511461924066644,-0.44353911986303457
48,524,-0.0022980189051164134,-0.35033295857832486
49,534,-0.01023075498113238,-0.48302109135081084
50,536,-0.26133103674246355,-0.43440316883494495
51,542,-0.06576232285359593,-0.47195177783060405
