accession_id,replicate_id,Raffinose 22C,Raffinose 32C
88,82602,14.76,100.36
108,82603,17.969999999999999,70.099999999999994
139,82604,14.960000000000001,139.86000000000001
159,82605,13.85,85.560000000000002
265,82606,35.380000000000003,184.91
350,82607,35.810000000000002,464.95999999999998
351,82608,71.349999999999994,150.41
403,82609,11.84,61.229999999999997
410,82610,16.609999999999999,93.969999999999999
424,82611,18.530000000000001,79.950000000000003
428,82612,7.1900000000000004,55.079999999999998
476,82613,8.0899999999999999,48.520000000000003
544,82614,18.68,84.790000000000006
628,82615,6.0499999999999998,135.25999999999999
680,82616,16.510000000000002,144.90000000000001
687,82617,16.84,87.620000000000005
742,82618,25.32,69.719999999999999
763,82619,7.6500000000000004,34.810000000000002
765,82620,28.809999999999999,160.15000000000001
766,82621,33.210000000000001,81.75
768,82622,18.34,66.980000000000004
772,82623,13.529999999999999,102.38
801,82624,25.640000000000001,224.90000000000001
854,82625,22.809999999999999,182.74000000000001
991,82626,20.969999999999999,140.34
992,82627,29.059999999999999,139.08000000000001
1002,82628,14.82,92.739999999999995
1006,82629,7.6399999999999997,118.36
1061,82630,15.77,89.900000000000006
1062,82631,24.350000000000001,125.97
1063,82632,14.609999999999999,185.06
1070,82633,19.579999999999998,147.34999999999999
1158,82634,9.1999999999999993,50.619999999999997
1166,82635,30.390000000000001,179.08000000000001
1254,82636,25.050000000000001,136.28999999999999
1257,82637,41.890000000000001,128.41999999999999
1313,82638,41.840000000000003,81.189999999999998
1317,82639,74.0,261.68000000000001
1552,82640,11.449999999999999,56.100000000000001
1651,82641,12.44,151.09
1676,82642,26.050000000000001,263.36000000000001
1739,82643,9.2100000000000009,91.230000000000004
2057,82644,48.100000000000001,95.930000000000007
2091,82645,15.640000000000001,62.090000000000003
2141,82646,22.890000000000001,76.060000000000002
2171,82647,18.27,208.97999999999999
2212,82648,58.289999999999999,138.03
2240,82649,15.56,140.21000000000001
4807,82650,11.640000000000001,110.45
4826,82651,26.460000000000001,171.84999999999999
5023,82652,41.390000000000001,379.22000000000003
5151,82653,71.989999999999995,300.31
5165,82654,13.52,100.34999999999999
5253,82655,25.039999999999999,169.41999999999999
5349,82656,9.5700000000000003,134.94
5353,82657,19.539999999999999,190.08000000000001
5486,82658,26.640000000000001,73.049999999999997
5717,82659,35.490000000000002,205.62
5718,82660,26.079999999999998,139.78
5720,82661,7.5099999999999998,54.060000000000002
5726,82662,22.890000000000001,219.25999999999999
5748,82663,73.450000000000003,303.61000000000001
5768,82664,18.780000000000001,121.26000000000001
5772,82665,17.359999999999999,86.120000000000005
5784,82666,48.450000000000003,215.44999999999999
5800,82667,9.7599999999999998,124.72
5811,82668,12.619999999999999,119.02
5822,82669,23.460000000000001,259.87
5830,82670,24.600000000000001,150.81
5831,82671,20.460000000000001,190.38999999999999
5832,82672,15.31,54.719999999999999
5836,82673,42.649999999999999,173.88
5837,82674,24.579999999999998,159.43000000000001
5856,82675,80.739999999999995,341.95999999999998
5860,82676,14.83,102.68000000000001
5865,82677,55.18,463.41000000000003
5867,82678,20.309999999999999,134.65000000000001
5874,82679,40.020000000000003,246.19999999999999
5890,82680,7.5499999999999998,50.619999999999997
5893,82681,29.469999999999999,133.34999999999999
5907,82682,10.140000000000001,89.599999999999994
5950,82683,16.59,98.989999999999995
5984,82684,22.059999999999999,115.15000000000001
5993,82685,23.82,106.33
6008,82686,15.84,118.06
6009,82687,23.920000000000002,207.00999999999999
6011,82688,5.2400000000000002,77.109999999999999
6013,82689,18.719999999999999,120.39
6016,82690,59.340000000000003,165.38
6019,82691,58.039999999999999,313.92000000000002
6022,82692,65.900000000000006,268.52999999999997
6023,82693,81.590000000000003,300.11000000000001
6024,82694,93.189999999999998,681.66999999999996
6025,82695,48.560000000000002,202.28999999999999
6030,82696,24.899999999999999,94.819999999999993
6035,82697,37.390000000000001,325.66000000000003
6038,82698,12.390000000000001,170.93000000000001
6039,82699,13.27,82.890000000000001
6040,82700,41.829999999999998,201.66
6042,82701,22.890000000000001,134.83000000000001
6046,82702,140.30000000000001,211.52000000000001
6074,82703,21.34,209.81999999999999
6076,82704,30.09,123.27
6077,82705,52.100000000000001,430.41000000000003
6086,82706,46.450000000000003,242.93000000000001
6087,82707,7.9199999999999999,113.0
6088,82708,31.359999999999999,139.90000000000001
6090,82709,32.100000000000001,213.43000000000001
6091,82710,21.059999999999999,81.219999999999999
6096,82711,62.25,303.98000000000002
6097,82712,42.829999999999998,122.55
6104,82713,79.890000000000001,205.90000000000001
6105,82714,12.32,77.450000000000003
6106,82715,19.93,184.68000000000001
6111,82716,43.719999999999999,296.13
6114,82717,21.460000000000001,196.06999999999999
6122,82718,23.800000000000001,102.7
6123,82719,13.25,96.650000000000006
6132,82720,60.859999999999999,306.06
6138,82721,6.71,58.450000000000003
6142,82722,43.460000000000001,175.02000000000001
6150,82723,16.550000000000001,148.91
6172,82724,46.310000000000002,135.34999999999999
6173,82725,35.57,129.37
6180,82726,29.800000000000001,167.94
6188,82727,15.17,104.12
6191,82728,9.8900000000000006,96.879999999999995
6193,82729,8.4199999999999999,101.7
6201,82730,12.539999999999999,76.189999999999998
6209,82731,20.329999999999998,168.03
6210,82732,3.0099999999999998,72.230000000000004
6240,82733,37.210000000000001,200.50999999999999
6243,82734,12.02,160.40000000000001
6244,82735,75.489999999999995,243.27000000000001
6296,82736,51.799999999999997,111.06
6390,82737,30.920000000000002,194.16999999999999
6396,82738,20.710000000000001,144.91
6424,82739,21.129999999999999,143.41999999999999
6434,82740,12.539999999999999,114.51000000000001
6445,82741,16.129999999999999,78.170000000000002
6744,82742,8.1600000000000001,80.599999999999994
6830,82743,17.489999999999998,170.93000000000001
6898,82744,22.170000000000002,102.04000000000001
6903,82745,11.300000000000001,69.980000000000004
6907,82746,16.27,103.65000000000001
6908,82747,14.460000000000001,150.47
6909,82748,6.75,84.569999999999993
6911,82749,15.66,69.049999999999997
6915,82750,27.629999999999999,126.95
6922,82751,17.219999999999999,143.66999999999999
6923,82752,17.34,99.469999999999999
6924,82753,45.950000000000003,228.78
6929,82754,6.1500000000000004,25.219999999999999
6931,82755,55.920000000000002,281.56
6932,82756,9.4199999999999999,53.060000000000002
6933,82757,5.3600000000000003,51.600000000000001
6938,82758,16.870000000000001,114.89
6940,82759,27.899999999999999,149.65000000000001
6943,82760,38.140000000000001,157.58000000000001
6944,82761,19.68,133.06
6945,82762,11.41,138.99000000000001
6956,82763,9.6600000000000001,73.5
6957,82764,14.300000000000001,88.260000000000005
6958,82765,8.5999999999999996,94.0
6959,82766,87.409999999999997,358.79000000000002
6960,82767,67.409999999999997,290.99000000000001
6961,82768,8.6600000000000001,68.950000000000003
6963,82769,9.5,93.560000000000002
