accession_id,replicate_id,PC3sc75,aLRL0,LRL75,Branched125,Basal75,MRLpTRS75,Apical75,Branched75,aLRLpMRL0,noLRpMR125,MRL0,MRL75,MRVA125,aLRLpMRL75,PC1sc0,LRDpMR125,TRS125,Straight75,MRLpTRS0,aLRL125,LRLpMRL1225,Depth0,LRDpBZ0,PC1sc125,MRVA0,LRDpBZ125,aLRL75,PC2sc0,TRS75,PC1sc75,Depth125,MRL125,LRLpMRL0,noLRpMR0,Basal125,MRVA75,PC3sc0,PC2sc75,aLRLpMRL125,noLRpMR75,LRDpBZ75,Straight125,Depth75,MRVL75,Branched0,Basal0,LRDpMR0,Straight0,MRVL0,Apical125,MRLpTRS125,LRDpMR75,MRVL125,LRL125,Apical0,LRLpMRL75,PC3sc125,LRL0,PC2sc125
7515,20866,0.573930125,0.089310273,0.54649675,0.274179,0.5904945,0.898346789,2.87242425,0.99312125,0.016916042,2.0,3.685945,4.45604,-3.43122,0.032675838,3.258896918,0.99010875,1.94165925,0.90951475,0.940233236,0.014111469,0.055887558,3.037507,4.26758875,4.078674277,22.05535,1.823626,0.14080075,-2.271440809,5.00253675,2.200031589,1.6382215,1.8287675,0.066550692,2.75,0.050481,0.23092,0.298392319,-3.414674439,0.006985945,3.5,1.42319075,0.90258925,4.0417375,4.053475,0.506628,0.4447645,0.74362025,0.892202,3.2881025,0.180335,0.954323446,0.77304925,1.648675,0.11289175,1.8276075,0.123888445,-1.616091552,0.24560325,0.609279939
7000,20867,-1.047883358,0.22243,3.826909,0.46032,0.15307725,0.599804454,1.947915,3.24501275,0.047675982,4.5,4.6685075,5.346005,2.060805,0.036928781,0.028536471,4.23635725,2.2795475,0.87896725,0.719896037,0.228767613,0.887563721,3.996875,5.30880275,1.585083061,15.182675,9.86658975,0.199388631,-2.469701633,9.172914,-2.67163888,1.11756625,1.26938425,0.391977038,8.25,0.11606675,-0.12314,0.977005896,-1.220323853,0.192866532,18.5,5.6552875,0.88372825,4.67990325,4.69727,1.570503,0.147272,1.763674,0.88757875,4.1432775,0.6929975,0.544207606,3.43480025,1.119774,1.01016325,2.9507325,0.701285158,1.324854449,1.8350475,3.203636368
6989,20868,0.758096518,0.137718238,2.27490925,0.622734,0.21199325,0.659284798,2.174602,1.39206475,0.03677019,4.0,3.5279675,3.77866,-2.1376375,0.068195141,2.215938034,2.88678925,1.80267725,0.854715,0.836900206,0.101044173,0.291442976,2.80860025,7.35820775,3.132015581,25.77295025,8.419479,0.253119954,-1.902850474,6.05356925,0.062841999,1.1936545,1.39248,0.204489648,5.25,0.240343,-9.021285,1.123690643,-0.478647658,0.072734956,10.25,6.94059425,0.867575,3.1556685,3.2296725,0.86185675,0.296948,1.48170975,0.88498375,3.123535,0.529403,0.783363264,2.62159125,1.20815575,0.41019725,2.36916275,0.580596136,-0.310008358,0.72302075,2.04995462
6990,20869,-0.256784673,0.175890048,4.32061375,1.19540075,0.07642575,0.527470727,1.921165,2.76246425,0.045951791,4.5,3.90895,4.760055,5.4080275,0.05701718,0.35439426,1.9228385,2.44999875,0.89319425,0.687042096,0.021283625,0.040431871,2.67730675,7.29457225,3.373577867,35.68005,3.83188,0.270323455,-1.090910709,9.08066875,-2.602982454,1.971365,2.3563825,0.468793381,10.5,0.36144425,2.24047,1.014273468,-0.61103224,0.009170423,16.0,5.75542675,0.857867,4.2385925,4.24861,1.44033075,0.09964675,2.681667,0.84467375,3.305965,0.7995375,0.961530591,3.3416545,2.0197525,0.09361625,2.3689725,0.90278066,-1.448851824,1.8468455,0.164351404
6996,20870,0.083036068,0.244787543,8.43346,1.3543755,0.14672725,0.428038684,2.3136625,3.81313275,0.05468132,7.75,4.23877,6.2735225,-27.6034505,0.063820637,-0.868254286,3.09886275,3.07319,0.86873525,0.619526648,0.063866431,0.249554803,3.7589985,6.98318725,1.958046982,9.0652475,5.4951645,0.395114499,-0.925016215,14.7069825,-5.418018513,1.46185825,2.440065,0.630528734,11.5,0.146727,4.20873,0.35991703,-1.379792751,0.025837205,22.0,5.787278,0.6872705,5.41008025,5.457585,1.642345,0.1805625,3.393413,0.89708575,3.83359,0.9389625,0.819359633,3.49288725,1.676665,0.633125,2.4158625,1.351711821,-1.412307235,2.81505675,2.006987439
6992,20871,4.566671125,0.2798637,6.01684575,1.200851,0.12264225,0.418598718,1.90868725,2.042528,0.078782373,9.25,3.59563,4.0738575,-0.140955,0.428645841,-0.565188564,4.772915,3.1070775,0.90401325,0.571134724,0.122184119,0.596714334,3.27341275,6.688191,1.120267498,0.9121875,7.84439925,0.940237313,-0.319645312,10.09070325,-3.301798204,1.72702225,1.9244675,0.77197473,10.0,0.2195265,10.5920535,0.949161375,1.008833857,0.062353408,14.0,5.01271175,0.91119125,3.59023425,3.68036,1.4688635,0.0803715,2.74983475,0.91212275,3.27646,0.50409,0.640123114,2.94426825,1.753595,1.18261,2.046395,1.465624606,-1.069796429,2.798637,2.414453875
6994,20872,-0.161346791,0.152864793,6.23817875,0.9025865,0.10654175,0.415818489,1.43118,2.78391825,0.042501263,6.5,3.591785,4.32164,7.72999,0.079491395,1.611613143,3.89061425,2.47386275,0.89400225,0.766370012,0.113277412,0.445450403,2.76414725,7.09661975,2.112306399,25.885975,8.50814525,0.325384068,-1.324938814,10.55981875,-3.714099874,1.47915,1.709115,0.307150421,7.25,0.21997775,5.920965,0.984602458,0.863598239,0.068915942,19.0,6.8295485,0.88292175,3.835304,3.8666275,1.05720475,0.32606775,2.01888075,0.8563985,3.0740575,0.58655075,0.699295745,4.51347725,1.5091085,0.76474775,2.2085125,1.515898918,-0.413732194,1.10826975,2.101947081
6998,20873,0.403154072,0.185687,5.27220025,0.858137,0.1128915,0.473540783,1.45130125,2.18153475,0.04953193,7.5,3.9855375,3.7457275,5.99125,0.101603114,0.633446299,4.5432925,2.40881875,0.800394,0.737502244,0.129814887,0.519266415,3.479603,6.69751275,1.791456874,9.629735,6.4117825,0.340112461,-1.667356086,9.01792775,-2.145779001,1.326987,1.52823,0.395615682,8.0,0.09284575,-23.58480025,0.857839518,1.651411936,0.090789197,14.5,6.933721,0.88258075,2.703905,2.9907,1.313515,0.14169225,2.044063,0.885693,3.536775,0.57724725,0.682622823,3.58237925,1.34274325,0.88058875,2.53033025,1.248394571,-0.280204281,1.485496,2.309257327
7014,20874,1.440914276,0.17178125,4.5147995,1.1541805,0.11103175,0.516964318,1.83190225,2.677926,0.053476931,8.75,2.6101435,4.62086,6.37189,0.14974063,2.088795236,5.39391725,2.71125475,0.88164575,0.748205173,0.117645761,0.679603391,2.06902925,5.4647585,0.979879538,8.37292475,7.76857225,0.315184833,0.290529093,9.1356595,-2.862823375,1.51118625,1.7062575,0.370046401,7.0,0.1392875,12.02728825,0.462144555,0.201844568,0.079781778,18.5,21.3412085,0.889233,4.069293,4.1563915,0.945494,0.1306265,3.00517175,0.86168025,2.22895525,0.4127895,0.631081705,3.57424325,1.52231275,1.00499725,1.534023,0.98738697,-1.13999699,1.20246875,2.966388467
7002,20875,-1.275277561,0.129544077,0.810193,0.2794385,0.73404825,0.853003303,1.46319,1.94160425,0.028789772,2.5,3.8457875,4.1388425,5.047615,0.018242503,1.835221038,1.91155325,1.39452625,0.8887745,0.840425567,0.03265675,0.062227584,3.279556,6.0227065,4.562994987,5.6490125,9.621685,0.075688359,-1.8548381,4.9490355,1.534714883,1.16513725,1.31361,0.206308648,6.5,0.25708175,-7.6545535,0.397949152,-1.42463193,0.025053107,8.25,4.179877,0.89284725,3.628843,3.67984,1.13952775,0.38389475,1.639912,0.868791,3.3418875,0.77708975,0.942268486,1.98437325,1.1730725,0.08091625,2.322365,0.194353423,0.225053584,0.8420365,0.640260266
