,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,SNPs,-,334224,0.5271627797836452,0.5902910631748571,1.0,2.5313296238469206e-13,0.44283891889309057,0.3216439515490724,0.0,2.547679676969974e-14
1,Lasso,SNPs,-,334224,0.45461210429785986,0.6373120942745703,0.9747968685391353,0.1109383895109048,0.5784188151457014,0.42502390740629215,0.07998257959461413,0.21434753288062475
2,ElasticNet,SNPs,-,334224,0.4443506527760448,0.6652888182517485,0.8753987269407207,0.32916045864635374,0.3965315050213717,0.49708971648192796,0.16802006036739375,0.2259761372233769
