,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,SNPs,-,286534,-0.05140677652123486,0.9893285489775745,0.715039646182997,0.4912936353594479,0.3229912209396441,0.13626943225506707,0.3340703701214127,0.4297488273806074
1,Lasso,SNPs,-,286534,-0.09744758818203444,1.0116112842317468,0.05545601068263598,0.9664700868368248,0.2500413672377316,0.06531097837696145,0.34324747239378345,0.20701267830200745
2,ElasticNet,SNPs,-,286534,-0.07006458502839301,0.9984986650615527,0.1764690760031404,0.9021822841724204,0.28407123132266515,0.10208423846606474,0.345373135614762,0.20048432549346104
