,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha,lasso_selection__estimator__alpha
0,0.8245402159636028,0.4506183146414575,0.9999999999584558,6.387765972024902e-06,0.015625,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
1,0.8362123099010103,0.42017094318112463,0.9999999999997158,5.307799468278498e-07,0.0078125,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
2,0.9217793314644103,0.3825950369216055,0.9999999999997242,4.951621036584493e-07,0.00390625,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
3,0.7689805571278461,0.39146228213103257,0.9999999999997308,5.279584491873458e-07,0.001953125,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
4,0.8970181206267427,0.269704821226277,0.9999999999997734,4.834896181590649e-07,0.0078125,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
5,0.8790402430594283,0.2849467126765083,0.9999999999990851,9.735987209720433e-07,0.0625,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
6,0.8744306021863679,0.2986223157867616,0.9999999999997065,5.504203847081438e-07,0.00390625,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
7,0.7798802483540893,0.49618478418093426,0.9999999999996516,5.859504657905829e-07,0.001953125,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
8,0.8495598797382005,0.4033725525387619,0.9999999999995552,6.637758667867193e-07,0.03125,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
9,0.6345986105312738,0.5096681611141196,0.9999999999997137,5.413058093407228e-07,0.001953125,Ridge,SNPs,-,358874,0.8266040118952972,0.3907345924398583,0.9999999999955111,1.1740207337455824e-06,0.162739847083991,0.16562734254663472,2.5522126953840562e-11,3.6014923925726685e-06,,
0,0.7849591750402083,0.49886209063028486,0.9991275195574509,0.0292732937169972,0.001953125,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
1,0.7935336681632272,0.4717479347247767,0.9967550888455082,0.05671385333049013,0.00390625,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
2,0.9080524785965541,0.4148093944544876,0.9989564521879059,0.030461263767101215,0.001953125,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
3,0.6746672444144683,0.46454688616643564,0.9969136537148037,0.05652254605954934,0.00390625,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
4,0.8541629416703451,0.320953599838125,0.9884118173738183,0.10934437652017784,0.0078125,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
5,0.8073984616024001,0.35956140945695136,0.9967024889269208,0.058449313314656366,0.00390625,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
6,0.7762891026119995,0.39858772804081927,0.9967006481028327,0.05835537772765833,0.00390625,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
7,0.3942919844062496,0.8230867217826796,0.9999999996069944,1.9680029074995322e-05,9.5367431640625e-07,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
8,0.4180435355684524,0.7933590053584255,0.9999999996018509,1.9860690806746838e-05,9.5367431640625e-07,Lasso,SNPs,-,358874,0.7007210234102539,0.5081551201510079,0.9962744368885816,0.05044015153909588,0.3486754454749179,0.3347063056651189,0.008167870585488426,0.07335894413027466,,
