,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha,lasso_selection__estimator__alpha
0,0.3947456499221006,0.6781163925326461,0.9999999999999991,3.044014870039759e-08,0.0009765625,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
1,0.3866162446435537,0.9775347318062708,0.9973546507036267,0.049758846772571565,2048.0,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
2,0.2346482800111246,0.8412631530077552,0.9999999999999991,2.993338792452026e-08,0.0009765625,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
3,0.15780106449570774,0.8649210833606226,0.9997855306830469,0.014729635512164264,512.0,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
4,-0.08128312870303134,0.7861953063885283,0.9976281050321283,0.049413683490248446,2048.0,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
5,0.17058802831539044,0.8855147007461202,0.9992516546188981,0.027426799509353783,1024.0,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
6,-0.20923760820832937,0.8059370761124233,0.9999999999999996,2.2761491164566364e-08,0.0009765625,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
7,0.31609740886250814,0.7637931097438303,0.9999999999999991,3.0179004452352026e-08,0.0009765625,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
8,0.14252926796769638,0.9668217736862283,0.9999999999999994,2.2905730017863167e-08,0.0009765625,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
9,0.354481073397683,0.9599026875441896,0.9974749610346174,0.04904087785703502,2048.0,Ridge,SNPs,-,331368,0.18669862807044038,0.8530000014928615,0.9991494902072313,0.019036997936113534,0.39312541574461823,0.1920949806258982,0.0022980185512015594,0.04463649280131411,,
0,0.3090137594151082,0.7245527063610844,0.9065582236172591,0.30868163192108,0.03125,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
1,0.26561697013207963,1.0696147373632727,0.6771753728486606,0.5496827685689173,0.0625,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
2,-0.155684637170999,1.0337630527733637,0.9925991301475457,0.0863834462389022,0.0078125,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
3,0.15898013402015665,0.8643154311652115,0.709700377158998,0.5419168460871429,0.0625,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
4,-0.1500863217092081,0.8108228002788989,0.7041003061017816,0.5519144442412395,0.0625,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
5,0.18143817985776522,0.8797035969241607,0.705124564823719,0.5444316794039715,0.0625,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
6,-0.16268042969197793,0.7902699966023812,0.9123185278751171,0.30319089457758763,0.03125,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
7,0.2471191795064771,0.8013859582115825,0.696529547230442,0.5515960197508128,0.0625,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
8,0.2607694654029894,0.8976906849757118,0.6937476006878072,0.5480724700423808,0.0625,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
9,0.3154904519498628,0.9884676775762212,0.6982267730201432,0.536123133150857,0.0625,Lasso,SNPs,-,331368,0.1269976751712254,0.8860586642231889,0.7696080423511473,0.45219933339828916,0.39459583146609534,0.22130072235473197,0.23155973788709316,0.31922459937824244,,
0,0.2577307533755281,0.7509586375887826,0.654299636961869,0.5937315979643627,12.10278298540418,ElasticNet,SNPs,-,331368,0.11141261127109944,0.8992468684141514,0.5722892500476482,0.6454311443902916,0.2810522643007478,0.2288732322557642,0.2579938530732051,0.206845185569374,0.01,
1,0.21906668756437286,1.1029937111973884,0.4545252105314803,0.7145228725961651,16.038058158542462,ElasticNet,SNPs,-,331368,0.11141261127109944,0.8992468684141514,0.5722892500476482,0.6454311443902916,0.2810522643007478,0.2288732322557642,0.2579938530732051,0.206845185569374,0.01,
2,0.21180275878041854,0.853726557136522,0.7971193668118494,0.4522821400063199,8.697472207948433,ElasticNet,SNPs,-,331368,0.11141261127109944,0.8992468684141514,0.5722892500476482,0.6454311443902916,0.2810522643007478,0.2288732322557642,0.2579938530732051,0.206845185569374,0.01,
3,0.0750468192888607,0.9064190295680581,0.4786029893113146,0.7262626072347694,16.70543592130757,ElasticNet,SNPs,-,331368,0.11141261127109944,0.8992468684141514,0.5722892500476482,0.6454311443902916,0.2810522643007478,0.2288732322557642,0.2579938530732051,0.206845185569374,0.01,
4,-0.14621870838295137,0.8094582983657049,0.4508480819801305,0.7518751903914803,17.380559334922253,ElasticNet,SNPs,-,331368,0.11141261127109944,0.8992468684141514,0.5722892500476482,0.6454311443902916,0.2810522643007478,0.2288732322557642,0.2579938530732051,0.206845185569374,0.01,
5,0.09476164570837142,0.9251072805442468,0.6474553055132602,0.5952935571714908,12.416883394355526,ElasticNet,SNPs,-,331368,0.11141261127109944,0.8992468684141514,0.5722892500476482,0.6454311443902916,0.2810522643007478,0.2288732322557642,0.2579938530732051,0.206845185569374,0.01,
