,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,SNPs,-,318434,0.08468186020432086,0.9284926525934823,0.7932685390512324,0.44625541746867425,0.22870444435109089,0.19209202460183758,0.14637173747271814,0.17487418740236135
1,Lasso,SNPs,-,318434,0.00288598845753677,0.9722382633973295,0.39555906579434574,0.7673209225595631,0.18906362365471546,0.23827425946235828,0.3722207363173159,0.26375207347996366
2,ElasticNet,SNPs,-,318434,0.005156083915886034,0.9709358436514851,0.37747477415508174,0.7814179502973417,0.14235576252690957,0.21959857281258627,0.3302008431416601,0.20926593244514496
