,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,SNPs,-,280148,-0.044224782518485904,0.9703444503159915,0.8896021197261847,0.20664697207481764,0.4477794372114952,0.23551778768666745,0.41432304192731834,0.540749854090722
1,Lasso,SNPs,-,280148,-0.23779419925091594,1.065209327627694,0.7538175701635912,0.34310642398650476,0.4407331657806077,0.3279591311999174,0.7895371475303384,0.7341105128119356
2,ElasticNet,SNPs,-,280148,-0.1516188260842953,1.0170209963081247,0.33830610693574786,0.783762529961969,0.49037954597019556,0.1696553315376373,0.6636601671889579,0.4414375207627182
