,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,SNPs,-,232766,-0.005830922816528317,0.9540340817880709,0.5644853579897374,0.6583619841861408,0.33388481058380437,0.32396773116750816,0.10782168418505489,0.07805707286293276
1,Lasso,SNPs,-,232766,-0.039346724810079704,0.9758051639264625,0.3361400496627848,0.7969736539793327,0.19517074597461617,0.350714025655227,0.5244546120028486,0.3457448492340231
2,ElasticNet,SNPs,-,232766,-0.042070066509587466,0.9804329795085996,0.08716414622161542,0.954355715032362,0.12965305381389572,0.3725975516260682,0.16254877718572291,0.10260582964410414
