,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,SNPs,-,209593,-0.09694078003798827,0.7386188422322841,0.9998583919875508,0.00588948317416862,1.5771691288800846,0.46223316441503964,0.0006135220867058891,0.01901769633584847
1,Lasso,SNPs,-,209593,-0.41825027256274155,0.8226373073597844,0.9321359798350389,0.17369426395835286,2.788042309363647,0.5761770859624317,0.28580739066741295,0.3604881031058255
2,ElasticNet,SNPs,-,209593,-0.4492031943103809,0.8447544790117767,0.6093974826568211,0.5918856235532437,2.2300672156346106,0.5051544001759811,0.5503613743355892,0.4563933623976787
