,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha,lasso_selection__estimator__alpha
0,-0.0803595597679807,1.203277494537506,0.1514682077615418,0.8968753550013563,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
1,-0.031821976096839455,1.0212009530646087,0.1451536322463608,0.9202968265601063,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
2,-0.06926070254233241,1.1267254683414691,0.15961785429644915,0.9043485396856621,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
3,-0.1721255987498569,0.7158414716886046,0.27403986150707194,0.8785246335108117,262144.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
4,-0.043174027693573924,1.0331867435789204,0.1591696528478609,0.9157362907619367,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
5,-0.02300444143386038,1.0594832424817553,0.14795625542500035,0.9164465733157292,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
6,-0.05582158130671355,1.0008663218939353,0.15100500749450718,0.9211214377646638,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
7,-0.16189726855772268,0.6838772595601592,0.15635868686826127,0.945879697373184,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
8,0.018148240022222928,1.1103020149322165,0.14808370668966753,0.9102144226333556,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
9,-0.012121565297358972,0.9809577792593975,0.15444856685176744,0.9219049540112315,524288.0,Ridge,SNPs,-,331484,-0.0631438481424016,0.9935718749338572,0.16473014319884882,0.9131348730618037,0.12085673302847366,0.3300895271899055,0.07587511463838822,0.03475537241570872,,
0,-0.0944903097670875,1.2111211678990232,0.0,0.97363915530147,1.0,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
1,0.02174594918115602,0.9943394088204395,0.1964387263288826,0.8922640357286835,0.125,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
2,-0.030782857208561554,1.1062668580190094,0.19708502807558104,0.8839591817890878,0.125,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
3,-0.26759368581728826,0.7444230525169325,0.2618098880973202,0.8858938113219276,0.125,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
4,0.0009276745961057653,1.0111111671137059,0.23590211359112,0.8729527470289232,0.125,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
5,-0.03581569525560968,1.0660966436637676,2.220446049250313e-16,0.9928330036749027,1.0,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
6,-0.06658110349832724,1.0059531410524587,0.0,0.9996876470225353,1.0,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
7,-0.04519019200806507,0.6486224259060317,0.22446732515666246,0.9068950561579499,0.125,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
8,0.07578487402692902,1.077220730333787,0.1710844706773611,0.8978429741862997,0.125,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
9,-0.0015748463934130985,0.9758334050026102,0.0,1.0025732981965105,1.0,Lasso,SNPs,-,331484,-0.04435701921441616,0.9840988000327766,0.12867875519269276,0.9308540910408291,0.17985599446584635,0.3287694199929671,0.22222762581685007,0.10591203754885938,,
