,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.2368574912654795,0.9214991378088225,0.8659987187203745,0.36309632571484823,25251.16829404235,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
1,0.13545331412784667,1.222085272631959,0.8043552507571238,0.4239803100036101,37876.75244106352,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
2,0.264009589514162,0.8610594046558647,0.8010123577182395,0.4456809803582912,37876.75244106352,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
3,0.04982594710215926,0.9709451106049856,0.8731264655763462,0.35604715972855927,25251.16829404235,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
4,-0.16923792815398486,1.1099131942402496,0.9782433128197245,0.144956355635076,7481.8276426792145,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
5,0.23124401787571225,0.7505835397885103,0.8027772369920858,0.4503674199514632,37876.75244106352,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
6,0.054254959646146794,0.914331488063481,0.8742842596326285,0.35628015977685495,25251.16829404235,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
7,0.31058855326996615,0.5527743254803681,0.8685296499978521,0.37245363365252543,25251.16829404235,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
8,0.16144867854389566,0.9157915769297517,0.7986347272110212,0.44649335746400254,37876.75244106352,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
9,0.06700577918048767,0.7405700706188602,0.8735400563656728,0.3635554834268702,25251.16829404235,Ridge,SNPs,-,330648,0.1341450402371871,0.8959553120822853,0.8540502035791069,0.3722911185712101,0.2762320947494826,0.37154756141465345,0.1091514880133416,0.17533441168375358,
0,0.28527675499356,0.8917868497595609,0.8456971409825265,0.389631773416831,0.03901844231062338,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
1,0.12507946873813203,1.229395415506927,0.6874061389721646,0.5359222795777354,0.05852766346593507,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
2,0.1322755541699836,0.9349490679881799,0.9982461814916157,0.04184112683312164,0.0034254873907817508,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
3,-0.012632854352794931,1.0023493259141207,0.7189685271453286,0.5299067920817102,0.05852766346593507,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
4,-0.10179344780186361,1.0774265158516043,0.9266632393988221,0.2661348443821146,0.02601229487374892,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
5,0.242715653531406,0.7449622601338298,0.715124619702185,0.5412724282716124,0.05852766346593507,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
6,-0.003983034757680581,0.9420627403081311,0.84963649124045,0.3896440380420458,0.03901844231062338,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
7,0.16567634150329236,0.6081012522184902,0.7204142930532971,0.5431450035951249,0.05852766346593507,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
8,0.2266988450691495,0.8794398690889225,0.6933416423303809,0.5509981206503378,0.05852766346593507,Lasso,SNPs,-,330648,0.10624491364496647,0.9075972366816372,0.7885105944376709,0.43201042643681353,0.25298750905801554,0.3461388602886084,0.2143982271047676,0.32802657355703363,
