accession_id,phenotype_value
8239,-7.25
8240,50.25
8241,-5.32654
8242,69.5
8243,2.5
8244,-4.75
8246,41.25
8247,25.1735
8249,10.7829
8254,-8.75
8256,-12.75
8258,-2.0
8259,-3.25
8264,4.25
8265,-10.5
8270,-3.5
8271,-6.75
8274,3.19959
8275,-12.25
8283,71.0
8284,9.5
8285,-1.87e-11
8296,-1.25
8297,47.5
8300,-5.5
8304,-8.75
8306,18.5
8310,-11.6599
8311,0.171891
8312,-7.75
8313,-12.5
8314,-6.5
8323,-13.4948
8325,-10.25
8326,-9.16144
8329,-4.38374
8334,1.25
8335,59.5
8337,7.5
8343,-0.5
8351,62.75
8353,8.44959
8354,-7.75
8357,4.5
8365,-11.5
8369,27.9496
8374,-3.75
8376,75.5
8378,-3.5
8387,-5.25
8388,-4.75
8389,-8.75
8395,-8.0
8412,-12.4362
8419,-10.0
8420,-9.25
8422,65.5
8423,-3.5
8424,1.5
8426,-14.25
8430,24.25
8692,-1.75
8796,7.75
9057,-7.25
9058,74.7298
