,test_index,y_pred,y_true
0,0,0.2960203,0.09553516343719531
1,2,-0.20502317,-0.6670969550491201
2,9,0.38149703,0.6528432500233489
3,11,0.00473848,0.30085919533735717
4,30,-0.118414044,0.06620315888002933
5,33,0.10145105,0.18353117710869324
6,55,0.24231043,0.007539149765697373
7,63,-0.12276471,0.18353117710869324
8,68,-1.3545318,-1.5470570917640996
9,72,-0.1289627,0.12486716799436129
10,73,0.0022503734,0.12486716799436129
11,76,-0.299366,0.12486716799436129
12,77,-0.10790032,0.12486716799436129
13,79,0.12719975,0.06620315888002933
14,84,-1.3605909,-1.4297290735354355
15,93,-0.3156621,-0.34444490492029434
16,101,-1.4823534,0.41818721356602107
17,104,0.6826574,0.007539149765697373
18,137,-0.2353766,-0.19778488213446446
19,140,-0.5966854,-0.22711688669163044
20,155,-0.391703,-0.05112485934863458
21,173,-0.30355716,0.15419917255152726
22,175,-0.7189307,-0.49110492770612424
23,182,-1.1154566,-1.3710650644211035
24,192,1.0359933,1.3861433639524983
25,195,-0.6773865,-0.49110492770612424
26,209,1.024265,0.8581672819235108
27,231,0.6827705,-0.3151129003631284
28,237,1.2335107,2.0607794687673158
29,261,0.36785704,-0.40310891403462634
30,266,0.17192632,-0.755092968720618
31,287,0.16210563,-0.34444490492029434
32,289,0.6305734,0.535515231794685
33,316,0.62735546,0.9754953001521747
34,322,-1.291976,-1.6350531054355975
35,332,-2.0060558,-2.3976852239219126
36,333,-1.9587874,-2.104365178350253
37,351,-0.31104857,-0.3151129003631284
38,354,-0.32910156,-0.10978886846296654
39,369,1.3152254,2.295435505224644
40,406,-0.41124052,-0.4324409185917923
41,424,1.0390124,0.8288352773663448
42,437,0.15263256,-0.08045686390580056
43,438,1.0147712,0.9754953001521747
44,441,0.3504198,-1.1364090279637757
45,453,-0.04113859,-0.021792854791468606
46,481,0.40420085,0.41818721356602107
47,487,0.26151058,0.38885520900885506
48,488,0.5419018,0.38885520900885506
49,492,0.37552303,0.41818721356602107
50,15,0.059701174,-0.08045686390580056
51,18,0.19328058,-0.1684528775772985
52,19,0.06549439,0.2421951862230252
53,39,-0.08164117,0.12486716799436129
54,69,-0.25670788,-1.5470570917640996
55,70,-1.3305274,-1.4003970689782697
56,75,-0.084499955,0.12486716799436129
57,78,0.14074722,0.12486716799436129
58,82,-1.3589942,-1.4883930826497676
59,86,-1.305875,-1.4297290735354355
60,90,0.40233383,0.2421951862230252
61,117,0.28522497,-0.22711688669163044
62,124,0.95676565,1.5034713821811623
63,126,0.1307109,0.2128631816658592
64,131,-0.6767535,-0.8430889823921159
65,132,-0.05819419,-0.6377649504919541
66,153,-0.12999937,-0.1684528775772985
67,203,-0.09599051,-0.5204369322632902
68,218,-1.4803982,-1.4297290735354355
69,245,0.4971703,0.27152719078019116
70,247,1.6742585,2.119443477881648
71,248,0.6031505,0.6235112454661829
72,265,1.2294022,1.1808193320523366
73,268,1.1876702,0.9754953001521747
74,271,1.2542711,1.855455436867154
75,278,1.0428339,0.7115072591376809
76,302,0.1502921,-0.1391208730201325
77,320,-1.6566614,-1.6057211008784313
78,321,-1.552864,-1.6057211008784313
79,331,-1.9753731,-2.104365178350253
80,342,1.4147322,1.4448073730668303
81,360,0.10287945,0.38885520900885506
82,383,-1.3977925,-1.8990411464500911
83,384,1.1270822,2.3540995143389756
84,386,0.80308294,0.30085919533735717
85,405,-0.33969954,-0.40310891403462634
86,407,0.048261255,-0.4324409185917923
87,417,0.78521156,0.6821752545805149
88,429,0.1363954,-0.1391208730201325
89,433,-0.6398653,0.03687115432286335
90,436,0.5130385,0.9754953001521747
91,448,0.7834518,0.8581672819235108
92,449,0.7058319,1.3568113593953324
93,462,0.08763942,-0.05112485934863458
94,468,0.04951462,0.06620315888002933
95,476,0.30753607,0.564847236351851
96,483,0.6071452,0.09553516343719531
97,489,-0.8301568,0.9168312910378427
98,491,0.04339978,0.506183227237519
99,493,0.47500947,1.3568113593953324
100,5,-2.1671457,-1.7817131282214274
101,16,0.42922863,-0.9017529915064479
102,17,0.38026297,0.15419917255152726
103,22,-0.15216023,-0.2857808958059624
104,23,-1.2541244,-1.7230491191070954
105,24,-0.51002413,-0.5497689368204562
106,25,-0.71303326,-1.5177250872069334
107,31,0.21687743,0.18353117710869324
108,42,0.23531103,0.12486716799436129
109,45,0.12174618,0.12486716799436129
110,46,-0.10280031,0.03687115432286335
111,56,-0.021285474,0.007539149765697373
112,57,-0.3945009,0.007539149765697373
113,66,-1.2396989,-1.4003970689782697
114,94,-2.1849098,0.12486716799436129
115,113,0.18638901,0.12486716799436129
116,116,0.5669739,-0.19778488213446446
117,148,0.027888,0.564847236351851
118,154,-0.40893978,-0.22711688669163044
119,172,-0.108343005,-0.9897490051779458
120,180,0.2433571,-0.08045686390580056
121,193,0.37130794,0.38885520900885506
122,220,-0.07219708,0.12486716799436129
123,225,-0.1450029,0.06620315888002933
124,227,-0.16755933,0.15419917255152726
125,229,0.102383554,-0.8430889823921159
126,234,0.6661366,1.5914673958526602
127,255,1.733788,1.0341593092665067
128,274,-0.3307894,0.06620315888002933
129,275,0.15829137,0.30085919533735717
130,277,0.8735165,0.41818721356602107
131,280,0.21548724,0.2128631816658592
132,312,0.15402715,0.12486716799436129
133,323,-1.5704241,-1.6643851099927633
134,325,-1.0034788,-2.133697182907419
135,334,-2.1549642,-2.104365178350253
136,371,-0.99328786,-0.37377690947746034
137,375,-0.7424961,-0.22711688669163044
138,402,0.36844575,-0.40310891403462634
139,403,-0.31593162,-0.4324409185917923
140,404,0.029119492,-0.4324409185917923
141,408,-0.54997057,-0.34444490492029434
142,412,-0.113960326,-0.4324409185917923
143,415,0.44392842,0.2128631816658592
144,421,-0.05244443,-0.40310891403462634
145,447,0.42491218,0.18353117710869324
146,470,0.97120625,1.943451450538652
147,477,0.52489585,-0.4617729231489583
148,485,-0.041184783,-0.08045686390580056
149,496,0.5344882,0.41818721356602107
150,3,-1.4538717,-2.9549933105080664
151,7,-1.4343836,-2.7203372740507388
152,26,-0.048039317,0.09553516343719531
153,29,0.08216731,0.09553516343719531
154,37,-0.038686782,0.12486716799436129
155,60,0.19805604,0.007539149765697373
156,67,-1.4725735,-1.4003970689782697
157,83,-1.321568,-1.4883930826497676
158,92,0.2459206,0.535515231794685
159,108,0.06890303,0.2128631816658592
160,109,0.03736186,-0.37377690947746034
161,110,-0.0070174336,0.27152719078019116
162,114,-0.09844035,-0.6670969550491201
163,118,-0.263187,-0.1684528775772985
164,141,-0.4478355,0.09553516343719531
165,144,-0.12835565,-0.6377649504919541
166,145,-0.17321831,-0.34444490492029434
167,152,-0.017064929,-0.22711688669163044
168,157,-0.3207534,0.03687115432286335
169,165,-0.98655635,-1.019081009735112
170,168,0.07430495,-0.10978886846296654
171,176,-0.31230754,-0.22711688669163044
172,181,0.05739799,0.30085919533735717
173,185,-0.15444851,-0.10978886846296654
174,199,0.27547562,1.0634913138236726
175,204,-1.2225726,-1.3710650644211035
176,208,-0.5169385,-0.1684528775772985
177,211,-1.1603115,-1.2830690507496056
178,262,1.5116718,1.3568113593953324
179,291,1.042881,0.594179240909017
180,294,-0.26287693,-0.5791009413776221
181,311,0.27623317,0.06620315888002933
182,317,-0.049814045,0.38885520900885506
183,340,-0.15013158,0.09553516343719531
184,346,1.6379204,2.7354155735821335
185,355,0.29870987,1.0048273047093406
186,356,-0.43166083,-0.96041700062078
187,367,0.48533016,-0.19778488213446446
188,373,0.17119953,-1.0484130142922778
189,377,-0.64080983,-0.19778488213446446
190,388,-1.57588,-2.6030092558220748
191,392,-0.13361418,-0.34444490492029434
192,398,-0.20898002,-0.4617729231489583
