,test_index,y_pred,y_true
0,0,0.1410234,0.7071067811865476
1,4,-0.64682555,-1.414213562373095
2,10,-0.0682085,-1.414213562373095
3,12,-0.14100815,0.7071067811865476
4,18,-0.02423568,0.7071067811865476
5,22,0.3456508,0.7071067811865476
6,58,-0.03533882,-1.414213562373095
7,70,-0.030952603,0.7071067811865476
8,73,-0.46401006,0.7071067811865476
9,33,0.12763363,0.7071067811865476
10,35,-0.007902652,-1.414213562373095
11,40,-0.11154625,0.7071067811865476
12,47,-0.417868,0.7071067811865476
13,54,0.4652976,0.7071067811865476
14,55,-0.4313731,0.7071067811865476
15,65,0.141818,0.7071067811865476
16,76,0.19614245,0.7071067811865476
17,81,0.0038289279,0.7071067811865476
18,5,-1.2811589,-1.414213562373095
19,9,-0.13901442,-1.414213562373095
20,11,0.22049657,0.7071067811865476
21,28,-1.3912712,-1.414213562373095
22,30,0.68616176,-1.414213562373095
23,39,0.5023304,-1.414213562373095
24,42,0.4899723,0.7071067811865476
25,49,0.6106963,0.7071067811865476
26,68,0.49260563,-1.414213562373095
27,7,-0.045093834,0.7071067811865476
28,16,-0.06474306,0.7071067811865476
29,31,0.1356501,0.7071067811865476
30,34,-0.03060396,-1.414213562373095
31,44,-0.09156704,-1.414213562373095
32,45,-0.024957865,0.7071067811865476
33,64,0.11056453,0.7071067811865476
34,67,0.1831969,0.7071067811865476
35,83,0.07670136,0.7071067811865476
36,3,0.042650715,0.7071067811865476
37,13,-0.10350777,0.7071067811865476
38,19,-0.25514042,0.7071067811865476
39,25,-0.13239498,0.7071067811865476
40,53,0.33980572,0.7071067811865476
41,56,0.110159986,-1.414213562373095
42,62,0.16338226,0.7071067811865476
43,69,0.12791245,0.7071067811865476
44,6,0.23855089,0.7071067811865476
45,8,0.02481199,0.7071067811865476
46,17,0.04967892,0.7071067811865476
47,36,0.022229329,-1.414213562373095
48,38,0.031736344,0.7071067811865476
49,61,0.1452931,0.7071067811865476
50,66,-0.6527264,-1.414213562373095
51,75,0.28124845,0.7071067811865476
52,15,0.057332546,0.7071067811865476
53,26,0.04384345,0.7071067811865476
54,27,-0.013079062,-1.414213562373095
55,41,-0.04672174,0.7071067811865476
56,46,0.12016691,0.7071067811865476
57,48,0.021427542,0.7071067811865476
58,50,0.0737172,0.7071067811865476
59,82,0.029508501,0.7071067811865476
60,24,-0.15712735,0.7071067811865476
61,32,0.34713206,0.7071067811865476
62,43,0.27890342,0.7071067811865476
63,57,-0.004171878,0.7071067811865476
64,59,0.22201946,0.7071067811865476
65,77,-0.17295915,-1.414213562373095
66,79,-0.7461479,0.7071067811865476
67,80,-1.2564539,-1.414213562373095
68,1,0.10939327,0.7071067811865476
69,2,0.057283416,0.7071067811865476
70,21,0.21003176,-1.414213562373095
71,29,-0.25610077,-1.414213562373095
72,37,0.10998458,-1.414213562373095
73,52,-0.05858776,-1.414213562373095
74,63,0.071249515,-1.414213562373095
75,72,0.3000837,-1.414213562373095
76,14,0.027376115,-1.414213562373095
77,20,0.3566355,-1.414213562373095
78,23,0.33771923,0.7071067811865476
79,51,-0.034007847,0.7071067811865476
80,60,0.19166614,0.7071067811865476
81,71,-0.99996996,-1.414213562373095
82,74,0.12828898,0.7071067811865476
83,78,-0.68276024,-1.414213562373095
