,test_index,y_pred,y_true
0,0,-0.104255415,-0.3027198795596392
1,2,-0.3940955,-0.47035585265543195
2,9,-0.40534088,-1.2606397258213122
3,11,-0.38602766,-0.6379918257512247
4,22,-0.39990446,-1.5240676835432723
5,30,-0.92348784,-1.0690557565689776
6,33,-0.9685306,-0.9972117680993521
7,63,-0.47308055,-0.9972117680993521
8,68,-0.86600596,-1.140899745038603
9,70,-0.789091,-0.9014197834731847
10,72,-0.84520906,-1.0930037527255194
11,73,-1.0132082,-1.0930037527255194
12,76,-0.9445843,-1.0930037527255194
13,77,-0.83362615,-1.0930037527255194
14,84,-0.90892714,-0.9253677796297266
15,93,-0.38194513,-1.2366917296647704
16,101,0.16503674,2.642883647695005
17,104,-0.43841317,-0.015343925681137327
18,124,0.75383073,0.9186279244239938
19,155,-0.80676687,-0.8056277988470175
20,173,-0.4665772,0.15229204741465543
21,185,-0.7040604,-0.8535237911601011
22,194,-0.93828064,-1.0451077604124357
23,209,-0.6352268,-0.6858878180643084
24,211,0.6838848,-0.37456386802926467
25,280,-0.7461066,-0.7816798026904757
26,316,0.36075434,0.5354599859193246
27,333,0.78283083,0.34387601666699
28,334,0.7121493,0.7030959590151173
29,336,0.64541596,0.7270439551716592
30,356,0.4208508,0.6551999667020337
31,362,0.47721407,0.6312519705454919
32,375,0.3433142,0.6312519705454919
33,378,0.15001301,0.5594079820758664
34,395,-0.36470684,-0.3027198795596392
35,402,-0.4331303,-0.2787718834030974
36,407,-0.29699823,-0.2787718834030974
37,409,-0.4422309,-0.2787718834030974
38,410,-0.1494697,-0.2787718834030974
39,416,1.7629763,2.0202357476249175
40,420,1.1677963,1.2538998706155793
41,434,0.43162376,1.1102118936763283
42,441,-0.13496235,-0.0871879141507628
43,451,0.25040334,-0.13508390646384644
44,462,0.9050474,1.0623159013632448
45,485,-0.36140206,-0.2069278949334719
46,486,0.019407786,0.03255206663194632
47,491,-0.03732311,0.5354599859193246
48,492,-0.34006113,0.9186279244239938
49,496,-0.6682088,0.03255206663194632
50,498,0.86519676,0.8707319321109102
51,15,-0.8704982,-1.3803797066040213
52,18,0.050036248,-1.3803797066040213
53,39,-0.9897842,-0.9972117680993521
54,46,-0.963463,-1.0690557565689776
55,55,-0.97946113,-1.0690557565689776
56,69,-1.3795693,-1.140899745038603
57,75,-0.90020764,-1.0930037527255194
58,78,-1.1034697,-1.0930037527255194
59,79,-0.8828922,-1.1169517488820613
60,82,-0.9729704,-0.9972117680993521
