accession_id,replicate_id,GR21
6074,14276,25.0
6034,14277,94.017094020000002
8258,14278,0.0
6132,14279,2.5974025969999999
9433,14280,93.0
6242,14281,2.6143790849999999
6038,14282,97.02380952
5832,14283,0.0
6172,14284,95.93495935
6041,14285,97.692307690000007
9453,14286,0.0
6138,14287,5.4216867469999999
9321,14288,100.0
6151,14289,0.0
5867,14290,63.29113924
6071,14291,33.333333330000002
6150,14292,1.0
6148,14293,0.0
6125,14294,0.0
6098,14295,0.0
6163,14296,100.0
6023,14297,0.0
6171,14298,100.0
6243,14299,97.959183670000002
6013,14300,23.75
8369,14301,10.15625
9390,14302,99.0
9405,14303,0.0
6128,14304,0.0
6086,14305,73.684210530000001
6194,14306,96.410256410000002
6085,14307,32.121212120000003
9450,14308,53.571428570000002
6216,14309,99.230769230000007
6173,14310,78.571428569999995
6036,14311,100.0
6193,14312,60.714285709999999
9408,14313,22.891566269999998
6258,14314,84.070796459999997
6241,14315,92.307692309999993
6209,14316,4.4198895030000003
1002,14317,0.83333333300000001
6974,14318,0.0
9323,14319,70.967741939999996
6189,14320,11.9047619
6133,14321,0.0
9391,14322,87.272727270000004
9407,14323,3.2786885250000002
9437,14324,28.571428569999998
8283,14325,99.230769230000007
9454,14326,0.0
8334,14327,0.0
6064,14328,100.0
6114,14329,0.0
6188,14330,100.0
8259,14331,28.476821189999999
6039,14332,100.0
7516,14333,0.0
6284,14334,2.0
8247,14335,94.936708859999996
6126,14336,19.895287960000001
9388,14337,100.0
6100,14338,11.84210526
8335,14339,1.0
6030,14340,100.0
6104,14341,2.0689655170000001
6180,14342,99.0
6154,14343,100.0
9470,14344,74.074074069999995
9421,14345,1.0
9476,14346,0.0
5831,14347,0.0
6097,14348,0.0
6035,14349,96.315789469999999
6073,14350,0.0
9404,14351,0.0
8387,14352,0.0
6195,14353,14.925373130000001
6024,14354,0.0
9471,14355,87.5
6137,14356,0.0
992,14357,0.0
1435,14358,64.102564099999995
9058,14359,96.153846150000007
6217,14360,100.0
6092,14361,11.81102362
6019,14362,5.1020408159999997
6140,14363,1.0
9455,14364,0.0
6040,14365,0.0
9386,14366,100.0
8230,14367,13.46153846
6107,14368,22.85714286
9402,14369,21.495327100000001
6112,14370,5.8394160580000003
6016,14371,96.226415090000003
6231,14372,100.0
6142,14373,0.83333333300000001
6076,14374,1.0
6102,14375,40.625
6244,14376,100.0
9416,14377,82.142857140000004
997,14378,4.615384615
6099,14379,82.758620690000001
6218,14380,100.0
6020,14381,0.0
6201,14382,98.333333330000002
6043,14383,96.774193550000007
6069,14384,97.744360900000004
9382,14385,43.010752689999997
8376,14386,100.0
8386,14387,88.349514560000003
6973,14388,2.9126213590000001
6108,14389,65.811965810000004
8237,14390,0.0
8249,14391,99.0
9057,14392,10.29411765
8256,14393,78.703703700000005
6240,14394,97.0
5830,14395,47.058823529999998
8306,14396,0.0
6017,14397,75.0
6177,14398,99.166666669999998
6042,14399,86.363636360000001
5856,14400,93.846153849999993
6145,14401,23.931623930000001
8241,14402,6.0402684559999997
6106,14403,1.0
6238,14404,75.213675210000005
6202,14405,99.230769230000007
6025,14406,100.0
6021,14407,96.226415090000003
6210,14408,10.0
9481,14409,4.0
6046,14410,100.0
9451,14411,92.424242419999999
6090,14412,0.0
9442,14413,0.0
6136,14414,3.3333333330000001
6166,14415,100.0
6012,14416,78.46153846
6220,14417,100.0
6276,14418,23.893805310000001
6184,14419,100.0
6913,14420,100.0
9434,14421,100.0
9409,14422,0.0
9399,14423,3.0534351150000001
6131,14424,0.0
9412,14425,28.0
7518,14426,0.0
6174,14427,83.333333330000002
6111,14428,0.0
9427,14429,100.0
8222,14430,0.0
6169,14431,92.307692309999993
6198,14432,99.166666669999998
8242,14433,19.580419580000001
6268,14434,6.1946902650000002
8231,14435,3.1847133759999999
8240,14436,0.0
