species,phenotype_id,name,doi,study,scoring,source,type,growth_conditions,integration_date,number_replicates,to_term,to_name,to_definition,to_comment,to_source_acronym,to_source_name,to_source_url,eo_term,eo_name,eo_definition,eo_comment,eo_source_acronym,eo_source_name,eo_source_url,uo_term,uo_name,uo_definition,uo_comment,uo_source_acronym,uo_source_name,uo_source_url,num_values
Arabidopsis thaliana (NCBI: 3702),134,DTF sweden 2009 (1st experiment),10.21958/phenotype:134,Flowering time in simulated seasons,,,,,2016-07-04T11:16:56.394000Z,0,TO:0000344,days to flowering trait,"""A flowering time trait (TO:0002616)which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [GR:pj, TO:cooperl]","Often determinded by either pollen shedding, exsertion of the anthers or simply opening of the flower.",PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,,,,,,,,UO:0000033,day,"""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),108,Area sweden 2009 (1st experiment),10.21958/phenotype:108,Flowering time in simulated seasons,,,,,2016-07-04T11:16:56.113000Z,0,,,,,,,,,,,,,,,UO:0000081,square centimeter,"""An area unit which is equal to one thousand of square meter or 10^[-3] m^[2]."" [NIST:NIST]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),109,SizePlantingSummer2009,10.21958/phenotype:109,Flowering time in simulated seasons,,,,,2016-07-04T11:16:56.128000Z,0,,,,,,,,,,,,,,,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),110,Size sweden 2009 (2nd experiment),10.21958/phenotype:110,Flowering time in simulated seasons,,,,,2016-07-04T11:16:56.133000Z,0,,,,,,,,,,,,,,,UO:0000015,centimeter,"""A length unit which is equal to one hundredth of a meter or 10^[-2] m."" [NIST:NIST]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),111,SizePlantingSummerLocSweden2009,10.21958/phenotype:111,Flowering time in simulated seasons,,,,,2016-07-04T11:16:56.138000Z,0,,,,,,,,,,,,,,,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),112,Area sweden 2009 (2nd experiment),10.21958/phenotype:112,Flowering time in simulated seasons,,,,,2016-07-04T11:16:56.142000Z,0,,,,,,,,,,,,,,,UO:0000081,square centimeter,"""An area unit which is equal to one thousand of square meter or 10^[-3] m^[2]."" [NIST:NIST]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),113,DTF sweden 2008 (1st experiment),10.21958/phenotype:113,Flowering time in simulated seasons,FT was recorded daily as days to flower after germination in Experiments 1 and 2 with four replicates under each of the four conditions.,,,,2016-07-04T11:16:56.147000Z,0,TO:0000344,days to flowering trait,"""A flowering time trait (TO:0002616)which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [GR:pj, TO:cooperl]","Often determinded by either pollen shedding, exsertion of the anthers or simply opening of the flower.",PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,,,,,,,,UO:0000033,day,"""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),114,Yield sweden 2009 (2nd experiment),10.21958/phenotype:114,Flowering time in simulated seasons,Yield was recorded as dry seed weight in grams in Experiment 2 with two replicates under each condition,,,,2016-07-04T11:16:56.152000Z,0,TO:0000181,seed weight,"""A seed morphology trait (TO:0000184) which is the weight of a seed (PO:0009010)."" [GR:pj, ICIS:1058, PO:0009010, TO:moorel]",Seed weight is a component of seed yield (TO:0000905) and seed quality (TO:0000162). Refer to weight (PATO:0000128): A physical quality inhering in a bearer that has mass near a gravitational body.,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,,,,,,,,UO:0000021,gram,"""A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg."" [NIST:NIST]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),115,SizeLocSweden2009,10.21958/phenotype:115,Flowering time in simulated seasons,,,,,2016-07-04T11:16:56.157000Z,0,,,,,,,,,,,,,,,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),116,DTFplantingSummerLocSweden2009,10.21958/phenotype:116,Flowering time in simulated seasons,,,,,2016-07-04T11:16:56.161000Z,0,TO:0000344,days to flowering trait,"""A flowering time trait (TO:0002616)which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [GR:pj, TO:cooperl]","Often determinded by either pollen shedding, exsertion of the anthers or simply opening of the flower.",PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,,,,,,,,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
